Freq.	V(vout)/(V(vp)-V(vm))
1.00000000000000e-003	(4.00691889107919e+001dB,1.79999998507321e+002°)
1.02329299228075e-003	(4.00691889107919e+001dB,1.79999998472552e+002°)
1.04712854805090e-003	(4.00691889107921e+001dB,1.79999998436973e+002°)
1.07151930523761e-003	(4.00691889107919e+001dB,1.79999998400566e+002°)
1.09647819614318e-003	(4.00691889107920e+001dB,1.79999998363310e+002°)
1.12201845430196e-003	(4.00691889107919e+001dB,1.79999998325186e+002°)
1.14815362149688e-003	(4.00691889107919e+001dB,1.79999998286175e+002°)
1.17489755493953e-003	(4.00691889107919e+001dB,1.79999998246255e+002°)
1.20226443461741e-003	(4.00691889107919e+001dB,1.79999998205405e+002°)
1.23026877081238e-003	(4.00691889107919e+001dB,1.79999998163603e+002°)
1.25892541179417e-003	(4.00691889107919e+001dB,1.79999998120828e+002°)
1.28824955169313e-003	(4.00691889107920e+001dB,1.79999998077057e+002°)
1.31825673855641e-003	(4.00691889107919e+001dB,1.79999998032266e+002°)
1.34896288259165e-003	(4.00691889107920e+001dB,1.79999997986431e+002°)
1.38038426460288e-003	(4.00691889107920e+001dB,1.79999997939529e+002°)
1.41253754462275e-003	(4.00691889107919e+001dB,1.79999997891535e+002°)
1.44543977074593e-003	(4.00691889107920e+001dB,1.79999997842422e+002°)
1.47910838816821e-003	(4.00691889107918e+001dB,1.79999997792166e+002°)
1.51356124843621e-003	(4.00691889107920e+001dB,1.79999997740739e+002°)
1.54881661891248e-003	(4.00691889107919e+001dB,1.79999997688114e+002°)
1.58489319246111e-003	(4.00691889107920e+001dB,1.79999997634263e+002°)
1.62181009735893e-003	(4.00691889107919e+001dB,1.79999997579158e+002°)
1.65958690743756e-003	(4.00691889107920e+001dB,1.79999997522769e+002°)
1.69824365246174e-003	(4.00691889107919e+001dB,1.79999997465067e+002°)
1.73780082874937e-003	(4.00691889107919e+001dB,1.79999997406021e+002°)
1.77827941003892e-003	(4.00691889107920e+001dB,1.79999997345600e+002°)
1.81970085860998e-003	(4.00691889107919e+001dB,1.79999997283771e+002°)
1.86208713666287e-003	(4.00691889107919e+001dB,1.79999997220501e+002°)
1.90546071796324e-003	(4.00691889107919e+001dB,1.79999997155759e+002°)
1.94984459975804e-003	(4.00691889107919e+001dB,1.79999997089508e+002°)
1.99526231496888e-003	(4.00691889107919e+001dB,1.79999997021714e+002°)
2.04173794466953e-003	(4.00691889107919e+001dB,1.79999996952340e+002°)
2.08929613085404e-003	(4.00691889107919e+001dB,1.79999996881351e+002°)
2.13796208950223e-003	(4.00691889107920e+001dB,1.79999996808709e+002°)
2.18776162394955e-003	(4.00691889107919e+001dB,1.79999996734374e+002°)
2.23872113856834e-003	(4.00691889107920e+001dB,1.79999996658308e+002°)
2.29086765276777e-003	(4.00691889107919e+001dB,1.79999996580470e+002°)
2.34422881531992e-003	(4.00691889107920e+001dB,1.79999996500819e+002°)
2.39883291901949e-003	(4.00691889107920e+001dB,1.79999996419312e+002°)
2.45470891568503e-003	(4.00691889107919e+001dB,1.79999996335907e+002°)
2.51188643150958e-003	(4.00691889107920e+001dB,1.79999996250560e+002°)
2.57039578276886e-003	(4.00691889107919e+001dB,1.79999996163224e+002°)
2.63026799189538e-003	(4.00691889107920e+001dB,1.79999996073854e+002°)
2.69153480392691e-003	(4.00691889107919e+001dB,1.79999995982402e+002°)
2.75422870333816e-003	(4.00691889107919e+001dB,1.79999995888820e+002°)
2.81838293126445e-003	(4.00691889107919e+001dB,1.79999995793059e+002°)
2.88403150312660e-003	(4.00691889107920e+001dB,1.79999995695066e+002°)
2.95120922666638e-003	(4.00691889107919e+001dB,1.79999995594792e+002°)
3.01995172040201e-003	(4.00691889107919e+001dB,1.79999995492181e+002°)
3.09029543251358e-003	(4.00691889107919e+001dB,1.79999995387181e+002°)
3.16227766016837e-003	(4.00691889107920e+001dB,1.79999995279734e+002°)
3.23593656929628e-003	(4.00691889107920e+001dB,1.79999995169785e+002°)
3.31131121482590e-003	(4.00691889107919e+001dB,1.79999995057275e+002°)
3.38844156139202e-003	(4.00691889107920e+001dB,1.79999994942144e+002°)
3.46736850452531e-003	(4.00691889107919e+001dB,1.79999994824331e+002°)
3.54813389233575e-003	(4.00691889107919e+001dB,1.79999994703775e+002°)
3.63078054770101e-003	(4.00691889107919e+001dB,1.79999994580410e+002°)
3.71535229097172e-003	(4.00691889107919e+001dB,1.79999994454171e+002°)
3.80189396320560e-003	(4.00691889107919e+001dB,1.79999994324992e+002°)
3.89045144994280e-003	(4.00691889107919e+001dB,1.79999994192804e+002°)
3.98107170553496e-003	(4.00691889107919e+001dB,1.79999994057537e+002°)
4.07380277804112e-003	(4.00691889107919e+001dB,1.79999993919120e+002°)
4.16869383470334e-003	(4.00691889107919e+001dB,1.79999993777478e+002°)
4.26579518801592e-003	(4.00691889107920e+001dB,1.79999993632537e+002°)
4.36515832240165e-003	(4.00691889107919e+001dB,1.79999993484219e+002°)
4.46683592150962e-003	(4.00691889107919e+001dB,1.79999993332447e+002°)
4.57088189614874e-003	(4.00691889107920e+001dB,1.79999993177140e+002°)
4.67735141287197e-003	(4.00691889107919e+001dB,1.79999993018215e+002°)
4.78630092322637e-003	(4.00691889107919e+001dB,1.79999992855589e+002°)
4.89778819368445e-003	(4.00691889107918e+001dB,1.79999992689174e+002°)
5.01187233627271e-003	(4.00691889107918e+001dB,1.79999992518883e+002°)
5.12861383991363e-003	(4.00691889107918e+001dB,1.79999992344625e+002°)
5.24807460249771e-003	(4.00691889107918e+001dB,1.79999992166309e+002°)
5.37031796370251e-003	(4.00691889107918e+001dB,1.79999991983839e+002°)
5.49540873857623e-003	(4.00691889107919e+001dB,1.79999991797118e+002°)
5.62341325190347e-003	(4.00691889107918e+001dB,1.79999991606049e+002°)
5.75439937337155e-003	(4.00691889107918e+001dB,1.79999991410528e+002°)
5.88843655355587e-003	(4.00691889107919e+001dB,1.79999991210454e+002°)
6.02559586074356e-003	(4.00691889107918e+001dB,1.79999991005719e+002°)
6.16595001861480e-003	(4.00691889107918e+001dB,1.79999990796215e+002°)
6.30957344480191e-003	(4.00691889107919e+001dB,1.79999990581832e+002°)
6.45654229034654e-003	(4.00691889107918e+001dB,1.79999990362454e+002°)
6.60693448007594e-003	(4.00691889107918e+001dB,1.79999990137967e+002°)
6.76082975391980e-003	(4.00691889107918e+001dB,1.79999989908251e+002°)
6.91830970918934e-003	(4.00691889107918e+001dB,1.79999989673184e+002°)
7.07945784384136e-003	(4.00691889107919e+001dB,1.79999989432641e+002°)
7.24435960074988e-003	(4.00691889107918e+001dB,1.79999989186496e+002°)
7.41310241300915e-003	(4.00691889107918e+001dB,1.79999988934617e+002°)
7.58577575029181e-003	(4.00691889107918e+001dB,1.79999988676871e+002°)
7.76247116628689e-003	(4.00691889107918e+001dB,1.79999988413121e+002°)
7.94328234724279e-003	(4.00691889107917e+001dB,1.79999988143228e+002°)
8.12830516164097e-003	(4.00691889107917e+001dB,1.79999987867049e+002°)
8.31763771102668e-003	(4.00691889107918e+001dB,1.79999987584436e+002°)
8.51138038202373e-003	(4.00691889107917e+001dB,1.79999987295240e+002°)
8.70963589956078e-003	(4.00691889107917e+001dB,1.79999986999308e+002°)
8.91250938133742e-003	(4.00691889107918e+001dB,1.79999986696483e+002°)
9.12010839355906e-003	(4.00691889107917e+001dB,1.79999986386605e+002°)
9.33254300796988e-003	(4.00691889107917e+001dB,1.79999986069508e+002°)
9.54992586021432e-003	(4.00691889107917e+001dB,1.79999985745025e+002°)
9.77237220955807e-003	(4.00691889107917e+001dB,1.79999985412984e+002°)
9.99999999999996e-003	(4.00691889107917e+001dB,1.79999985073209e+002°)
1.02329299228075e-002	(4.00691889107917e+001dB,1.79999984725519e+002°)
1.04712854805090e-002	(4.00691889107916e+001dB,1.79999984369731e+002°)
1.07151930523760e-002	(4.00691889107916e+001dB,1.79999984005655e+002°)
1.09647819614318e-002	(4.00691889107917e+001dB,1.79999983633099e+002°)
1.12201845430196e-002	(4.00691889107916e+001dB,1.79999983251865e+002°)
1.14815362149688e-002	(4.00691889107916e+001dB,1.79999982861751e+002°)
1.17489755493952e-002	(4.00691889107916e+001dB,1.79999982462550e+002°)
1.20226443461741e-002	(4.00691889107916e+001dB,1.79999982054050e+002°)
1.23026877081238e-002	(4.00691889107916e+001dB,1.79999981636035e+002°)
1.25892541179416e-002	(4.00691889107915e+001dB,1.79999981208283e+002°)
1.28824955169313e-002	(4.00691889107915e+001dB,1.79999980770568e+002°)
1.31825673855640e-002	(4.00691889107915e+001dB,1.79999980322657e+002°)
1.34896288259165e-002	(4.00691889107914e+001dB,1.79999979864313e+002°)
1.38038426460288e-002	(4.00691889107915e+001dB,1.79999979395292e+002°)
1.41253754462275e-002	(4.00691889107913e+001dB,1.79999978915347e+002°)
1.44543977074592e-002	(4.00691889107914e+001dB,1.79999978424222e+002°)
1.47910838816820e-002	(4.00691889107914e+001dB,1.79999977921658e+002°)
1.51356124843620e-002	(4.00691889107913e+001dB,1.79999977407387e+002°)
1.54881661891247e-002	(4.00691889107912e+001dB,1.79999976881138e+002°)
1.58489319246111e-002	(4.00691889107912e+001dB,1.79999976342630e+002°)
1.62181009735892e-002	(4.00691889107912e+001dB,1.79999975791579e+002°)
1.65958690743755e-002	(4.00691889107913e+001dB,1.79999975227693e+002°)
1.69824365246174e-002	(4.00691889107912e+001dB,1.79999974650672e+002°)
1.73780082874937e-002	(4.00691889107912e+001dB,1.79999974060210e+002°)
1.77827941003891e-002	(4.00691889107911e+001dB,1.79999973455995e+002°)
1.81970085860997e-002	(4.00691889107911e+001dB,1.79999972837705e+002°)
1.86208713666286e-002	(4.00691889107910e+001dB,1.79999972205014e+002°)
1.90546071796324e-002	(4.00691889107909e+001dB,1.79999971557586e+002°)
1.94984459975804e-002	(4.00691889107909e+001dB,1.79999970895077e+002°)
1.99526231496887e-002	(4.00691889107908e+001dB,1.79999970217136e+002°)
2.04173794466952e-002	(4.00691889107908e+001dB,1.79999969523404e+002°)
2.08929613085403e-002	(4.00691889107908e+001dB,1.79999968813513e+002°)
2.13796208950222e-002	(4.00691889107907e+001dB,1.79999968087087e+002°)
2.18776162394954e-002	(4.00691889107907e+001dB,1.79999967343739e+002°)
2.23872113856833e-002	(4.00691889107906e+001dB,1.79999966583077e+002°)
2.29086765276776e-002	(4.00691889107906e+001dB,1.79999965804697e+002°)
2.34422881531991e-002	(4.00691889107905e+001dB,1.79999965008186e+002°)
2.39883291901948e-002	(4.00691889107903e+001dB,1.79999964193122e+002°)
2.45470891568502e-002	(4.00691889107903e+001dB,1.79999963359073e+002°)
2.51188643150957e-002	(4.00691889107902e+001dB,1.79999962505596e+002°)
2.57039578276885e-002	(4.00691889107902e+001dB,1.79999961632239e+002°)
2.63026799189537e-002	(4.00691889107901e+001dB,1.79999960738539e+002°)
2.69153480392690e-002	(4.00691889107900e+001dB,1.79999959824022e+002°)
2.75422870333815e-002	(4.00691889107900e+001dB,1.79999958888204e+002°)
2.81838293126444e-002	(4.00691889107899e+001dB,1.79999957930587e+002°)
2.88403150312659e-002	(4.00691889107898e+001dB,1.79999956950664e+002°)
2.95120922666637e-002	(4.00691889107896e+001dB,1.79999955947916e+002°)
3.01995172040200e-002	(4.00691889107895e+001dB,1.79999954921812e+002°)
3.09029543251357e-002	(4.00691889107894e+001dB,1.79999953871806e+002°)
3.16227766016836e-002	(4.00691889107893e+001dB,1.79999952797342e+002°)
3.23593656929626e-002	(4.00691889107891e+001dB,1.79999951697851e+002°)
3.31131121482589e-002	(4.00691889107891e+001dB,1.79999950572749e+002°)
3.38844156139201e-002	(4.00691889107889e+001dB,1.79999949421441e+002°)
3.46736850452530e-002	(4.00691889107888e+001dB,1.79999948243315e+002°)
3.54813389233573e-002	(4.00691889107887e+001dB,1.79999947037747e+002°)
3.63078054770099e-002	(4.00691889107885e+001dB,1.79999945804097e+002°)
3.71535229097170e-002	(4.00691889107882e+001dB,1.79999944541713e+002°)
3.80189396320559e-002	(4.00691889107881e+001dB,1.79999943249923e+002°)
3.89045144994278e-002	(4.00691889107880e+001dB,1.79999941928044e+002°)
3.98107170553495e-002	(4.00691889107877e+001dB,1.79999940575374e+002°)
4.07380277804110e-002	(4.00691889107876e+001dB,1.79999939191197e+002°)
4.16869383470333e-002	(4.00691889107873e+001dB,1.79999937774778e+002°)
4.26579518801590e-002	(4.00691889107871e+001dB,1.79999936325366e+002°)
4.36515832240163e-002	(4.00691889107869e+001dB,1.79999934842194e+002°)
4.46683592150960e-002	(4.00691889107867e+001dB,1.79999933324473e+002°)
4.57088189614872e-002	(4.00691889107864e+001dB,1.79999931771401e+002°)
4.67735141287195e-002	(4.00691889107862e+001dB,1.79999930182153e+002°)
4.78630092322635e-002	(4.00691889107859e+001dB,1.79999928555886e+002°)
4.89778819368443e-002	(4.00691889107855e+001dB,1.79999926891739e+002°)
5.01187233627269e-002	(4.00691889107853e+001dB,1.79999925188829e+002°)
5.12861383991362e-002	(4.00691889107850e+001dB,1.79999923446253e+002°)
5.24807460249769e-002	(4.00691889107846e+001dB,1.79999921663087e+002°)
5.37031796370249e-002	(4.00691889107842e+001dB,1.79999919838386e+002°)
5.49540873857621e-002	(4.00691889107840e+001dB,1.79999917971182e+002°)
5.62341325190346e-002	(4.00691889107836e+001dB,1.79999916060485e+002°)
5.75439937337153e-002	(4.00691889107832e+001dB,1.79999914105283e+002°)
5.88843655355585e-002	(4.00691889107828e+001dB,1.79999912104538e+002°)
6.02559586074354e-002	(4.00691889107824e+001dB,1.79999910057189e+002°)
6.16595001861478e-002	(4.00691889107819e+001dB,1.79999907962152e+002°)
6.30957344480189e-002	(4.00691889107814e+001dB,1.79999905818315e+002°)
6.45654229034651e-002	(4.00691889107808e+001dB,1.79999903624542e+002°)
6.60693448007592e-002	(4.00691889107803e+001dB,1.79999901379669e+002°)
6.76082975391978e-002	(4.00691889107798e+001dB,1.79999899082507e+002°)
6.91830970918932e-002	(4.00691889107792e+001dB,1.79999896731836e+002°)
7.07945784384133e-002	(4.00691889107787e+001dB,1.79999894326412e+002°)
7.24435960074985e-002	(4.00691889107780e+001dB,1.79999891864958e+002°)
7.41310241300913e-002	(4.00691889107773e+001dB,1.79999889346169e+002°)
7.58577575029179e-002	(4.00691889107767e+001dB,1.79999886768710e+002°)
7.76247116628687e-002	(4.00691889107760e+001dB,1.79999884131215e+002°)
7.94328234724276e-002	(4.00691889107752e+001dB,1.79999881432284e+002°)
8.12830516164094e-002	(4.00691889107744e+001dB,1.79999878670487e+002°)
8.31763771102666e-002	(4.00691889107736e+001dB,1.79999875844359e+002°)
8.51138038202371e-002	(4.00691889107727e+001dB,1.79999872952403e+002°)
8.70963589956075e-002	(4.00691889107718e+001dB,1.79999869993084e+002°)
8.91250938133740e-002	(4.00691889107708e+001dB,1.79999866964834e+002°)
9.12010839355904e-002	(4.00691889107699e+001dB,1.79999863866047e+002°)
9.33254300796985e-002	(4.00691889107689e+001dB,1.79999860695080e+002°)
9.54992586021430e-002	(4.00691889107677e+001dB,1.79999857450252e+002°)
9.77237220955804e-002	(4.00691889107666e+001dB,1.79999854129842e+002°)
9.99999999999993e-002	(4.00691889107654e+001dB,1.79999850732089e+002°)
1.02329299228075e-001	(4.00691889107642e+001dB,1.79999847255193e+002°)
1.04712854805089e-001	(4.00691889107628e+001dB,1.79999843697309e+002°)
1.07151930523760e-001	(4.00691889107615e+001dB,1.79999840056552e+002°)
1.09647819614318e-001	(4.00691889107600e+001dB,1.79999836330990e+002°)
1.12201845430196e-001	(4.00691889107586e+001dB,1.79999832518649e+002°)
1.14815362149687e-001	(4.00691889107569e+001dB,1.79999828617507e+002°)
1.17489755493952e-001	(4.00691889107553e+001dB,1.79999824625496e+002°)
1.20226443461740e-001	(4.00691889107536e+001dB,1.79999820540499e+002°)
1.23026877081237e-001	(4.00691889107518e+001dB,1.79999816360351e+002°)
1.25892541179416e-001	(4.00691889107499e+001dB,1.79999812082834e+002°)
1.28824955169312e-001	(4.00691889107479e+001dB,1.79999807705681e+002°)
1.31825673855640e-001	(4.00691889107459e+001dB,1.79999803226571e+002°)
1.34896288259164e-001	(4.00691889107437e+001dB,1.79999798643129e+002°)
1.38038426460287e-001	(4.00691889107414e+001dB,1.79999793952924e+002°)
1.41253754462274e-001	(4.00691889107390e+001dB,1.79999789153472e+002°)
1.44543977074592e-001	(4.00691889107364e+001dB,1.79999784242225e+002°)
1.47910838816820e-001	(4.00691889107339e+001dB,1.79999779216581e+002°)
1.51356124843620e-001	(4.00691889107311e+001dB,1.79999774073874e+002°)
1.54881661891247e-001	(4.00691889107283e+001dB,1.79999768811379e+002°)
1.58489319246110e-001	(4.00691889107253e+001dB,1.79999763426304e+002°)
1.62181009735892e-001	(4.00691889107221e+001dB,1.79999757915795e+002°)
1.65958690743755e-001	(4.00691889107189e+001dB,1.79999752276929e+002°)
1.69824365246173e-001	(4.00691889107154e+001dB,1.79999746506718e+002°)
1.73780082874936e-001	(4.00691889107118e+001dB,1.79999740602101e+002°)
1.77827941003891e-001	(4.00691889107080e+001dB,1.79999734559947e+002°)
1.81970085860997e-001	(4.00691889107041e+001dB,1.79999728377054e+002°)
1.86208713666285e-001	(4.00691889107000e+001dB,1.79999722050143e+002°)
1.90546071796323e-001	(4.00691889106955e+001dB,1.79999715575859e+002°)
1.94984459975803e-001	(4.00691889106910e+001dB,1.79999708950770e+002°)
1.99526231496886e-001	(4.00691889106864e+001dB,1.79999702171362e+002°)
2.04173794466951e-001	(4.00691889106814e+001dB,1.79999695234042e+002°)
2.08929613085402e-001	(4.00691889106761e+001dB,1.79999688135131e+002°)
2.13796208950222e-001	(4.00691889106707e+001dB,1.79999680870865e+002°)
2.18776162394954e-001	(4.00691889106650e+001dB,1.79999673437393e+002°)
2.23872113856832e-001	(4.00691889106590e+001dB,1.79999665830772e+002°)
2.29086765276776e-001	(4.00691889106527e+001dB,1.79999658046971e+002°)
2.34422881531990e-001	(4.00691889106461e+001dB,1.79999650081862e+002°)
2.39883291901947e-001	(4.00691889106392e+001dB,1.79999641931221e+002°)
2.45470891568501e-001	(4.00691889106321e+001dB,1.79999633590728e+002°)
2.51188643150956e-001	(4.00691889106245e+001dB,1.79999625055960e+002°)
2.57039578276884e-001	(4.00691889106167e+001dB,1.79999616322391e+002°)
2.63026799189536e-001	(4.00691889106084e+001dB,1.79999607385392e+002°)
2.69153480392689e-001	(4.00691889105997e+001dB,1.79999598240223e+002°)
2.75422870333815e-001	(4.00691889105907e+001dB,1.79999588882035e+002°)
2.81838293126443e-001	(4.00691889105812e+001dB,1.79999579305868e+002°)
2.88403150312658e-001	(4.00691889105712e+001dB,1.79999569506642e+002°)
2.95120922666636e-001	(4.00691889105609e+001dB,1.79999559479164e+002°)
3.01995172040199e-001	(4.00691889105500e+001dB,1.79999549218115e+002°)
3.09029543251357e-001	(4.00691889105385e+001dB,1.79999538718057e+002°)
3.16227766016835e-001	(4.00691889105267e+001dB,1.79999527973420e+002°)
3.23593656929626e-001	(4.00691889105141e+001dB,1.79999516978508e+002°)
3.31131121482589e-001	(4.00691889105011e+001dB,1.79999505727492e+002°)
3.38844156139200e-001	(4.00691889104873e+001dB,1.79999494214407e+002°)
3.46736850452529e-001	(4.00691889104730e+001dB,1.79999482433147e+002°)
3.54813389233573e-001	(4.00691889104580e+001dB,1.79999470377466e+002°)
3.63078054770098e-001	(4.00691889104422e+001dB,1.79999458040972e+002°)
3.71535229097170e-001	(4.00691889104257e+001dB,1.79999445417125e+002°)
3.80189396320558e-001	(4.00691889104085e+001dB,1.79999432499230e+002°)
3.89045144994277e-001	(4.00691889103904e+001dB,1.79999419280439e+002°)
3.98107170553494e-001	(4.00691889103714e+001dB,1.79999405753743e+002°)
4.07380277804109e-001	(4.00691889103516e+001dB,1.79999391911970e+002°)
4.16869383470332e-001	(4.00691889103309e+001dB,1.79999377747780e+002°)
4.26579518801589e-001	(4.00691889103092e+001dB,1.79999363253664e+002°)
4.36515832240162e-001	(4.00691889102864e+001dB,1.79999348421936e+002°)
4.46683592150959e-001	(4.00691889102625e+001dB,1.79999333244733e+002°)
4.57088189614871e-001	(4.00691889102376e+001dB,1.79999317714008e+002°)
4.67735141287194e-001	(4.00691889102115e+001dB,1.79999301821526e+002°)
4.78630092322634e-001	(4.00691889101841e+001dB,1.79999285558860e+002°)
4.89778819368442e-001	(4.00691889101555e+001dB,1.79999268917388e+002°)
5.01187233627268e-001	(4.00691889101255e+001dB,1.79999251888286e+002°)
5.12861383991360e-001	(4.00691889100941e+001dB,1.79999234462526e+002°)
5.24807460249768e-001	(4.00691889100613e+001dB,1.79999216630867e+002°)
5.37031796370248e-001	(4.00691889100268e+001dB,1.79999198383856e+002°)
5.49540873857620e-001	(4.00691889099906e+001dB,1.79999179711818e+002°)
5.62341325190344e-001	(4.00691889099529e+001dB,1.79999160604851e+002°)
5.75439937337152e-001	(4.00691889099134e+001dB,1.79999141052827e+002°)
5.88843655355584e-001	(4.00691889098720e+001dB,1.79999121045377e+002°)
6.02559586074352e-001	(4.00691889098287e+001dB,1.79999100571894e+002°)
6.16595001861477e-001	(4.00691889097833e+001dB,1.79999079621522e+002°)
6.30957344480188e-001	(4.00691889097357e+001dB,1.79999058183153e+002°)
6.45654229034650e-001	(4.00691889096859e+001dB,1.79999036245420e+002°)
6.60693448007590e-001	(4.00691889096338e+001dB,1.79999013796692e+002°)
6.76082975391976e-001	(4.00691889095793e+001dB,1.79998990825066e+002°)
6.91830970918930e-001	(4.00691889095221e+001dB,1.79998967318362e+002°)
7.07945784384132e-001	(4.00691889094622e+001dB,1.79998943264117e+002°)
7.24435960074984e-001	(4.00691889093996e+001dB,1.79998918649576e+002°)
7.41310241300911e-001	(4.00691889093339e+001dB,1.79998893461689e+002°)
7.58577575029177e-001	(4.00691889092653e+001dB,1.79998867687101e+002°)
7.76247116628685e-001	(4.00691889091933e+001dB,1.79998841312145e+002°)
7.94328234724274e-001	(4.00691889091180e+001dB,1.79998814322838e+002°)
8.12830516164092e-001	(4.00691889090391e+001dB,1.79998786704869e+002°)
8.31763771102663e-001	(4.00691889089564e+001dB,1.79998758443595e+002°)
8.51138038202369e-001	(4.00691889088700e+001dB,1.79998729524031e+002°)
8.70963589956073e-001	(4.00691889087795e+001dB,1.79998699930844e+002°)
8.91250938133737e-001	(4.00691889086845e+001dB,1.79998669648343e+002°)
9.12010839355901e-001	(4.00691889085852e+001dB,1.79998638660472e+002°)
9.33254300796982e-001	(4.00691889084812e+001dB,1.79998606950801e+002°)
9.54992586021427e-001	(4.00691889083723e+001dB,1.79998574502517e+002°)
9.77237220955801e-001	(4.00691889082582e+001dB,1.79998541298415e+002°)
9.99999999999990e-001	(4.00691889081388e+001dB,1.79998507320891e+002°)
1.02329299228074e+000	(4.00691889080138e+001dB,1.79998472551928e+002°)
1.04712854805089e+000	(4.00691889078830e+001dB,1.79998436973091e+002°)
1.07151930523760e+000	(4.00691889077458e+001dB,1.79998400565518e+002°)
1.09647819614317e+000	(4.00691889076022e+001dB,1.79998363309903e+002°)
1.12201845430195e+000	(4.00691889074520e+001dB,1.79998325186493e+002°)
1.14815362149687e+000	(4.00691889072946e+001dB,1.79998286175075e+002°)
1.17489755493952e+000	(4.00691889071297e+001dB,1.79998246254964e+002°)
1.20226443461740e+000	(4.00691889069571e+001dB,1.79998205404995e+002°)
1.23026877081237e+000	(4.00691889067765e+001dB,1.79998163603507e+002°)
1.25892541179415e+000	(4.00691889065871e+001dB,1.79998120828338e+002°)
1.28824955169312e+000	(4.00691889063890e+001dB,1.79998077056807e+002°)
1.31825673855639e+000	(4.00691889061815e+001dB,1.79998032265706e+002°)
1.34896288259164e+000	(4.00691889059641e+001dB,1.79997986431286e+002°)
