frequency,V(onoise)
1.000000000000000e-003,1.043736e-006
1.023292992280754e-003,1.043736e-006
1.047128548050900e-003,1.043736e-006
1.071519305237606e-003,1.043736e-006
1.096478196143185e-003,1.043736e-006
1.122018454301963e-003,1.043736e-006
1.148153621496883e-003,1.043736e-006
1.174897554939529e-003,1.043736e-006
1.202264434617413e-003,1.043736e-006
1.230268770812381e-003,1.043736e-006
1.258925411794167e-003,1.043736e-006
1.288249551693133e-003,1.043736e-006
1.318256738556406e-003,1.043736e-006
1.348962882591653e-003,1.043736e-006
1.380384264602884e-003,1.043736e-006
1.412537544622754e-003,1.043736e-006
1.445439770745927e-003,1.043736e-006
1.479108388168207e-003,1.043736e-006
1.513561248436207e-003,1.043736e-006
1.548816618912480e-003,1.043736e-006
1.584893192461112e-003,1.043736e-006
1.621810097358929e-003,1.043736e-006
1.659586907437559e-003,1.043736e-006
1.698243652461743e-003,1.043736e-006
1.737800828749374e-003,1.043736e-006
1.778279410038921e-003,1.043736e-006
1.819700858609981e-003,1.043736e-006
1.862087136662865e-003,1.043736e-006
1.905460717963245e-003,1.043736e-006
1.949844599758043e-003,1.043736e-006
1.995262314968877e-003,1.043736e-006
2.041737944669526e-003,1.043736e-006
2.089296130854036e-003,1.043736e-006
2.137962089502229e-003,1.043736e-006
2.187761623949549e-003,1.043736e-006
2.238721138568336e-003,1.043736e-006
2.290867652767769e-003,1.043736e-006
2.344228815319918e-003,1.043736e-006
2.398832919019486e-003,1.043736e-006
2.454708915685026e-003,1.043736e-006
2.511886431509576e-003,1.043736e-006
2.570395782768859e-003,1.043736e-006
2.630267991895377e-003,1.043736e-006
2.691534803926911e-003,1.043736e-006
2.754228703338161e-003,1.043736e-006
2.818382931264448e-003,1.043736e-006
2.884031503126600e-003,1.043736e-006
2.951209226666380e-003,1.043736e-006
3.019951720402010e-003,1.043736e-006
3.090295432513584e-003,1.043736e-006
3.162277660168373e-003,1.043736e-006
3.235936569296276e-003,1.043736e-006
3.311311214825904e-003,1.043736e-006
3.388441561392018e-003,1.043736e-006
3.467368504525309e-003,1.043736e-006
3.548133892335747e-003,1.043736e-006
3.630780547701005e-003,1.043736e-006
3.715352290971717e-003,1.043736e-006
3.801893963205603e-003,1.043736e-006
3.890451449942797e-003,1.043736e-006
3.981071705534963e-003,1.043736e-006
4.073802778041117e-003,1.043736e-006
4.168693834703344e-003,1.043736e-006
4.265795188015916e-003,1.043736e-006
4.365158322401649e-003,1.043736e-006
4.466835921509620e-003,1.043736e-006
4.570881896148739e-003,1.043736e-006
4.677351412871971e-003,1.043736e-006
4.786300923226372e-003,1.043736e-006
4.897788193684450e-003,1.043736e-006
5.011872336272710e-003,1.043736e-006
5.128613839913635e-003,1.043736e-006
5.248074602497712e-003,1.043736e-006
5.370317963702512e-003,1.043736e-006
5.495408738576230e-003,1.043736e-006
5.623413251903475e-003,1.043736e-006
5.754399373371553e-003,1.043736e-006
5.888436553555873e-003,1.043736e-006
6.025595860743560e-003,1.043736e-006
6.165950018614803e-003,1.043736e-006
6.309573444801914e-003,1.043736e-006
6.456542290346536e-003,1.043736e-006
6.606934480075940e-003,1.043736e-006
6.760829753919797e-003,1.043736e-006
6.918309709189343e-003,1.043736e-006
7.079457843841356e-003,1.043736e-006
7.244359600749877e-003,1.043736e-006
7.413102413009151e-003,1.043736e-006
7.585775750291813e-003,1.043736e-006
7.762471166286891e-003,1.043736e-006
7.943282347242788e-003,1.043736e-006
8.128305161640965e-003,1.043736e-006
8.317637711026681e-003,1.043736e-006
8.511380382023735e-003,1.043736e-006
8.709635899560775e-003,1.043736e-006
8.912509381337423e-003,1.043736e-006
9.120108393559064e-003,1.043736e-006
9.332543007969875e-003,1.043736e-006
9.549925860214322e-003,1.043736e-006
9.772372209558069e-003,1.043736e-006
9.999999999999960e-003,1.043736e-006
1.023292992280750e-002,1.043736e-006
1.047128548050895e-002,1.043736e-006
1.071519305237602e-002,1.043736e-006
1.096478196143181e-002,1.043736e-006
1.122018454301959e-002,1.043736e-006
1.148153621496878e-002,1.043736e-006
1.174897554939525e-002,1.043736e-006
1.202264434617408e-002,1.043736e-006
1.230268770812376e-002,1.043736e-006
1.258925411794162e-002,1.043736e-006
1.288249551693129e-002,1.043736e-006
1.318256738556401e-002,1.043736e-006
1.348962882591648e-002,1.043736e-006
1.380384264602879e-002,1.043736e-006
1.412537544622748e-002,1.043736e-006
1.445439770745921e-002,1.043736e-006
1.479108388168201e-002,1.043736e-006
1.513561248436201e-002,1.043736e-006
1.548816618912474e-002,1.043736e-006
1.584893192461106e-002,1.043736e-006
1.621810097358923e-002,1.043736e-006
1.659586907437553e-002,1.043736e-006
1.698243652461736e-002,1.043736e-006
1.737800828749367e-002,1.043736e-006
1.778279410038914e-002,1.043736e-006
1.819700858609975e-002,1.043736e-006
1.862087136662858e-002,1.043736e-006
1.905460717963238e-002,1.043736e-006
1.949844599758036e-002,1.043736e-006
1.995262314968870e-002,1.043736e-006
2.041737944669519e-002,1.043736e-006
2.089296130854029e-002,1.043736e-006
2.137962089502221e-002,1.043736e-006
2.187761623949541e-002,1.043736e-006
2.238721138568328e-002,1.043736e-006
2.290867652767761e-002,1.043736e-006
2.344228815319910e-002,1.043736e-006
2.398832919019478e-002,1.043736e-006
2.454708915685017e-002,1.043736e-006
2.511886431509567e-002,1.043736e-006
2.570395782768850e-002,1.043736e-006
2.630267991895368e-002,1.043736e-006
2.691534803926901e-002,1.043736e-006
2.754228703338152e-002,1.043736e-006
2.818382931264438e-002,1.043736e-006
2.884031503126590e-002,1.043736e-006
2.951209226666370e-002,1.043736e-006
3.019951720401999e-002,1.043736e-006
3.090295432513573e-002,1.043736e-006
3.162277660168361e-002,1.043736e-006
3.235936569296264e-002,1.043736e-006
3.311311214825892e-002,1.043736e-006
3.388441561392006e-002,1.043736e-006
3.467368504525296e-002,1.043736e-006
3.548133892335734e-002,1.043736e-006
3.630780547700992e-002,1.043736e-006
3.715352290971704e-002,1.043736e-006
3.801893963205590e-002,1.043736e-006
3.890451449942783e-002,1.043736e-006
3.981071705534948e-002,1.043736e-006
4.073802778041102e-002,1.043736e-006
4.168693834703328e-002,1.043736e-006
4.265795188015900e-002,1.043736e-006
4.365158322401633e-002,1.043736e-006
4.466835921509604e-002,1.043736e-006
4.570881896148722e-002,1.043736e-006
4.677351412871953e-002,1.043736e-006
4.786300923226354e-002,1.043736e-006
4.897788193684432e-002,1.043736e-006
5.011872336272692e-002,1.043736e-006
5.128613839913617e-002,1.043736e-006
5.248074602497694e-002,1.043736e-006
5.370317963702494e-002,1.043736e-006
5.495408738576212e-002,1.043736e-006
5.623413251903456e-002,1.043736e-006
5.754399373371533e-002,1.043736e-006
5.888436553555853e-002,1.043736e-006
6.025595860743540e-002,1.043736e-006
6.165950018614783e-002,1.043736e-006
6.309573444801893e-002,1.043736e-006
6.456542290346515e-002,1.043736e-006
6.606934480075918e-002,1.043735e-006
6.760829753919775e-002,1.043735e-006
6.918309709189321e-002,1.043735e-006
7.079457843841334e-002,1.043735e-006
7.244359600749854e-002,1.043735e-006
7.413102413009128e-002,1.043735e-006
7.585775750291789e-002,1.043735e-006
7.762471166286866e-002,1.043735e-006
7.943282347242762e-002,1.043735e-006
8.128305161640939e-002,1.043735e-006
8.317637711026656e-002,1.043735e-006
8.511380382023709e-002,1.043735e-006
8.709635899560748e-002,1.043735e-006
8.912509381337395e-002,1.043735e-006
9.120108393559036e-002,1.043735e-006
9.332543007969847e-002,1.043735e-006
9.549925860214295e-002,1.043735e-006
9.772372209558040e-002,1.043735e-006
9.999999999999931e-002,1.043735e-006
1.023292992280747e-001,1.043735e-006
1.047128548050892e-001,1.043735e-006
1.071519305237599e-001,1.043735e-006
1.096478196143177e-001,1.043735e-006
1.122018454301956e-001,1.043735e-006
1.148153621496875e-001,1.043735e-006
1.174897554939521e-001,1.043735e-006
1.202264434617404e-001,1.043735e-006
1.230268770812373e-001,1.043735e-006
1.258925411794158e-001,1.043735e-006
1.288249551693125e-001,1.043735e-006
1.318256738556398e-001,1.043735e-006
1.348962882591644e-001,1.043735e-006
1.380384264602875e-001,1.043735e-006
1.412537544622744e-001,1.043735e-006
1.445439770745917e-001,1.043735e-006
1.479108388168197e-001,1.043735e-006
1.513561248436197e-001,1.043735e-006
1.548816618912470e-001,1.043734e-006
1.584893192461102e-001,1.043734e-006
1.621810097358918e-001,1.043734e-006
1.659586907437549e-001,1.043734e-006
1.698243652461732e-001,1.043734e-006
1.737800828749363e-001,1.043734e-006
1.778279410038910e-001,1.043734e-006
1.819700858609970e-001,1.043734e-006
1.862087136662854e-001,1.043734e-006
1.905460717963233e-001,1.043734e-006
1.949844599758031e-001,1.043734e-006
1.995262314968865e-001,1.043734e-006
2.041737944669514e-001,1.043734e-006
2.089296130854024e-001,1.043734e-006
2.137962089502216e-001,1.043734e-006
2.187761623949536e-001,1.043734e-006
2.238721138568323e-001,1.043734e-006
2.290867652767756e-001,1.043734e-006
2.344228815319904e-001,1.043734e-006
2.398832919019472e-001,1.043734e-006
2.454708915685012e-001,1.043733e-006
2.511886431509561e-001,1.043733e-006
2.570395782768844e-001,1.043733e-006
2.630267991895361e-001,1.043733e-006
2.691534803926895e-001,1.043733e-006
2.754228703338145e-001,1.043733e-006
2.818382931264432e-001,1.043733e-006
2.884031503126583e-001,1.043733e-006
2.951209226666363e-001,1.043733e-006
3.019951720401993e-001,1.043733e-006
3.090295432513566e-001,1.043733e-006
3.162277660168354e-001,1.043733e-006
3.235936569296257e-001,1.043732e-006
3.311311214825885e-001,1.043732e-006
3.388441561391999e-001,1.043732e-006
3.467368504525289e-001,1.043732e-006
3.548133892335726e-001,1.043732e-006
3.630780547700985e-001,1.043732e-006
3.715352290971696e-001,1.043732e-006
3.801893963205582e-001,1.043732e-006
3.890451449942775e-001,1.043732e-006
3.981071705534940e-001,1.043732e-006
4.073802778041094e-001,1.043732e-006
4.168693834703320e-001,1.043731e-006
4.265795188015891e-001,1.043731e-006
4.365158322401623e-001,1.043731e-006
4.466835921509594e-001,1.043731e-006
4.570881896148712e-001,1.043731e-006
4.677351412871942e-001,1.043731e-006
4.786300923226343e-001,1.043731e-006
4.897788193684420e-001,1.043731e-006
5.011872336272679e-001,1.043730e-006
5.128613839913604e-001,1.043730e-006
5.248074602497680e-001,1.043730e-006
5.370317963702480e-001,1.043730e-006
5.495408738576197e-001,1.043730e-006
5.623413251903442e-001,1.043730e-006
5.754399373371519e-001,1.043730e-006
5.888436553555838e-001,1.043729e-006
6.025595860743525e-001,1.043729e-006
6.165950018614768e-001,1.043729e-006
6.309573444801877e-001,1.043729e-006
6.456542290346499e-001,1.043729e-006
6.606934480075902e-001,1.043729e-006
6.760829753919758e-001,1.043728e-006
6.918309709189304e-001,1.043728e-006
7.079457843841317e-001,1.043728e-006
7.244359600749837e-001,1.043728e-006
7.413102413009109e-001,1.043728e-006
7.585775750291770e-001,1.043727e-006
7.762471166286847e-001,1.043727e-006
7.943282347242743e-001,1.043727e-006
8.128305161640919e-001,1.043727e-006
8.317637711026634e-001,1.043727e-006
8.511380382023687e-001,1.043726e-006
8.709635899560726e-001,1.043726e-006
8.912509381337372e-001,1.043726e-006
9.120108393559012e-001,1.043726e-006
9.332543007969822e-001,1.043725e-006
9.549925860214269e-001,1.043725e-006
9.772372209558013e-001,1.043725e-006
9.999999999999905e-001,1.043725e-006
1.023292992280744e+000,1.043724e-006
1.047128548050889e+000,1.043724e-006
1.071519305237596e+000,1.043724e-006
1.096478196143174e+000,1.043724e-006
1.122018454301952e+000,1.043723e-006
1.148153621496871e+000,1.043723e-006
1.174897554939518e+000,1.043723e-006
1.202264434617401e+000,1.043722e-006
1.230268770812369e+000,1.043722e-006
1.258925411794154e+000,1.043722e-006
1.288249551693121e+000,1.043721e-006
1.318256738556394e+000,1.043721e-006
1.348962882591640e+000,1.043721e-006
1.380384264602870e+000,1.043720e-006
1.412537544622740e+000,1.043720e-006
1.445439770745912e+000,1.043720e-006
1.479108388168192e+000,1.043719e-006
1.513561248436192e+000,1.043719e-006
1.548816618912465e+000,1.043718e-006
1.584893192461097e+000,1.043718e-006
1.621810097358913e+000,1.043717e-006
1.659586907437543e+000,1.043717e-006
1.698243652461726e+000,1.043717e-006
1.737800828749357e+000,1.043716e-006
1.778279410038903e+000,1.043716e-006
1.819700858609964e+000,1.043715e-006
1.862087136662847e+000,1.043715e-006
1.905460717963226e+000,1.043714e-006
1.949844599758024e+000,1.043714e-006
1.995262314968858e+000,1.043713e-006
2.041737944669507e+000,1.043713e-006
2.089296130854017e+000,1.043712e-006
2.137962089502209e+000,1.043711e-006
2.187761623949529e+000,1.043711e-006
2.238721138568315e+000,1.043710e-006
2.290867652767748e+000,1.043710e-006
2.344228815319896e+000,1.043709e-006
2.398832919019464e+000,1.043708e-006
2.454708915685003e+000,1.043708e-006
2.511886431509552e+000,1.043707e-006
2.570395782768835e+000,1.043706e-006
2.630267991895352e+000,1.043706e-006
2.691534803926885e+000,1.043705e-006
2.754228703338135e+000,1.043704e-006
2.818382931264422e+000,1.043703e-006
2.884031503126573e+000,1.043703e-006
2.951209226666352e+000,1.043702e-006
3.019951720401982e+000,1.043701e-006
3.090295432513555e+000,1.043700e-006
3.162277660168343e+000,1.043700e-006
3.235936569296245e+000,1.043699e-006
3.311311214825872e+000,1.043698e-006
3.388441561391986e+000,1.043697e-006
3.467368504525275e+000,1.043696e-006
3.548133892335712e+000,1.043695e-006
3.630780547700970e+000,1.043694e-006
3.715352290971681e+000,1.043693e-006
3.801893963205566e+000,1.043692e-006
3.890451449942759e+000,1.043691e-006
3.981071705534924e+000,1.043690e-006
4.073802778041078e+000,1.043689e-006
4.168693834703303e+000,1.043688e-006
4.265795188015875e+000,1.043687e-006
4.365158322401607e+000,1.043686e-006
4.466835921509577e+000,1.043684e-006
4.570881896148695e+000,1.043683e-006
4.677351412871925e+000,1.043682e-006
4.786300923226325e+000,1.043681e-006
4.897788193684401e+000,1.043679e-006
5.011872336272661e+000,1.043678e-006
5.128613839913585e+000,1.043677e-006
5.248074602497661e+000,1.043675e-006
5.370317963702460e+000,1.043674e-006
5.495408738576177e+000,1.043672e-006
5.623413251903420e+000,1.043671e-006
5.754399373371497e+000,1.043669e-006
5.888436553555815e+000,1.043668e-006
6.025595860743501e+000,1.043666e-006
6.165950018614743e+000,1.043665e-006
6.309573444801852e+000,1.043663e-006
6.456542290346472e+000,1.043661e-006
6.606934480075875e+000,1.043659e-006
6.760829753919730e+000,1.043658e-006
6.918309709189275e+000,1.043656e-006
7.079457843841287e+000,1.043654e-006
7.244359600749807e+000,1.043652e-006
7.413102413009079e+000,1.043650e-006
7.585775750291739e+000,1.043648e-006
7.762471166286816e+000,1.043646e-006
7.943282347242711e+000,1.043644e-006
8.128305161640887e+000,1.043642e-006
8.317637711026601e+000,1.043640e-006
8.511380382023653e+000,1.043637e-006
8.709635899560691e+000,1.043635e-006
8.912509381337337e+000,1.043633e-006
9.120108393558976e+000,1.043630e-006
9.332543007969786e+000,1.043628e-006
9.549925860214232e+000,1.043625e-006
9.772372209557977e+000,1.043623e-006
9.999999999999867e+000,1.043620e-006
1.023292992280740e+001,1.043617e-006
1.047128548050885e+001,1.043615e-006
1.071519305237592e+001,1.043612e-006
1.096478196143170e+001,1.043609e-006
1.122018454301948e+001,1.043606e-006
1.148153621496867e+001,1.043603e-006
1.174897554939514e+001,1.043600e-006
1.202264434617397e+001,1.043597e-006
1.230268770812365e+001,1.043593e-006
1.258925411794150e+001,1.043590e-006
1.288249551693117e+001,1.043587e-006
1.318256738556389e+001,1.043583e-006
1.348962882591635e+001,1.043580e-006
1.380384264602866e+001,1.043576e-006
1.412537544622735e+001,1.043572e-006
1.445439770745908e+001,1.043569e-006
1.479108388168187e+001,1.043565e-006
1.513561248436188e+001,1.043561e-006
1.548816618912460e+001,1.043557e-006
1.584893192461092e+001,1.043552e-006
1.621810097358908e+001,1.043548e-006
1.659586907437538e+001,1.043544e-006
1.698243652461721e+001,1.043539e-006
1.737800828749352e+001,1.043535e-006
1.778279410038898e+001,1.043530e-006
1.819700858609959e+001,1.043525e-006
1.862087136662842e+001,1.043520e-006
1.905460717963221e+001,1.043515e-006
1.949844599758018e+001,1.043510e-006
1.995262314968852e+001,1.043505e-006
2.041737944669501e+001,1.043499e-006
2.089296130854010e+001,1.043494e-006
2.137962089502202e+001,1.043488e-006
2.187761623949522e+001,1.043483e-006
2.238721138568308e+001,1.043477e-006
2.290867652767741e+001,1.043471e-006
2.344228815319889e+001,1.043464e-006
2.398832919019457e+001,1.043458e-006
2.454708915684996e+001,1.043452e-006
2.511886431509545e+001,1.043445e-006
2.570395782768827e+001,1.043438e-006
2.630267991895345e+001,1.043431e-006
2.691534803926878e+001,1.043424e-006
2.754228703338127e+001,1.043417e-006
2.818382931264414e+001,1.043410e-006
2.884031503126565e+001,1.043402e-006
2.951209226666343e+001,1.043394e-006
3.019951720401973e+001,1.043386e-006
3.090295432513546e+001,1.043378e-006
3.162277660168334e+001,1.043370e-006
3.235936569296236e+001,1.043361e-006
3.311311214825863e+001,1.043353e-006
3.388441561391976e+001,1.043344e-006
3.467368504525266e+001,1.043335e-006
3.548133892335703e+001,1.043325e-006
3.630780547700960e+001,1.043316e-006
3.715352290971671e+001,1.043306e-006
3.801893963205556e+001,1.043296e-006
3.890451449942749e+001,1.043286e-006
3.981071705534914e+001,1.043275e-006
4.073802778041067e+001,1.043265e-006
4.168693834703292e+001,1.043254e-006
4.265795188015863e+001,1.043242e-006
4.365158322401594e+001,1.043231e-006
4.466835921509564e+001,1.043219e-006
4.570881896148681e+001,1.043207e-006
4.677351412871911e+001,1.043195e-006
4.786300923226311e+001,1.043182e-006
4.897788193684388e+001,1.043170e-006
5.011872336272647e+001,1.043156e-006
5.128613839913571e+001,1.043143e-006
5.248074602497646e+001,1.043129e-006
5.370317963702446e+001,1.043115e-006
5.495408738576162e+001,1.043101e-006
5.623413251903405e+001,1.043086e-006
5.754399373371481e+001,1.043071e-006
5.888436553555800e+001,1.043055e-006
6.025595860743485e+001,1.043040e-006
6.165950018614727e+001,1.043024e-006
6.309573444801836e+001,1.043007e-006
6.456542290346455e+001,1.042990e-006
6.606934480075857e+001,1.042973e-006
6.760829753919713e+001,1.042955e-006
6.918309709189256e+001,1.042937e-006
7.079457843841267e+001,1.042918e-006
7.244359600749786e+001,1.042900e-006
7.413102413009058e+001,1.042880e-006
7.585775750291718e+001,1.042860e-006
7.762471166286795e+001,1.042840e-006
7.943282347242690e+001,1.042819e-006
8.128305161640864e+001,1.042798e-006
8.317637711026579e+001,1.042776e-006
8.511380382023630e+001,1.042754e-006
8.709635899560668e+001,1.042732e-006
8.912509381337313e+001,1.042708e-006
9.120108393558951e+001,1.042685e-006
9.332543007969760e+001,1.042660e-006
9.549925860214205e+001,1.042635e-006
9.772372209557949e+001,1.042610e-006
9.999999999999838e+001,1.042584e-006
1.023292992280738e+002,1.042557e-006
1.047128548050883e+002,1.042530e-006
1.071519305237589e+002,1.042502e-006
1.096478196143167e+002,1.042474e-006
1.122018454301945e+002,1.042445e-006
1.148153621496864e+002,1.042415e-006
1.174897554939510e+002,1.042384e-006
1.202264434617393e+002,1.042353e-006
1.230268770812361e+002,1.042321e-006
1.258925411794146e+002,1.042289e-006
1.288249551693113e+002,1.042255e-006
1.318256738556385e+002,1.042221e-006
1.348962882591631e+002,1.042186e-006
1.380384264602862e+002,1.042150e-006
1.412537544622730e+002,1.042114e-006
1.445439770745903e+002,1.042076e-006
1.479108388168182e+002,1.042038e-006
1.513561248436182e+002,1.041999e-006
1.548816618912455e+002,1.041959e-006
1.584893192461086e+002,1.041918e-006
1.621810097358902e+002,1.041877e-006
1.659586907437532e+002,1.041834e-006
1.698243652461715e+002,1.041790e-006
1.737800828749346e+002,1.041745e-006
1.778279410038892e+002,1.041700e-006
1.819700858609952e+002,1.041653e-006
1.862087136662836e+002,1.041605e-006
1.905460717963215e+002,1.041556e-006
1.949844599758012e+002,1.041506e-006
1.995262314968846e+002,1.041455e-006
2.041737944669494e+002,1.041403e-006
