Freq.	V(vout)/(V(vp)-V(vm))
1.00000000000000e-002	(4.00533200745638e+001dB,1.79999957198382e+002°)
1.02329299228075e-002	(4.00533200745668e+001dB,1.79999956201405e+002°)
1.04712854805090e-002	(4.00533200745635e+001dB,1.79999955181204e+002°)
1.07151930523761e-002	(4.00533200745666e+001dB,1.79999954137240e+002°)
1.09647819614318e-002	(4.00533200745651e+001dB,1.79999953068960e+002°)
1.12201845430196e-002	(4.00533200745646e+001dB,1.79999951975795e+002°)
1.14815362149688e-002	(4.00533200745630e+001dB,1.79999950857168e+002°)
1.17489755493953e-002	(4.00533200745666e+001dB,1.79999949712484e+002°)
1.20226443461741e-002	(4.00533200745641e+001dB,1.79999948541137e+002°)
1.23026877081238e-002	(4.00533200745626e+001dB,1.79999947342507e+002°)
1.25892541179417e-002	(4.00533200745656e+001dB,1.79999946115956e+002°)
1.28824955169313e-002	(4.00533200745623e+001dB,1.79999944860835e+002°)
1.31825673855641e-002	(4.00533200745652e+001dB,1.79999943576479e+002°)
1.34896288259165e-002	(4.00533200745637e+001dB,1.79999942262207e+002°)
1.38038426460288e-002	(4.00533200745617e+001dB,1.79999940917321e+002°)
1.41253754462275e-002	(4.00533200745628e+001dB,1.79999939541108e+002°)
1.44543977074593e-002	(4.00533200745630e+001dB,1.79999938132840e+002°)
1.47910838816821e-002	(4.00533200745624e+001dB,1.79999936691768e+002°)
1.51356124843621e-002	(4.00533200745608e+001dB,1.79999935217130e+002°)
1.54881661891248e-002	(4.00533200745619e+001dB,1.79999933708143e+002°)
1.58489319246111e-002	(4.00533200745635e+001dB,1.79999932164008e+002°)
1.62181009735893e-002	(4.00533200745600e+001dB,1.79999930583904e+002°)
1.65958690743756e-002	(4.00533200745611e+001dB,1.79999928966996e+002°)
1.69824365246174e-002	(4.00533200745608e+001dB,1.79999927312425e+002°)
1.73780082874937e-002	(4.00533200745605e+001dB,1.79999925619314e+002°)
1.77827941003892e-002	(4.00533200745606e+001dB,1.79999923886765e+002°)
1.81970085860998e-002	(4.00533200745597e+001dB,1.79999922113860e+002°)
1.86208713666287e-002	(4.00533200745599e+001dB,1.79999920299659e+002°)
1.90546071796325e-002	(4.00533200745590e+001dB,1.79999918443199e+002°)
1.94984459975804e-002	(4.00533200745573e+001dB,1.79999916543497e+002°)
1.99526231496888e-002	(4.00533200745587e+001dB,1.79999914599545e+002°)
2.04173794466953e-002	(4.00533200745579e+001dB,1.79999912610313e+002°)
2.08929613085404e-002	(4.00533200745574e+001dB,1.79999910574746e+002°)
2.13796208950223e-002	(4.00533200745587e+001dB,1.79999908491764e+002°)
2.18776162394955e-002	(4.00533200745568e+001dB,1.79999906360264e+002°)
2.23872113856834e-002	(4.00533200745540e+001dB,1.79999904179114e+002°)
2.29086765276777e-002	(4.00533200745571e+001dB,1.79999901947159e+002°)
2.34422881531992e-002	(4.00533200745548e+001dB,1.79999899663215e+002°)
2.39883291901949e-002	(4.00533200745528e+001dB,1.79999897326071e+002°)
2.45470891568503e-002	(4.00533200745540e+001dB,1.79999894934488e+002°)
2.51188643150958e-002	(4.00533200745529e+001dB,1.79999892487198e+002°)
2.57039578276886e-002	(4.00533200745527e+001dB,1.79999889982903e+002°)
2.63026799189538e-002	(4.00533200745519e+001dB,1.79999887420275e+002°)
2.69153480392691e-002	(4.00533200745494e+001dB,1.79999884797957e+002°)
2.75422870333816e-002	(4.00533200745485e+001dB,1.79999882114556e+002°)
2.81838293126445e-002	(4.00533200745495e+001dB,1.79999879368652e+002°)
2.88403150312660e-002	(4.00533200745482e+001dB,1.79999876558786e+002°)
2.95120922666638e-002	(4.00533200745441e+001dB,1.79999873683471e+002°)
3.01995172040201e-002	(4.00533200745464e+001dB,1.79999870741181e+002°)
3.09029543251359e-002	(4.00533200745454e+001dB,1.79999867730357e+002°)
3.16227766016838e-002	(4.00533200745447e+001dB,1.79999864649401e+002°)
3.23593656929628e-002	(4.00533200745438e+001dB,1.79999861496680e+002°)
3.31131121482591e-002	(4.00533200745421e+001dB,1.79999858270524e+002°)
3.38844156139202e-002	(4.00533200745377e+001dB,1.79999854969220e+002°)
3.46736850452531e-002	(4.00533200745378e+001dB,1.79999851591019e+002°)
3.54813389233575e-002	(4.00533200745366e+001dB,1.79999848134130e+002°)
3.63078054770101e-002	(4.00533200745371e+001dB,1.79999844596719e+002°)
3.71535229097172e-002	(4.00533200745360e+001dB,1.79999840976912e+002°)
3.80189396320561e-002	(4.00533200745327e+001dB,1.79999837272789e+002°)
3.89045144994280e-002	(4.00533200745329e+001dB,1.79999833482385e+002°)
3.98107170553497e-002	(4.00533200745326e+001dB,1.79999829603691e+002°)
4.07380277804112e-002	(4.00533200745291e+001dB,1.79999825634651e+002°)
4.16869383470335e-002	(4.00533200745273e+001dB,1.79999821573161e+002°)
4.26579518801592e-002	(4.00533200745236e+001dB,1.79999817417066e+002°)
4.36515832240165e-002	(4.00533200745221e+001dB,1.79999813164163e+002°)
4.46683592150962e-002	(4.00533200745232e+001dB,1.79999808812197e+002°)
4.57088189614874e-002	(4.00533200745178e+001dB,1.79999804358861e+002°)
4.67735141287197e-002	(4.00533200745168e+001dB,1.79999799801794e+002°)
4.78630092322637e-002	(4.00533200745145e+001dB,1.79999795138578e+002°)
4.89778819368445e-002	(4.00533200745138e+001dB,1.79999790366743e+002°)
5.01187233627271e-002	(4.00533200745076e+001dB,1.79999785483757e+002°)
5.12861383991364e-002	(4.00533200745071e+001dB,1.79999780487032e+002°)
5.24807460249771e-002	(4.00533200745042e+001dB,1.79999775373918e+002°)
5.37031796370252e-002	(4.00533200745012e+001dB,1.79999770141704e+002°)
5.49540873857623e-002	(4.00533200744989e+001dB,1.79999764787617e+002°)
5.62341325190348e-002	(4.00533200744957e+001dB,1.79999759308817e+002°)
5.75439937337156e-002	(4.00533200744926e+001dB,1.79999753702399e+002°)
5.88843655355588e-002	(4.00533200744886e+001dB,1.79999747965390e+002°)
6.02559586074356e-002	(4.00533200744831e+001dB,1.79999742094750e+002°)
6.16595001861481e-002	(4.00533200744791e+001dB,1.79999736087365e+002°)
6.30957344480192e-002	(4.00533200744773e+001dB,1.79999729940050e+002°)
6.45654229034654e-002	(4.00533200744729e+001dB,1.79999723649546e+002°)
6.60693448007594e-002	(4.00533200744665e+001dB,1.79999717212517e+002°)
6.76082975391980e-002	(4.00533200744613e+001dB,1.79999710625550e+002°)
6.91830970918935e-002	(4.00533200744567e+001dB,1.79999703885154e+002°)
7.07945784384136e-002	(4.00533200744516e+001dB,1.79999696987753e+002°)
7.24435960074988e-002	(4.00533200744461e+001dB,1.79999689929691e+002°)
7.41310241300916e-002	(4.00533200744417e+001dB,1.79999682707225e+002°)
7.58577575029182e-002	(4.00533200744330e+001dB,1.79999675316527e+002°)
7.76247116628690e-002	(4.00533200744281e+001dB,1.79999667753678e+002°)
7.94328234724279e-002	(4.00533200744216e+001dB,1.79999660014667e+002°)
8.12830516164097e-002	(4.00533200744132e+001dB,1.79999652095391e+002°)
8.31763771102669e-002	(4.00533200744075e+001dB,1.79999643991651e+002°)
8.51138038202374e-002	(4.00533200744004e+001dB,1.79999635699152e+002°)
8.70963589956078e-002	(4.00533200743920e+001dB,1.79999627213495e+002°)
8.91250938133743e-002	(4.00533200743807e+001dB,1.79999618530182e+002°)
9.12010839355907e-002	(4.00533200743751e+001dB,1.79999609644608e+002°)
9.33254300796988e-002	(4.00533200743661e+001dB,1.79999600552063e+002°)
9.54992586021433e-002	(4.00533200743565e+001dB,1.79999591247725e+002°)
9.77237220955808e-002	(4.00533200743480e+001dB,1.79999581726662e+002°)
9.99999999999997e-002	(4.00533200743358e+001dB,1.79999571983824e+002°)
1.02329299228075e-001	(4.00533200743266e+001dB,1.79999562014047e+002°)
1.04712854805090e-001	(4.00533200743134e+001dB,1.79999551812043e+002°)
1.07151930523760e-001	(4.00533200743015e+001dB,1.79999541372405e+002°)
1.09647819614318e-001	(4.00533200742894e+001dB,1.79999530689596e+002°)
1.12201845430196e-001	(4.00533200742777e+001dB,1.79999519757952e+002°)
1.14815362149688e-001	(4.00533200742640e+001dB,1.79999508571678e+002°)
1.17489755493953e-001	(4.00533200742479e+001dB,1.79999497124842e+002°)
1.20226443461741e-001	(4.00533200742309e+001dB,1.79999485411374e+002°)
1.23026877081238e-001	(4.00533200742179e+001dB,1.79999473425065e+002°)
