frequency,V(inoise)
1.000000000000000e+000,1.460446e-008
1.023292992280754e+000,1.456169e-008
1.047128548050899e+000,1.451977e-008
1.071519305237606e+000,1.447869e-008
1.096478196143185e+000,1.443843e-008
1.122018454301963e+000,1.439898e-008
1.148153621496882e+000,1.436032e-008
1.174897554939529e+000,1.432244e-008
1.202264434617413e+000,1.428532e-008
1.230268770812381e+000,1.424896e-008
1.258925411794167e+000,1.421334e-008
1.288249551693134e+000,1.417844e-008
1.318256738556407e+000,1.414425e-008
1.348962882591653e+000,1.411076e-008
1.380384264602885e+000,1.407795e-008
1.412537544622754e+000,1.404582e-008
1.445439770745927e+000,1.401435e-008
1.479108388168207e+000,1.398352e-008
1.513561248436208e+000,1.395333e-008
1.548816618912481e+000,1.392377e-008
1.584893192461113e+000,1.389482e-008
1.621810097358929e+000,1.386646e-008
1.659586907437560e+000,1.383870e-008
1.698243652461744e+000,1.381152e-008
1.737800828749375e+000,1.378490e-008
1.778279410038922e+000,1.375884e-008
1.819700858609982e+000,1.373332e-008
1.862087136662866e+000,1.370834e-008
1.905460717963246e+000,1.368388e-008
1.949844599758044e+000,1.365994e-008
1.995262314968878e+000,1.363650e-008
2.041737944669527e+000,1.361356e-008
2.089296130854037e+000,1.359110e-008
2.137962089502230e+000,1.356912e-008
2.187761623949550e+000,1.354760e-008
2.238721138568337e+000,1.352654e-008
2.290867652767771e+000,1.350593e-008
2.344228815319919e+000,1.348575e-008
2.398832919019488e+000,1.346601e-008
2.454708915685028e+000,1.344669e-008
2.511886431509577e+000,1.342778e-008
2.570395782768860e+000,1.340927e-008
2.630267991895378e+000,1.339117e-008
2.691534803926912e+000,1.337345e-008
2.754228703338163e+000,1.335611e-008
2.818382931264450e+000,1.333914e-008
2.884031503126602e+000,1.332254e-008
2.951209226666381e+000,1.330630e-008
3.019951720402012e+000,1.329040e-008
3.090295432513586e+000,1.327485e-008
3.162277660168374e+000,1.325964e-008
3.235936569296277e+000,1.324476e-008
3.311311214825905e+000,1.323020e-008
3.388441561392020e+000,1.321595e-008
3.467368504525310e+000,1.320202e-008
3.548133892335748e+000,1.318838e-008
3.630780547701007e+000,1.317505e-008
3.715352290971719e+000,1.316200e-008
3.801893963205605e+000,1.314924e-008
3.890451449942799e+000,1.313676e-008
3.981071705534965e+000,1.312455e-008
4.073802778041119e+000,1.311261e-008
4.168693834703346e+000,1.310093e-008
4.265795188015918e+000,1.308950e-008
4.365158322401651e+000,1.307832e-008
4.466835921509622e+000,1.306739e-008
4.570881896148741e+000,1.305670e-008
4.677351412871972e+000,1.304625e-008
4.786300923226373e+000,1.303602e-008
4.897788193684452e+000,1.302602e-008
5.011872336272712e+000,1.301624e-008
5.128613839913638e+000,1.300668e-008
5.248074602497715e+000,1.299732e-008
5.370317963702516e+000,1.298818e-008
5.495408738576233e+000,1.297923e-008
5.623413251903478e+000,1.297049e-008
5.754399373371556e+000,1.296193e-008
5.888436553555876e+000,1.295357e-008
6.025595860743564e+000,1.294539e-008
6.165950018614807e+000,1.293739e-008
6.309573444801917e+000,1.292957e-008
6.456542290346540e+000,1.292192e-008
6.606934480075944e+000,1.291444e-008
6.760829753919802e+000,1.290713e-008
6.918309709189348e+000,1.289998e-008
7.079457843841362e+000,1.289299e-008
7.244359600749883e+000,1.288615e-008
7.413102413009157e+000,1.287947e-008
7.585775750291819e+000,1.287294e-008
7.762471166286898e+000,1.286655e-008
7.943282347242795e+000,1.286030e-008
8.128305161640972e+000,1.285419e-008
8.317637711026690e+000,1.284822e-008
8.511380382023743e+000,1.284238e-008
8.709635899560784e+000,1.283668e-008
8.912509381337431e+000,1.283110e-008
9.120108393559072e+000,1.282564e-008
9.332543007969884e+000,1.282031e-008
9.549925860214332e+000,1.281509e-008
9.772372209558078e+000,1.281000e-008
9.999999999999970e+000,1.280501e-008
1.023292992280751e+001,1.280014e-008
1.047128548050896e+001,1.279538e-008
1.071519305237603e+001,1.279072e-008
1.096478196143182e+001,1.278617e-008
1.122018454301960e+001,1.278172e-008
1.148153621496879e+001,1.277737e-008
1.174897554939526e+001,1.277312e-008
1.202264434617409e+001,1.276896e-008
1.230268770812378e+001,1.276490e-008
1.258925411794163e+001,1.276093e-008
1.288249551693130e+001,1.275704e-008
1.318256738556403e+001,1.275325e-008
1.348962882591649e+001,1.274954e-008
1.380384264602880e+001,1.274591e-008
1.412537544622749e+001,1.274236e-008
1.445439770745922e+001,1.273890e-008
1.479108388168202e+001,1.273551e-008
1.513561248436203e+001,1.273220e-008
1.548816618912476e+001,1.272896e-008
1.584893192461108e+001,1.272580e-008
1.621810097358924e+001,1.272270e-008
1.659586907437554e+001,1.271968e-008
1.698243652461738e+001,1.271673e-008
1.737800828749369e+001,1.271384e-008
1.778279410038916e+001,1.271101e-008
1.819700858609976e+001,1.270825e-008
1.862087136662860e+001,1.270556e-008
1.905460717963240e+001,1.270292e-008
1.949844599758038e+001,1.270034e-008
1.995262314968872e+001,1.269783e-008
2.041737944669522e+001,1.269536e-008
2.089296130854032e+001,1.269296e-008
2.137962089502224e+001,1.269060e-008
2.187761623949544e+001,1.268831e-008
2.238721138568331e+001,1.268606e-008
2.290867652767764e+001,1.268386e-008
2.344228815319913e+001,1.268172e-008
2.398832919019481e+001,1.267962e-008
2.454708915685020e+001,1.267757e-008
2.511886431509570e+001,1.267556e-008
2.570395782768853e+001,1.267360e-008
2.630267991895371e+001,1.267169e-008
2.691534803926904e+001,1.266982e-008
2.754228703338155e+001,1.266799e-008
2.818382931264442e+001,1.266620e-008
2.884031503126593e+001,1.266445e-008
2.951209226666373e+001,1.266274e-008
3.019951720402003e+001,1.266108e-008
3.090295432513577e+001,1.265944e-008
3.162277660168365e+001,1.265785e-008
3.235936569296268e+001,1.265629e-008
3.311311214825896e+001,1.265477e-008
3.388441561392011e+001,1.265328e-008
3.467368504525301e+001,1.265183e-008
3.548133892335738e+001,1.265040e-008
3.630780547700997e+001,1.264901e-008
3.715352290971708e+001,1.264766e-008
3.801893963205595e+001,1.264633e-008
3.890451449942788e+001,1.264503e-008
3.981071705534954e+001,1.264376e-008
4.073802778041109e+001,1.264252e-008
4.168693834703335e+001,1.264131e-008
4.265795188015907e+001,1.264013e-008
4.365158322401639e+001,1.263897e-008
4.466835921509610e+001,1.263784e-008
4.570881896148729e+001,1.263674e-008
4.677351412871960e+001,1.263566e-008
4.786300923226361e+001,1.263460e-008
4.897788193684438e+001,1.263357e-008
5.011872336272698e+001,1.263256e-008
5.128613839913624e+001,1.263158e-008
5.248074602497700e+001,1.263061e-008
5.370317963702501e+001,1.262967e-008
5.495408738576219e+001,1.262875e-008
5.623413251903463e+001,1.262786e-008
5.754399373371541e+001,1.262698e-008
5.888436553555861e+001,1.262612e-008
6.025595860743547e+001,1.262528e-008
6.165950018614791e+001,1.262446e-008
6.309573444801901e+001,1.262366e-008
6.456542290346522e+001,1.262288e-008
6.606934480075925e+001,1.262211e-008
6.760829753919782e+001,1.262136e-008
6.918309709189329e+001,1.262063e-008
7.079457843841342e+001,1.261992e-008
7.244359600749863e+001,1.261922e-008
7.413102413009136e+001,1.261854e-008
7.585775750291798e+001,1.261787e-008
7.762471166286876e+001,1.261722e-008
7.943282347242773e+001,1.261658e-008
8.128305161640949e+001,1.261596e-008
8.317637711026666e+001,1.261535e-008
8.511380382023719e+001,1.261476e-008
8.709635899560760e+001,1.261418e-008
8.912509381337408e+001,1.261361e-008
9.120108393559049e+001,1.261306e-008
9.332543007969861e+001,1.261252e-008
9.549925860214309e+001,1.261199e-008
9.772372209558054e+001,1.261147e-008
9.999999999999946e+001,1.261096e-008
1.023292992280749e+002,1.261047e-008
1.047128548050894e+002,1.260999e-008
1.071519305237600e+002,1.260951e-008
1.096478196143179e+002,1.260905e-008
1.122018454301957e+002,1.260860e-008
1.148153621496876e+002,1.260816e-008
1.174897554939523e+002,1.260773e-008
1.202264434617406e+002,1.260731e-008
1.230268770812374e+002,1.260690e-008
1.258925411794160e+002,1.260650e-008
1.288249551693126e+002,1.260611e-008
1.318256738556399e+002,1.260572e-008
1.348962882591646e+002,1.260535e-008
1.380384264602876e+002,1.260498e-008
1.412537544622746e+002,1.260462e-008
1.445439770745919e+002,1.260427e-008
1.479108388168199e+002,1.260393e-008
1.513561248436199e+002,1.260360e-008
1.548816618912472e+002,1.260327e-008
1.584893192461104e+002,1.260295e-008
1.621810097358920e+002,1.260264e-008
1.659586907437551e+002,1.260234e-008
1.698243652461734e+002,1.260204e-008
1.737800828749365e+002,1.260175e-008
1.778279410038912e+002,1.260147e-008
1.819700858609972e+002,1.260119e-008
1.862087136662856e+002,1.260092e-008
1.905460717963235e+002,1.260066e-008
1.949844599758033e+002,1.260040e-008
1.995262314968867e+002,1.260015e-008
2.041737944669516e+002,1.259990e-008
2.089296130854026e+002,1.259966e-008
2.137962089502218e+002,1.259942e-008
2.187761623949538e+002,1.259919e-008
2.238721138568325e+002,1.259897e-008
2.290867652767758e+002,1.259875e-008
2.344228815319906e+002,1.259854e-008
2.398832919019474e+002,1.259833e-008
2.454708915685014e+002,1.259812e-008
2.511886431509563e+002,1.259792e-008
2.570395782768846e+002,1.259773e-008
2.630267991895364e+002,1.259754e-008
2.691534803926897e+002,1.259735e-008
2.754228703338148e+002,1.259717e-008
2.818382931264435e+002,1.259700e-008
2.884031503126586e+002,1.259682e-008
2.951209226666366e+002,1.259666e-008
3.019951720401995e+002,1.259649e-008
3.090295432513569e+002,1.259633e-008
3.162277660168357e+002,1.259617e-008
3.235936569296260e+002,1.259602e-008
3.311311214825888e+002,1.259587e-008
3.388441561392002e+002,1.259573e-008
3.467368504525292e+002,1.259559e-008
3.548133892335729e+002,1.259545e-008
3.630780547700987e+002,1.259531e-008
3.715352290971698e+002,1.259518e-008
3.801893963205584e+002,1.259506e-008
3.890451449942777e+002,1.259493e-008
3.981071705534943e+002,1.259481e-008
4.073802778041097e+002,1.259469e-008
4.168693834703323e+002,1.259458e-008
4.265795188015895e+002,1.259447e-008
4.365158322401627e+002,1.259436e-008
4.466835921509598e+002,1.259425e-008
4.570881896148716e+002,1.259415e-008
4.677351412871947e+002,1.259405e-008
4.786300923226348e+002,1.259395e-008
4.897788193684425e+002,1.259386e-008
5.011872336272685e+002,1.259377e-008
5.128613839913610e+002,1.259368e-008
5.248074602497686e+002,1.259359e-008
5.370317963702487e+002,1.259351e-008
5.495408738576203e+002,1.259343e-008
5.623413251903447e+002,1.259335e-008
5.754399373371524e+002,1.259327e-008
5.888436553555844e+002,1.259320e-008
6.025595860743530e+002,1.259313e-008
6.165950018614773e+002,1.259306e-008
6.309573444801882e+002,1.259300e-008
6.456542290346504e+002,1.259294e-008
6.606934480075908e+002,1.259288e-008
6.760829753919763e+002,1.259282e-008
6.918309709189309e+002,1.259276e-008
7.079457843841321e+002,1.259271e-008
7.244359600749841e+002,1.259266e-008
7.413102413009113e+002,1.259261e-008
7.585775750291774e+002,1.259257e-008
7.762471166286852e+002,1.259253e-008
7.943282347242747e+002,1.259249e-008
8.128305161640923e+002,1.259245e-008
8.317637711026639e+002,1.259242e-008
8.511380382023692e+002,1.259239e-008
8.709635899560732e+002,1.259236e-008
8.912509381337379e+002,1.259233e-008
9.120108393559019e+002,1.259231e-008
9.332543007969830e+002,1.259229e-008
9.549925860214277e+002,1.259227e-008
9.772372209558022e+002,1.259226e-008
9.999999999999913e+002,1.259224e-008
1.023292992280745e+003,1.259223e-008
1.047128548050890e+003,1.259223e-008
1.071519305237597e+003,1.259223e-008
1.096478196143175e+003,1.259223e-008
1.122018454301953e+003,1.259223e-008
1.148153621496872e+003,1.259224e-008
1.174897554939519e+003,1.259225e-008
1.202264434617402e+003,1.259226e-008
1.230268770812370e+003,1.259228e-008
1.258925411794156e+003,1.259230e-008
1.288249551693122e+003,1.259232e-008
1.318256738556395e+003,1.259235e-008
1.348962882591641e+003,1.259238e-008
1.380384264602872e+003,1.259242e-008
1.412537544622741e+003,1.259246e-008
1.445439770745914e+003,1.259251e-008
1.479108388168193e+003,1.259256e-008
1.513561248436194e+003,1.259261e-008
1.548816618912467e+003,1.259267e-008
1.584893192461099e+003,1.259274e-008
1.621810097358915e+003,1.259281e-008
1.659586907437545e+003,1.259288e-008
1.698243652461728e+003,1.259297e-008
1.737800828749359e+003,1.259305e-008
1.778279410038906e+003,1.259315e-008
1.819700858609966e+003,1.259325e-008
1.862087136662849e+003,1.259335e-008
1.905460717963229e+003,1.259347e-008
1.949844599758026e+003,1.259359e-008
1.995262314968860e+003,1.259372e-008
2.041737944669509e+003,1.259385e-008
2.089296130854019e+003,1.259400e-008
2.137962089502211e+003,1.259415e-008
2.187761623949531e+003,1.259431e-008
2.238721138568317e+003,1.259448e-008
2.290867652767750e+003,1.259466e-008
2.344228815319898e+003,1.259486e-008
2.398832919019466e+003,1.259506e-008
2.454708915685005e+003,1.259527e-008
2.511886431509554e+003,1.259549e-008
2.570395782768837e+003,1.259573e-008
2.630267991895355e+003,1.259598e-008
2.691534803926887e+003,1.259624e-008
2.754228703338138e+003,1.259651e-008
2.818382931264424e+003,1.259680e-008
2.884031503126575e+003,1.259711e-008
2.951209226666354e+003,1.259742e-008
3.019951720401984e+003,1.259776e-008
