frequency,V(onoise)
1.000000000000000e-002,7.555362e-006
1.023292992280754e-002,7.471321e-006
1.047128548050899e-002,7.388270e-006
1.071519305237606e-002,7.306197e-006
1.096478196143185e-002,7.225091e-006
1.122018454301963e-002,7.144943e-006
1.148153621496883e-002,7.065740e-006
1.174897554939529e-002,6.987473e-006
1.202264434617413e-002,6.910131e-006
1.230268770812381e-002,6.833704e-006
1.258925411794167e-002,6.758182e-006
1.288249551693134e-002,6.683555e-006
1.318256738556407e-002,6.609812e-006
1.348962882591653e-002,6.536944e-006
1.380384264602884e-002,6.464942e-006
1.412537544622754e-002,6.393795e-006
1.445439770745927e-002,6.323494e-006
1.479108388168207e-002,6.254030e-006
1.513561248436207e-002,6.185394e-006
1.548816618912481e-002,6.117576e-006
1.584893192461113e-002,6.050568e-006
1.621810097358929e-002,5.984360e-006
1.659586907437560e-002,5.918943e-006
1.698243652461744e-002,5.854310e-006
1.737800828749375e-002,5.790450e-006
1.778279410038922e-002,5.727357e-006
1.819700858609983e-002,5.665021e-006
1.862087136662867e-002,5.603434e-006
1.905460717963246e-002,5.542587e-006
1.949844599758045e-002,5.482474e-006
1.995262314968879e-002,5.423085e-006
2.041737944669528e-002,5.364412e-006
2.089296130854039e-002,5.306449e-006
2.137962089502231e-002,5.249186e-006
2.187761623949552e-002,5.192617e-006
2.238721138568339e-002,5.136734e-006
2.290867652767772e-002,5.081529e-006
2.344228815319921e-002,5.026995e-006
2.398832919019489e-002,4.973125e-006
2.454708915685028e-002,4.919911e-006
2.511886431509578e-002,4.867346e-006
2.570395782768862e-002,4.815424e-006
2.630267991895379e-002,4.764137e-006
2.691534803926913e-002,4.713478e-006
2.754228703338164e-002,4.663441e-006
2.818382931264451e-002,4.614019e-006
2.884031503126603e-002,4.565204e-006
2.951209226666382e-002,4.516991e-006
3.019951720402013e-002,4.469373e-006
3.090295432513587e-002,4.422344e-006
3.162277660168375e-002,4.375897e-006
3.235936569296278e-002,4.330026e-006
3.311311214825906e-002,4.284724e-006
3.388441561392020e-002,4.239987e-006
3.467368504525311e-002,4.195806e-006
