frequency	V(onoise)
1.000000000000000e-001	1.283284e-007
1.023292992280754e-001	1.283281e-007
1.047128548050900e-001	1.283277e-007
1.071519305237607e-001	1.283274e-007
1.096478196143185e-001	1.283271e-007
1.122018454301964e-001	1.283268e-007
1.148153621496883e-001	1.283266e-007
1.174897554939530e-001	1.283263e-007
1.202264434617413e-001	1.283260e-007
1.230268770812382e-001	1.283257e-007
1.258925411794167e-001	1.283255e-007
1.288249551693134e-001	1.283252e-007
1.318256738556407e-001	1.283250e-007
1.348962882591653e-001	1.283247e-007
1.380384264602884e-001	1.283245e-007
1.412537544622754e-001	1.283243e-007
1.445439770745927e-001	1.283240e-007
1.479108388168207e-001	1.283238e-007
1.513561248436207e-001	1.283236e-007
1.548816618912480e-001	1.283234e-007
1.584893192461112e-001	1.283232e-007
1.621810097358929e-001	1.283230e-007
1.659586907437559e-001	1.283228e-007
1.698243652461743e-001	1.283226e-007
1.737800828749374e-001	1.283224e-007
1.778279410038921e-001	1.283222e-007
1.819700858609982e-001	1.283220e-007
1.862087136662866e-001	1.283219e-007
1.905460717963245e-001	1.283217e-007
1.949844599758043e-001	1.283215e-007
1.995262314968878e-001	1.283214e-007
2.041737944669527e-001	1.283212e-007
2.089296130854037e-001	1.283210e-007
2.137962089502230e-001	1.283209e-007
2.187761623949550e-001	1.283207e-007
2.238721138568337e-001	1.283206e-007
2.290867652767770e-001	1.283205e-007
2.344228815319919e-001	1.283203e-007
2.398832919019487e-001	1.283202e-007
2.454708915685027e-001	1.283200e-007
2.511886431509577e-001	1.283199e-007
2.570395782768861e-001	1.283198e-007
2.630267991895379e-001	1.283197e-007
2.691534803926912e-001	1.283195e-007
2.754228703338163e-001	1.283194e-007
2.818382931264450e-001	1.283193e-007
2.884031503126602e-001	1.283192e-007
2.951209226666382e-001	1.283191e-007
3.019951720402012e-001	1.283190e-007
3.090295432513586e-001	1.283189e-007
3.162277660168375e-001	1.283187e-007
3.235936569296278e-001	1.283186e-007
3.311311214825907e-001	1.283185e-007
3.388441561392021e-001	1.283185e-007
3.467368504525312e-001	1.283184e-007
3.548133892335750e-001	1.283183e-007
3.630780547701009e-001	1.283182e-007
3.715352290971720e-001	1.283181e-007
3.801893963205607e-001	1.283180e-007
3.890451449942800e-001	1.283179e-007
3.981071705534967e-001	1.283178e-007
4.073802778041121e-001	1.283178e-007
4.168693834703348e-001	1.283177e-007
4.265795188015920e-001	1.283176e-007
4.365158322401653e-001	1.283175e-007
4.466835921509624e-001	1.283175e-007
4.570881896148742e-001	1.283174e-007
4.677351412871974e-001	1.283173e-007
4.786300923226375e-001	1.283172e-007
4.897788193684454e-001	1.283172e-007
5.011872336272715e-001	1.283171e-007
5.128613839913641e-001	1.283170e-007
5.248074602497718e-001	1.283170e-007
5.370317963702519e-001	1.283169e-007
5.495408738576236e-001	1.283169e-007
5.623413251903481e-001	1.283168e-007
5.754399373371559e-001	1.283167e-007
5.888436553555879e-001	1.283167e-007
6.025595860743567e-001	1.283166e-007
6.165950018614811e-001	1.283166e-007
6.309573444801921e-001	1.283165e-007
6.456542290346544e-001	1.283165e-007
6.606934480075949e-001	1.283164e-007
6.760829753919806e-001	1.283164e-007
6.918309709189353e-001	1.283163e-007
7.079457843841367e-001	1.283163e-007
7.244359600749888e-001	1.283162e-007
7.413102413009162e-001	1.283162e-007
7.585775750291823e-001	1.283162e-007
7.762471166286903e-001	1.283161e-007
7.943282347242799e-001	1.283161e-007
8.128305161640976e-001	1.283160e-007
8.317637711026693e-001	1.283160e-007
8.511380382023747e-001	1.283160e-007
8.709635899560788e-001	1.283159e-007
8.912509381337437e-001	1.283159e-007
9.120108393559078e-001	1.283158e-007
9.332543007969890e-001	1.283158e-007
9.549925860214339e-001	1.283158e-007
9.772372209558086e-001	1.283157e-007
9.999999999999978e-001	1.283157e-007
1.023292992280752e+000	1.283157e-007
1.047128548050897e+000	1.283156e-007
1.071519305237604e+000	1.283156e-007
1.096478196143182e+000	1.283156e-007
1.122018454301961e+000	1.283156e-007
1.148153621496880e+000	1.283155e-007
1.174897554939527e+000	1.283155e-007
1.202264434617410e+000	1.283155e-007
1.230268770812378e+000	1.283154e-007
1.258925411794164e+000	1.283154e-007
1.288249551693131e+000	1.283154e-007
1.318256738556404e+000	1.283154e-007
1.348962882591650e+000	1.283153e-007
1.380384264602881e+000	1.283153e-007
1.412537544622750e+000	1.283153e-007
1.445439770745923e+000	1.283153e-007
1.479108388168203e+000	1.283152e-007
1.513561248436204e+000	1.283152e-007
1.548816618912477e+000	1.283152e-007
1.584893192461109e+000	1.283152e-007
1.621810097358925e+000	1.283152e-007
1.659586907437555e+000	1.283152e-007
1.698243652461739e+000	1.283151e-007
1.737800828749370e+000	1.283151e-007
1.778279410038917e+000	1.283151e-007
1.819700858609977e+000	1.283151e-007
1.862087136662861e+000	1.283151e-007
1.905460717963241e+000	1.283150e-007
1.949844599758039e+000	1.283150e-007
1.995262314968873e+000	1.283150e-007
2.041737944669523e+000	1.283150e-007
2.089296130854033e+000	1.283150e-007
2.137962089502225e+000	1.283150e-007
2.187761623949545e+000	1.283150e-007
2.238721138568332e+000	1.283149e-007
2.290867652767766e+000	1.283149e-007
2.344228815319914e+000	1.283149e-007
2.398832919019482e+000	1.283149e-007
2.454708915685022e+000	1.283149e-007
2.511886431509572e+000	1.283149e-007
2.570395782768855e+000	1.283149e-007
2.630267991895373e+000	1.283148e-007
2.691534803926906e+000	1.283148e-007
2.754228703338157e+000	1.283148e-007
2.818382931264444e+000	1.283148e-007
2.884031503126595e+000	1.283148e-007
2.951209226666375e+000	1.283148e-007
3.019951720402005e+000	1.283148e-007
3.090295432513579e+000	1.283148e-007
3.162277660168367e+000	1.283148e-007
3.235936569296270e+000	1.283147e-007
3.311311214825898e+000	1.283147e-007
3.388441561392012e+000	1.283147e-007
3.467368504525302e+000	1.283147e-007
3.548133892335740e+000	1.283147e-007
3.630780547700999e+000	1.283147e-007
3.715352290971711e+000	1.283147e-007
3.801893963205597e+000	1.283147e-007
3.890451449942790e+000	1.283147e-007
3.981071705534956e+000	1.283147e-007
4.073802778041110e+000	1.283147e-007
4.168693834703337e+000	1.283146e-007
4.265795188015909e+000	1.283146e-007
4.365158322401642e+000	1.283146e-007
4.466835921509612e+000	1.283146e-007
4.570881896148731e+000	1.283146e-007
4.677351412871962e+000	1.283146e-007
4.786300923226363e+000	1.283146e-007
4.897788193684440e+000	1.283146e-007
5.011872336272701e+000	1.283146e-007
5.128613839913625e+000	1.283146e-007
5.248074602497702e+000	1.283146e-007
5.370317963702503e+000	1.283146e-007
5.495408738576220e+000	1.283146e-007
5.623413251903465e+000	1.283146e-007
5.754399373371542e+000	1.283146e-007
5.888436553555861e+000	1.283145e-007
6.025595860743549e+000	1.283145e-007
6.165950018614792e+000	1.283145e-007
6.309573444801902e+000	1.283145e-007
6.456542290346524e+000	1.283145e-007
6.606934480075928e+000	1.283145e-007
6.760829753919785e+000	1.283145e-007
6.918309709189331e+000	1.283145e-007
7.079457843841344e+000	1.283145e-007
7.244359600749864e+000	1.283145e-007
7.413102413009137e+000	1.283145e-007
7.585775750291798e+000	1.283145e-007
7.762471166286877e+000	1.283145e-007
7.943282347242774e+000	1.283145e-007
8.128305161640951e+000	1.283145e-007
8.317637711026666e+000	1.283145e-007
8.511380382023720e+000	1.283145e-007
8.709635899560761e+000	1.283145e-007
8.912509381337408e+000	1.283145e-007
9.120108393559049e+000	1.283145e-007
9.332543007969861e+000	1.283145e-007
9.549925860214309e+000	1.283145e-007
9.772372209558055e+000	1.283144e-007
9.999999999999947e+000	1.283144e-007
1.023292992280749e+001	1.283144e-007
1.047128548050894e+001	1.283144e-007
1.071519305237601e+001	1.283144e-007
1.096478196143179e+001	1.283144e-007
1.122018454301957e+001	1.283144e-007
1.148153621496876e+001	1.283144e-007
1.174897554939523e+001	1.283144e-007
1.202264434617406e+001	1.283144e-007
1.230268770812375e+001	1.283144e-007
1.258925411794160e+001	1.283144e-007
1.288249551693127e+001	1.283144e-007
1.318256738556400e+001	1.283144e-007
1.348962882591646e+001	1.283144e-007
1.380384264602877e+001	1.283144e-007
1.412537544622746e+001	1.283144e-007
1.445439770745919e+001	1.283144e-007
1.479108388168199e+001	1.283144e-007
1.513561248436199e+001	1.283144e-007
1.548816618912472e+001	1.283144e-007
1.584893192461104e+001	1.283144e-007
1.621810097358920e+001	1.283144e-007
1.659586907437550e+001	1.283144e-007
1.698243652461734e+001	1.283144e-007
1.737800828749365e+001	1.283144e-007
1.778279410038912e+001	1.283144e-007
1.819700858609972e+001	1.283144e-007
1.862087136662855e+001	1.283144e-007
1.905460717963235e+001	1.283144e-007
1.949844599758032e+001	1.283144e-007
1.995262314968866e+001	1.283144e-007
2.041737944669515e+001	1.283144e-007
2.089296130854025e+001	1.283144e-007
2.137962089502218e+001	1.283144e-007
2.187761623949537e+001	1.283144e-007
2.238721138568324e+001	1.283144e-007
2.290867652767757e+001	1.283144e-007
2.344228815319906e+001	1.283144e-007
2.398832919019474e+001	1.283144e-007
2.454708915685013e+001	1.283144e-007
2.511886431509563e+001	1.283144e-007
2.570395782768846e+001	1.283144e-007
2.630267991895363e+001	1.283144e-007
2.691534803926897e+001	1.283144e-007
2.754228703338147e+001	1.283144e-007
2.818382931264434e+001	1.283144e-007
2.884031503126585e+001	1.283144e-007
2.951209226666364e+001	1.283144e-007
3.019951720401994e+001	1.283144e-007
3.090295432513568e+001	1.283144e-007
3.162277660168356e+001	1.283143e-007
3.235936569296258e+001	1.283143e-007
3.311311214825886e+001	1.283143e-007
3.388441561392000e+001	1.283143e-007
