Freq.	V(vout)	V(n003)
1.00000000000000e-002	(-8.12286430501306e+001dB,1.79440309095997e+002°)	(-8.12286430501305e+001dB,1.79440316295997e+002°)
1.02329299228075e-002	(-8.08286270308038e+001dB,1.79427273735675e+002°)	(-8.08286270308038e+001dB,1.79427281103384e+002°)
1.04712854805090e-002	(-8.04286102566021e+001dB,1.79413934568316e+002°)	(-8.04286102566020e+001dB,1.79413942107642e+002°)
1.07151930523761e-002	(-8.00285926919578e+001dB,1.79400284511306e+002°)	(-8.00285926919578e+001dB,1.79400292226245e+002°)
1.09647819614318e-002	(-7.96285742996287e+001dB,1.79386316316474e+002°)	(-7.96285742996286e+001dB,1.79386324211117e+002°)
1.12201845430196e-002	(-7.92285550406177e+001dB,1.79372022566203e+002°)	(-7.92285550406176e+001dB,1.79372030644736e+002°)
1.14815362149688e-002	(-7.88285348740912e+001dB,1.79357395669440e+002°)	(-7.88285348740911e+001dB,1.79357403936146e+002°)
1.17489755493953e-002	(-7.84285137572922e+001dB,1.79342427857610e+002°)	(-7.84285137572921e+001dB,1.79342436316872e+002°)
1.20226443461741e-002	(-7.80284916454498e+001dB,1.79327111180439e+002°)	(-7.80284916454497e+001dB,1.79327119836743e+002°)
1.23026877081238e-002	(-7.76284684916848e+001dB,1.79311437501666e+002°)	(-7.76284684916847e+001dB,1.79311446359601e+002°)
1.25892541179417e-002	(-7.72284442469095e+001dB,1.79295398494660e+002°)	(-7.72284442469094e+001dB,1.79295407558923e+002°)
1.28824955169313e-002	(-7.68284188597254e+001dB,1.79278985637928e+002°)	(-7.68284188597252e+001dB,1.79278994913325e+002°)
1.31825673855641e-002	(-7.64283922763123e+001dB,1.79262190210511e+002°)	(-7.64283922763122e+001dB,1.79262199701960e+002°)
1.34896288259165e-002	(-7.60283644403165e+001dB,1.79245003287272e+002°)	(-7.60283644403163e+001dB,1.79245012999804e+002°)
1.38038426460288e-002	(-7.56283352927300e+001dB,1.79227415734068e+002°)	(-7.56283352927299e+001dB,1.79227425672835e+002°)
1.41253754462275e-002	(-7.52283047717664e+001dB,1.79209418202809e+002°)	(-7.52283047717663e+001dB,1.79209428373079e+002°)
1.44543977074593e-002	(-7.48282728127301e+001dB,1.79191001126383e+002°)	(-7.48282728127300e+001dB,1.79191011533550e+002°)
