frequency	V(onoise)
1.000000000000000e-002	1.794298e-006
1.023292992280754e-002	1.773789e-006
1.047128548050899e-002	1.753515e-006
1.071519305237606e-002	1.733474e-006
1.096478196143185e-002	1.713663e-006
1.122018454301963e-002	1.694079e-006
1.148153621496883e-002	1.674720e-006
1.174897554939529e-002	1.655583e-006
1.202264434617413e-002	1.636666e-006
1.230268770812381e-002	1.617966e-006
1.258925411794167e-002	1.599480e-006
1.288249551693134e-002	1.581207e-006
1.318256738556407e-002	1.563144e-006
1.348962882591653e-002	1.545288e-006
1.380384264602884e-002	1.527637e-006
1.412537544622754e-002	1.510189e-006
1.445439770745927e-002	1.492942e-006
1.479108388168207e-002	1.475892e-006
1.513561248436207e-002	1.459039e-006
1.548816618912481e-002	1.442379e-006
1.584893192461113e-002	1.425911e-006
1.621810097358929e-002	1.409632e-006
1.659586907437560e-002	1.393540e-006
1.698243652461744e-002	1.377633e-006
1.737800828749375e-002	1.361909e-006
1.778279410038922e-002	1.346367e-006
1.819700858609983e-002	1.331003e-006
1.862087136662867e-002	1.315815e-006
1.905460717963246e-002	1.300803e-006
1.949844599758045e-002	1.285964e-006
1.995262314968879e-002	1.271295e-006
2.041737944669528e-002	1.256795e-006
2.089296130854039e-002	1.242463e-006
2.137962089502231e-002	1.228296e-006
2.187761623949552e-002	1.214292e-006
2.238721138568339e-002	1.200449e-006
2.290867652767772e-002	1.186766e-006
2.344228815319921e-002	1.173241e-006
2.398832919019489e-002	1.159873e-006
2.454708915685028e-002	1.146658e-006
2.511886431509578e-002	1.133596e-006
2.570395782768862e-002	1.120685e-006
2.630267991895379e-002	1.107924e-006
2.691534803926913e-002	1.095309e-006
2.754228703338164e-002	1.082841e-006
2.818382931264451e-002	1.070517e-006
2.884031503126603e-002	1.058336e-006
2.951209226666382e-002	1.046296e-006
3.019951720402013e-002	1.034395e-006
3.090295432513587e-002	1.022633e-006
3.162277660168375e-002	1.011006e-006
3.235936569296278e-002	9.995151e-007
3.311311214825906e-002	9.881574e-007
