Freq.,V(vout3)/(V(vp)-V(vm))
1.00000000000000e-002,(-4.11838015620409e+001dB,-5.59791904193641e-001°)
1.02329299228075e-002,(-4.07837855427151e+001dB,-5.72829617112393e-001°)
1.04712854805090e-002,(-4.03837687686028e+001dB,-5.86171191866534e-001°)
1.07151930523761e-002,(-3.99837512038657e+001dB,-5.99823712347970e-001°)
1.09647819614318e-002,(-3.95837328115404e+001dB,-6.13794428032396e-001°)
1.12201845430196e-002,(-3.91837135525289e+001dB,-6.28090757874091e-001°)
1.14815362149688e-002,(-3.87836933860978e+001dB,-6.42720294294528e-001°)
1.17489755493953e-002,(-3.83836722691159e+001dB,-6.57690807266770e-001°)
1.20226443461741e-002,(-3.79836501574554e+001dB,-6.73010248498318e-001°)
1.23026877081238e-002,(-3.75836270035132e+001dB,-6.88686755714603e-001°)
1.25892541179417e-002,(-3.71836027589158e+001dB,-7.04728657046108e-001°)
1.28824955169313e-002,(-3.67835773716464e+001dB,-7.21144475521791e-001°)
1.31825673855641e-002,(-3.63835507884109e+001dB,-7.37942933670784e-001°)
1.34896288259165e-002,(-3.59835229524194e+001dB,-7.55132958236676e-001°)
1.38038426460288e-002,(-3.55834938046550e+001dB,-7.72723685005698e-001°)
1.41253754462275e-002,(-3.51834632836903e+001dB,-7.90724463752903e-001°)
1.44543977074593e-002,(-3.47834313247477e+001dB,-8.09144863309223e-001°)
1.47910838816821e-002,(-3.43833978598074e+001dB,-8.27994676752093e-001°)
1.51356124843621e-002,(-3.39833628181228e+001dB,-8.47283926724069e-001°)
1.54881661891248e-002,(-3.35833261256920e+001dB,-8.67022870881164e-001°)
1.58489319246111e-002,(-3.31832877044726e+001dB,-8.87222007476507e-001°)
1.62181009735893e-002,(-3.27832474726890e+001dB,-9.07892081081203e-001°)
1.65958690743756e-002,(-3.23832053456971e+001dB,-9.29044088446976e-001°)
1.69824365246174e-002,(-3.19831612338712e+001dB,-9.50689284514685e-001°)
1.73780082874937e-002,(-3.15831150437249e+001dB,-9.72839188572017e-001°)
1.77827941003892e-002,(-3.11830666774801e+001dB,-9.95505590565335e-001°)
1.81970085860998e-002,(-3.07830160327464e+001dB,-1.01870055756948e+000°)
1.86208713666287e-002,(-3.03829630020306e+001dB,-1.04243644042003e+000°)
1.90546071796325e-002,(-2.99829074732605e+001dB,-1.06672588051304e+000°)
1.94984459975804e-002,(-2.95828493286075e+001dB,-1.09158181677669e+000°)
1.99526231496888e-002,(-2.91827884446225e+001dB,-1.11701749281966e+000°)
2.04173794466953e-002,(-2.87827246928814e+001dB,-1.14304646426229e+000°)
2.08929613085404e-002,(-2.83826579378039e+001dB,-1.16968260625479e+000°)
2.13796208950223e-002,(-2.79825880386376e+001dB,-1.19694012118858e+000°)
2.18776162394955e-002,(-2.75825148467205e+001dB,-1.22483354660671e+000°)
2.23872113856834e-002,(-2.71824382074813e+001dB,-1.25337776331917e+000°)
2.29086765276777e-002,(-2.67823579585482e+001dB,-1.28258800372932e+000°)
2.34422881531992e-002,(-2.63822739295735e+001dB,-1.31247986037786e+000°)
2.39883291901949e-002,(-2.59821859432616e+001dB,-1.34306929471139e+000°)
2.45470891568503e-002,(-2.55820938129786e+001dB,-1.37437264608220e+000°)
2.51188643150958e-002,(-2.51819973436150e+001dB,-1.40640664098743e+000°)
2.57039578276886e-002,(-2.47818963314407e+001dB,-1.43918840255406e+000°)
2.63026799189538e-002,(-2.43817905622998e+001dB,-1.47273546027845e+000°)
2.69153480392691e-002,(-2.39816798125506e+001dB,-1.50706576002937e+000°)
2.75422870333816e-002,(-2.35815638477531e+001dB,-1.54219767432125e+000°)
2.81838293126445e-002,(-2.31814424223826e+001dB,-1.57815001286927e+000°)
2.88403150312660e-002,(-2.27813152798441e+001dB,-1.61494203343371e+000°)
2.95120922666638e-002,(-2.23811821509295e+001dB,-1.65259345296423e+000°)
3.01995172040201e-002,(-2.19810427544410e+001dB,-1.69112445905526e+000°)
3.09029543251359e-002,(-2.15808967957082e+001dB,-1.73055572172147e+000°)
3.16227766016838e-002,(-2.11807439654015e+001dB,-1.77090840550693e+000°)
3.23593656929628e-002,(-2.07805839413356e+001dB,-1.81220418193818e+000°)
3.31131121482591e-002,(-2.03804163841976e+001dB,-1.85446524233455e+000°)
3.38844156139202e-002,(-1.99802409410777e+001dB,-1.89771431098852e+000°)
3.46736850452531e-002,(-1.95800572403525e+001dB,-1.94197465872993e+000°)
3.54813389233575e-002,(-1.91798648947864e+001dB,-1.98727011688922e+000°)
3.63078054770101e-002,(-1.87796634971879e+001dB,-2.03362509167340e+000°)
3.71535229097172e-002,(-1.83794526227457e+001dB,-2.08106457897196e+000°)
3.80189396320561e-002,(-1.79792318265071e+001dB,-2.12961417960949e+000°)
3.89045144994280e-002,(-1.75790006422422e+001dB,-2.17930011506195e+000°)
3.98107170553497e-002,(-1.71787585817248e+001dB,-2.23014924365533e+000°)
4.07380277804112e-002,(-1.67785051345388e+001dB,-2.28218907726804e+000°)
4.16869383470335e-002,(-1.63782397662757e+001dB,-2.33544779855433e+000°)
4.26579518801592e-002,(-1.59779619170100e+001dB,-2.38995427871388e+000°)
4.36515832240165e-002,(-1.55776710012814e+001dB,-2.44573809582918e+000°)
