frequency,V(inoise),V(onoise)
1.000000000000000e-002,5.054592e-002,1.798904e-006
1.023292992280754e-002,4.997104e-002,1.778448e-006
1.047128548050899e-002,4.940278e-002,1.758228e-006
1.071519305237606e-002,4.884108e-002,1.738241e-006
1.096478196143185e-002,4.828585e-002,1.718485e-006
1.122018454301963e-002,4.773702e-002,1.698956e-006
1.148153621496883e-002,4.719453e-002,1.679654e-006
1.174897554939529e-002,4.665829e-002,1.660574e-006
1.202264434617413e-002,4.612824e-002,1.641714e-006
1.230268770812381e-002,4.560430e-002,1.623072e-006
1.258925411794167e-002,4.508641e-002,1.604645e-006
1.288249551693134e-002,4.457451e-002,1.586432e-006
1.318256738556407e-002,4.406851e-002,1.568429e-006
1.348962882591653e-002,4.356835e-002,1.550634e-006
1.380384264602884e-002,4.307398e-002,1.533044e-006
1.412537544622754e-002,4.258532e-002,1.515659e-006
1.445439770745927e-002,4.210230e-002,1.498474e-006
1.479108388168207e-002,4.162487e-002,1.481489e-006
1.513561248436207e-002,4.115296e-002,1.464699e-006
1.548816618912481e-002,4.068651e-002,1.448105e-006
1.584893192461113e-002,4.022545e-002,1.431703e-006
1.621810097358929e-002,3.976973e-002,1.415490e-006
1.659586907437560e-002,3.931929e-002,1.399466e-006
1.698243652461744e-002,3.887406e-002,1.383627e-006
1.737800828749375e-002,3.843399e-002,1.367973e-006
1.778279410038922e-002,3.799902e-002,1.352500e-006
1.819700858609983e-002,3.756909e-002,1.337206e-006
1.862087136662867e-002,3.714414e-002,1.322090e-006
1.905460717963246e-002,3.672412e-002,1.307150e-006
1.949844599758045e-002,3.630898e-002,1.292384e-006
1.995262314968879e-002,3.589865e-002,1.277789e-006
2.041737944669528e-002,3.549309e-002,1.263364e-006
2.089296130854039e-002,3.509223e-002,1.249107e-006
2.137962089502231e-002,3.469604e-002,1.235016e-006
2.187761623949552e-002,3.430445e-002,1.221090e-006
2.238721138568339e-002,3.391741e-002,1.207325e-006
2.290867652767772e-002,3.353487e-002,1.193722e-006
2.344228815319921e-002,3.315679e-002,1.180277e-006
2.398832919019489e-002,3.278311e-002,1.166989e-006
2.454708915685028e-002,3.241378e-002,1.153856e-006
2.511886431509578e-002,3.204876e-002,1.140877e-006
2.570395782768862e-002,3.168799e-002,1.128050e-006
2.630267991895379e-002,3.133143e-002,1.115373e-006
2.691534803926913e-002,3.097903e-002,1.102844e-006
2.754228703338164e-002,3.063075e-002,1.090462e-006
2.818382931264451e-002,3.028653e-002,1.078226e-006
2.884031503126603e-002,2.994634e-002,1.066133e-006
2.951209226666382e-002,2.961013e-002,1.054183e-006
3.019951720402013e-002,2.927786e-002,1.042373e-006
3.090295432513587e-002,2.894947e-002,1.030702e-006
3.162277660168375e-002,2.862494e-002,1.019168e-006
