time	V(vout3)
0.000000000000000e+000	2.500675e+000
1.370370298000748e-007	2.500675e+000
2.740740596001497e-007	2.500675e+000
4.111110894002245e-007	2.500675e+000
5.481481192002993e-007	2.500675e+000
6.851851490003741e-007	2.500675e+000
8.222221788004490e-007	2.500675e+000
9.592592086005234e-007	2.500675e+000
1.246143845951764e-006	2.500675e+000
1.571278391725043e-006	2.500675e+000
2.028172974891295e-006	2.500674e+000
2.672765498022381e-006	2.500674e+000
3.288416095334817e-006	2.500674e+000
4.519717289959688e-006	2.500672e+000
5.685032342899292e-006	2.500670e+000
7.132705099269721e-006	2.500665e+000
8.409985202128934e-006	2.500657e+000
9.549037567939104e-006	2.500647e+000
1.095771951921797e-005	2.500628e+000
1.226019599173647e-005	2.500602e+000
1.398092937562304e-005	2.500553e+000
1.575824646267739e-005	2.500479e+000
1.799264378097271e-005	2.500343e+000
2.041728247184843e-005	2.500128e+000
2.339165091720369e-005	2.499743e+000
2.675155097292941e-005	2.499167e+000
2.821912040050268e-005	2.498844e+000
2.926920822495024e-005	2.498572e+000
2.973653108925808e-005	2.498412e+000
2.984791611574146e-005	2.498362e+000
2.994005696737460e-005	2.498327e+000
3.000985710385336e-005	2.498303e+000
3.021134058616148e-005	2.498232e+000
3.069661787324591e-005	2.498064e+000
3.147469644699658e-005	2.497783e+000
3.225277502074725e-005	2.497481e+000
3.303085359449792e-005	2.497160e+000
3.380893216824858e-005	2.496819e+000
3.458701074199925e-005	2.496457e+000
3.536508931574991e-005	2.496076e+000
3.614316788950058e-005	2.495674e+000
3.818618741908143e-005	2.494485e+000
4.139800345638950e-005	2.492244e+000
4.628081595638950e-005	2.488045e+000
5.116362845638950e-005	2.482832e+000
5.604644095638950e-005	2.476438e+000
6.092925345638950e-005	2.468802e+000
6.581206595638949e-005	2.459885e+000
7.069487845638950e-005	2.449673e+000
7.557769095638950e-005	2.438174e+000
8.046050345638951e-005	2.425417e+000
8.534331595638951e-005	2.411451e+000
9.022612845638951e-005	2.396339e+000
9.510894095638952e-005	2.380162e+000
9.999175345638952e-005	2.363009e+000
1.048745659563895e-004	2.344981e+000
1.097573784563895e-004	2.326184e+000
1.146401909563895e-004	2.306728e+000
1.195230034563895e-004	2.286729e+000
1.244058159563895e-004	2.266298e+000
1.292886284563896e-004	2.245548e+000
