time,V(vcap),V(n001)
0.000000000000000e+000,2.500000e+000,2.500000e+000
3.999999934453262e-011,2.500001e+000,2.500400e+000
7.999999868906524e-011,2.500002e+000,2.500800e+000
1.199999980335979e-010,2.500005e+000,2.501200e+000
1.599999973781305e-010,2.500008e+000,2.501600e+000
1.999999967226631e-010,2.500012e+000,2.502000e+000
2.399999960671957e-010,2.500017e+000,2.502400e+000
2.799999954117283e-010,2.500022e+000,2.502800e+000
5.599999908234565e-010,2.500077e+000,2.505600e+000
9.445864930356166e-010,2.500192e+000,2.509446e+000
1.450158562826415e-009,2.500401e+000,2.514502e+000
2.139520586326125e-009,2.500760e+000,2.521395e+000
3.051923444358330e-009,2.501320e+000,2.530519e+000
4.272116077881487e-009,2.502150e+000,2.542721e+000
5.887568804372336e-009,2.503302e+000,2.558876e+000
8.081616963384931e-009,2.504867e+000,2.580816e+000
1.112208036892351e-008,2.506953e+000,2.611221e+000
1.556935236052745e-008,2.509832e+000,2.655694e+000
1.962701766819206e-008,2.512286e+000,2.696270e+000
2.551421732895483e-008,2.515605e+000,2.755142e+000
3.235015482895483e-008,2.519232e+000,2.823502e+000
3.918609232895483e-008,2.522677e+000,2.891861e+000
4.602202982895483e-008,2.525996e+000,2.960220e+000
5.285796732895483e-008,2.529237e+000,3.028580e+000
5.969390482895483e-008,2.532430e+000,3.096939e+000
7.336577982895482e-008,2.538755e+000,3.233658e+000
1.000000000000000e-007,2.551081e+000,3.500000e+000
1.006835937500000e-007,2.551204e+000,3.500000e+000
1.020507812500000e-007,2.551228e+000,3.500000e+000
1.047851562500000e-007,2.550845e+000,3.500000e+000
1.102539062500000e-007,2.550054e+000,3.500000e+000
1.170898437500000e-007,2.549984e+000,3.500000e+000
1.239257812500000e-007,2.551095e+000,3.500000e+000
1.307617187500000e-007,2.553171e+000,3.500000e+000
1.375976562500000e-007,2.555898e+000,3.500000e+000
1.444335937500000e-007,2.559058e+000,3.500000e+000
1.512695312500000e-007,2.562503e+000,3.500000e+000
1.581054687500000e-007,2.566132e+000,3.500000e+000
1.649414062500000e-007,2.569875e+000,3.500000e+000
1.717773437500001e-007,2.573685e+000,3.500000e+000
1.786132812500001e-007,2.577532e+000,3.500000e+000
1.854492187500001e-007,2.581393e+000,3.500000e+000
1.991210937500001e-007,2.589110e+000,3.500000e+000
2.098632812500001e-007,2.595138e+000,3.500000e+000
2.206054687500001e-007,2.601120e+000,3.500000e+000
2.313476562500001e-007,2.607057e+000,3.500000e+000
2.420898437500001e-007,2.612950e+000,3.500000e+000
2.528320312500002e-007,2.618797e+000,3.500000e+000
2.635742187500002e-007,2.624599e+000,3.500000e+000
2.743164062500002e-007,2.630356e+000,3.500000e+000
3.016601562500002e-007,2.644799e+000,3.500000e+000
3.290039062500002e-007,2.659141e+000,3.500000e+000
3.563476562500002e-007,2.673383e+000,3.500000e+000
3.836914062500003e-007,2.687526e+000,3.500000e+000
4.110351562500004e-007,2.701568e+000,3.500000e+000
4.383789062500004e-007,2.715511e+000,3.500000e+000
4.657226562500004e-007,2.729353e+000,3.500000e+000
5.379882812500000e-007,2.765859e+000,3.500000e+000
6.102539062499995e-007,2.802329e+000,3.500000e+000
6.825195312499992e-007,2.838761e+000,3.500000e+000
7.547851562499987e-007,2.875156e+000,3.500000e+000
8.270507812499983e-007,2.911514e+000,3.500000e+000
8.993164062499980e-007,2.947835e+000,3.500000e+000
9.715820312499974e-007,2.984119e+000,3.500000e+000
1.104394531249999e-006,3.050881e+000,3.500000e+000
1.237207031250000e-006,3.117639e+000,3.500000e+000
1.370019531250001e-006,3.184394e+000,3.500000e+000
1.502832031250002e-006,3.251144e+000,3.500000e+000
1.635644531250003e-006,3.317891e+000,3.500000e+000
1.768457031250005e-006,3.384634e+000,3.500000e+000
1.901269531250006e-006,3.451374e+000,3.500000e+000
1.909082031250006e-006,3.455302e+000,3.500000e+000
1.916894531250006e-006,3.459207e+000,3.500000e+000
1.924707031250006e-006,3.463089e+000,3.500000e+000
1.932519531250006e-006,3.466948e+000,3.500000e+000
1.940332031250006e-006,3.470783e+000,3.500000e+000
1.948144531250006e-006,3.474595e+000,3.500000e+000
1.955957031250006e-006,3.478384e+000,3.500000e+000
1.962792968750006e-006,3.481618e+000,3.500000e+000
1.969628906250006e-006,3.484777e+000,3.500000e+000
1.976464843750006e-006,3.487835e+000,3.500000e+000
1.983300781250006e-006,3.490761e+000,3.500000e+000
1.990136718750006e-006,3.493517e+000,3.500000e+000
1.996972656250007e-006,3.496063e+000,3.500000e+000
2.003808593750007e-006,3.498354e+000,3.500000e+000
2.010644531250007e-006,3.500349e+000,3.500000e+000
2.017480468750007e-006,3.502014e+000,3.500000e+000
2.024316406250007e-006,3.503326e+000,3.500000e+000
2.031152343750007e-006,3.504276e+000,3.500000e+000
2.037988281250007e-006,3.504873e+000,3.500000e+000
2.044824218750007e-006,3.505139e+000,3.500000e+000
2.051660156250007e-006,3.505109e+000,3.500000e+000
2.058496093750007e-006,3.504826e+000,3.500000e+000
2.065332031250007e-006,3.504338e+000,3.500000e+000
2.072167968750007e-006,3.503695e+000,3.500000e+000
2.079003906250007e-006,3.502947e+000,3.500000e+000
2.085839843750007e-006,3.502141e+000,3.500000e+000
2.092675781250007e-006,3.501318e+000,3.500000e+000
2.099511718750007e-006,3.500516e+000,3.500000e+000
2.106347656250007e-006,3.499766e+000,3.500000e+000
2.113183593750008e-006,3.499093e+000,3.500000e+000
2.120019531250008e-006,3.498515e+000,3.500000e+000
2.126855468750008e-006,3.498045e+000,3.500000e+000
2.133691406250008e-006,3.497689e+000,3.500000e+000
2.140527343750008e-006,3.497447e+000,3.500000e+000
2.147363281250008e-006,3.497314e+000,3.500000e+000
2.154199218750008e-006,3.497284e+000,3.500000e+000
2.161035156250008e-006,3.497343e+000,3.500000e+000
2.167871093750008e-006,3.497479e+000,3.500000e+000
2.174707031250008e-006,3.497677e+000,3.500000e+000
2.181542968750008e-006,3.497921e+000,3.500000e+000
2.188378906250008e-006,3.498196e+000,3.500000e+000
2.195214843750008e-006,3.498489e+000,3.500000e+000
2.202050781250008e-006,3.498785e+000,3.500000e+000
2.208886718750008e-006,3.499074e+000,3.500000e+000
2.215722656250008e-006,3.499345e+000,3.500000e+000
2.222558593750008e-006,3.499591e+000,3.500000e+000
2.229394531250009e-006,3.499807e+000,3.500000e+000
2.236230468750009e-006,3.499987e+000,3.500000e+000
2.249902343750009e-006,3.500239e+000,3.500000e+000
2.256738281250009e-006,3.500311e+000,3.500000e+000
2.263574218750009e-006,3.500351e+000,3.500000e+000
2.270410156250009e-006,3.500360e+000,3.500000e+000
2.277246093750009e-006,3.500345e+000,3.500000e+000
2.284082031250009e-006,3.500309e+000,3.500000e+000
2.290917968750009e-006,3.500257e+000,3.500000e+000
2.297753906250009e-006,3.500193e+000,3.500000e+000
2.304589843750009e-006,3.500123e+000,3.500000e+000
2.311425781250009e-006,3.500051e+000,3.500000e+000
2.318261718750009e-006,3.499979e+000,3.500000e+000
2.325097656250009e-006,3.499912e+000,3.500000e+000
2.331933593750009e-006,3.499851e+000,3.500000e+000
2.338769531250010e-006,3.499799e+000,3.500000e+000
2.345605468750010e-006,3.499757e+000,3.500000e+000
2.359277343750010e-006,3.499705e+000,3.500000e+000
2.366113281250010e-006,3.499694e+000,3.500000e+000
2.372949218750010e-006,3.499692e+000,3.500000e+000
2.379785156250010e-006,3.499700e+000,3.500000e+000
2.386621093750010e-006,3.499714e+000,3.500000e+000
2.393457031250010e-006,3.499734e+000,3.500000e+000
2.400292968750010e-006,3.499759e+000,3.500000e+000
2.407128906250010e-006,3.499787e+000,3.500000e+000
2.413964843750010e-006,3.499817e+000,3.500000e+000
2.420800781250010e-006,3.499847e+000,3.500000e+000
2.427636718750010e-006,3.499876e+000,3.500000e+000
2.434472656250010e-006,3.499904e+000,3.500000e+000
2.441308593750010e-006,3.499929e+000,3.500000e+000
2.448144531250010e-006,3.499951e+000,3.500000e+000
2.468652343750011e-006,3.499998e+000,3.500000e+000
2.475488281250011e-006,3.500006e+000,3.500000e+000
2.482324218750011e-006,3.500011e+000,3.500000e+000
2.489160156250011e-006,3.500014e+000,3.500000e+000
2.495996093750011e-006,3.500014e+000,3.500000e+000
2.502832031250011e-006,3.500011e+000,3.500000e+000
2.509667968750011e-006,3.500008e+000,3.500000e+000
2.516503906250011e-006,3.500003e+000,3.500000e+000
2.523339843750011e-006,3.499997e+000,3.500000e+000
2.530175781250011e-006,3.499991e+000,3.500000e+000
2.537011718750011e-006,3.499985e+000,3.500000e+000
2.543847656250011e-006,3.499979e+000,3.500000e+000
2.550683593750011e-006,3.499974e+000,3.500000e+000
2.564355468750012e-006,3.499967e+000,3.500000e+000
2.584863281250012e-006,3.499962e+000,3.500000e+000
2.591699218750012e-006,3.499962e+000,3.500000e+000
2.598535156250012e-006,3.499963e+000,3.500000e+000
2.605371093750012e-006,3.499965e+000,3.500000e+000
2.612207031250012e-006,3.499967e+000,3.500000e+000
2.619042968750012e-006,3.499970e+000,3.500000e+000
2.625878906250012e-006,3.499973e+000,3.500000e+000
2.632714843750012e-006,3.499976e+000,3.500000e+000
2.646386718750012e-006,3.499983e+000,3.500000e+000
2.660058593750012e-006,3.499988e+000,3.500000e+000
2.667871093750013e-006,3.499991e+000,3.500000e+000
2.675683593750012e-006,3.499993e+000,3.500000e+000
2.683496093750012e-006,3.499995e+000,3.500000e+000
2.691308593750013e-006,3.499997e+000,3.500000e+000
2.699121093750013e-006,3.499998e+000,3.500000e+000
2.706933593750013e-006,3.499998e+000,3.500000e+000
2.714746093750013e-006,3.499998e+000,3.500000e+000
2.735253906250013e-006,3.499998e+000,3.500000e+000
2.755761718750013e-006,3.499997e+000,3.500000e+000
2.766503906250013e-006,3.499996e+000,3.500000e+000
2.777246093750014e-006,3.499996e+000,3.500000e+000
2.787988281250014e-006,3.499995e+000,3.500000e+000
2.798730468750013e-006,3.499995e+000,3.500000e+000
2.809472656250014e-006,3.499995e+000,3.500000e+000
2.820214843750014e-006,3.499996e+000,3.500000e+000
2.830957031250014e-006,3.499996e+000,3.500000e+000
2.846582031250014e-006,3.499997e+000,3.500000e+000
2.862207031250014e-006,3.499998e+000,3.500000e+000
2.877832031250014e-006,3.499998e+000,3.500000e+000
2.893457031250015e-006,3.499999e+000,3.500000e+000
2.909082031250014e-006,3.499999e+000,3.500000e+000
2.924707031250015e-006,3.500000e+000,3.500000e+000
2.940332031250015e-006,3.500000e+000,3.500000e+000
3.248856026785727e-006,3.500000e+000,3.500000e+000
3.557380022321440e-006,3.500000e+000,3.500000e+000
3.865904017857152e-006,3.500000e+000,3.500000e+000
4.174428013392864e-006,3.500001e+000,3.500000e+000
4.482952008928577e-006,3.500001e+000,3.500000e+000
4.791476004464289e-006,3.500001e+000,3.500000e+000
5.100000000000000e-006,3.500000e+000,3.500000e+000
5.100013971065610e-006,3.500000e+000,3.499860e+000
5.100041913196829e-006,3.500000e+000,3.499581e+000
5.100097797459266e-006,3.499997e+000,3.499022e+000
5.100209565984142e-006,3.499988e+000,3.497904e+000
5.100433103033892e-006,3.499950e+000,3.495669e+000
5.100857078597186e-006,3.499838e+000,3.491429e+000
5.101273707134883e-006,3.499680e+000,3.487263e+000
5.101968929920908e-006,3.499336e+000,3.480311e+000
5.102761128221039e-006,3.498868e+000,3.472389e+000
5.103958343767356e-006,3.498070e+000,3.460417e+000
5.105396864125058e-006,3.497052e+000,3.446031e+000
5.107495418168470e-006,3.495550e+000,3.425046e+000
5.110205067882532e-006,3.493668e+000,3.397949e+000
5.114318231779484e-006,3.490982e+000,3.356818e+000
5.120358816720633e-006,3.487329e+000,3.296412e+000
5.127194754220633e-006,3.483506e+000,3.228052e+000
5.134030691720633e-006,3.479933e+000,3.159693e+000
5.140866629220633e-006,3.476531e+000,3.091334e+000
5.147702566720633e-006,3.473239e+000,3.022974e+000
5.154538504220633e-006,3.470016e+000,2.954615e+000
5.168210379220633e-006,3.463669e+000,2.817896e+000
5.172751753617686e-006,3.461576e+000,2.772482e+000
5.177293128014738e-006,3.459480e+000,2.727069e+000
5.181834502411790e-006,3.457382e+000,2.681655e+000
5.186375876808843e-006,3.455280e+000,2.636241e+000
5.190917251205896e-006,3.453176e+000,2.590827e+000
5.195458625602948e-006,3.451070e+000,2.545414e+000
5.200000000000000e-006,3.448961e+000,2.500000e+000
5.200683593750000e-006,3.448838e+000,2.500000e+000
5.202050781250001e-006,3.448812e+000,2.500000e+000
5.204785156250001e-006,3.449193e+000,2.500000e+000
5.210253906250000e-006,3.449974e+000,2.500000e+000
5.217089843750000e-006,3.450034e+000,2.500000e+000
5.223925781250000e-006,3.448915e+000,2.500000e+000
5.230761718750001e-006,3.446837e+000,2.500000e+000
5.237597656250001e-006,3.444111e+000,2.500000e+000
5.244433593750001e-006,3.440953e+000,2.500000e+000
5.251269531250001e-006,3.437511e+000,2.500000e+000
5.258105468750001e-006,3.433886e+000,2.500000e+000
5.264941406250001e-006,3.430145e+000,2.500000e+000
5.271777343750001e-006,3.426337e+000,2.500000e+000
5.278613281250001e-006,3.422492e+000,2.500000e+000
5.285449218750001e-006,3.418631e+000,2.500000e+000
5.299121093750001e-006,3.410914e+000,2.500000e+000
5.309863281250001e-006,3.404886e+000,2.500000e+000
5.320605468750001e-006,3.398903e+000,2.500000e+000
5.331347656250001e-006,3.392965e+000,2.500000e+000
5.342089843750002e-006,3.387072e+000,2.500000e+000
5.352832031250001e-006,3.381224e+000,2.500000e+000
5.363574218750002e-006,3.375421e+000,2.500000e+000
5.374316406250002e-006,3.369663e+000,2.500000e+000
5.401660156250002e-006,3.355219e+000,2.500000e+000
5.429003906250002e-006,3.340876e+000,2.500000e+000
5.456347656250002e-006,3.326633e+000,2.500000e+000
5.483691406250003e-006,3.312490e+000,2.500000e+000
5.511035156250003e-006,3.298447e+000,2.500000e+000
5.538378906250003e-006,3.284505e+000,2.500000e+000
5.565722656250003e-006,3.270663e+000,2.500000e+000
5.637988281250004e-006,3.234158e+000,2.500000e+000
5.710253906250005e-006,3.197689e+000,2.500000e+000
5.782519531250005e-006,3.161258e+000,2.500000e+000
5.854785156250006e-006,3.124863e+000,2.500000e+000
5.927050781250007e-006,3.088506e+000,2.500000e+000
5.999316406250008e-006,3.052186e+000,2.500000e+000
6.071582031250008e-006,3.015902e+000,2.500000e+000
6.727832031250014e-006,2.686056e+000,2.500000e+000
6.994433593750016e-006,2.552082e+000,2.500000e+000
7.000000000000000e-006,2.549291e+000,2.500000e+000
