time,V(vout3),V(vp)-V(vm)
0.000000000000000e+000,2.500675e+000,0.000000e+000
1.307837599790555e-007,2.500675e+000,5.790165e-006
2.615675199581111e-007,2.500675e+000,1.158033e-005
3.923512799371666e-007,2.500675e+000,1.737050e-005
5.231350399162222e-007,2.500675e+000,2.316066e-005
6.539187998952777e-007,2.500675e+000,2.895083e-005
7.847025598743332e-007,2.500675e+000,3.474099e-005
9.154863198533885e-007,2.500675e+000,4.053116e-005
1.227294864293549e-006,2.500675e+000,5.435944e-005
1.515046385248624e-006,2.500675e+000,6.723404e-005
1.874295665269810e-006,2.500674e+000,8.320808e-005
2.351676796625933e-006,2.500674e+000,1.044273e-004
2.890618758551958e-006,2.500674e+000,1.282692e-004
3.744188932363877e-006,2.500673e+000,1.661777e-004
4.817543260295509e-006,2.500670e+000,2.138615e-004
6.289727863100369e-006,2.500663e+000,2.794266e-004
8.034992378041057e-006,2.500645e+000,3.566742e-004
1.044621977694314e-005,2.500592e+000,4.637241e-004
1.297258258638677e-005,2.500489e+000,5.755424e-004
1.520681549659633e-005,2.500329e+000,6.744862e-004
1.770822787556689e-005,2.500051e+000,7.851124e-004
1.997749676416616e-005,2.499679e+000,8.852482e-004
2.262330369342999e-005,2.499050e+000,1.001596e-003
2.598645818131393e-005,2.497886e+000,1.149416e-003
3.053563591804343e-005,2.495609e+000,1.348019e-003
3.541844841804343e-005,2.492159e+000,1.560211e-003
4.030126091804342e-005,2.487479e+000,1.770973e-003
4.518407341804342e-005,2.481421e+000,1.980066e-003
5.006688591804342e-005,2.473896e+000,2.187252e-003
5.494969841804342e-005,2.464852e+000,2.392530e-003
5.983251091804341e-005,2.454273e+000,2.595663e-003
6.471532341804341e-005,2.442175e+000,2.796173e-003
6.959813591804342e-005,2.428605e+000,2.993584e-003
7.448094841804342e-005,2.413634e+000,3.189087e-003
7.936376091804342e-005,2.397355e+000,3.380775e-003
8.424657341804343e-005,2.379876e+000,3.569603e-003
8.912938591804343e-005,2.361320e+000,3.755093e-003
9.401219841804344e-005,2.341817e+000,3.937244e-003
9.889501091804344e-005,2.321505e+000,4.115582e-003
1.037778234180435e-004,2.300524e+000,4.289865e-003
1.086606359180435e-004,2.279013e+000,4.460335e-003
1.135434484180435e-004,2.257109e+000,4.626274e-003
1.184262609180435e-004,2.234947e+000,4.788160e-003
1.233090734180435e-004,2.212654e+000,4.945517e-003
1.281918859180435e-004,2.190348e+000,5.098104e-003
1.330746984180435e-004,2.168143e+000,5.246162e-003
1.379575109180435e-004,2.146142e+000,5.388737e-003
1.428403234180435e-004,2.124437e+000,5.526543e-003
1.477231359180435e-004,2.103112e+000,5.659103e-003
1.526059484180435e-004,2.082242e+000,5.786419e-003
1.574887609180435e-004,2.061892e+000,5.908251e-003
1.623715734180435e-004,2.042116e+000,6.024599e-003
1.672543859180435e-004,2.022963e+000,6.135225e-003
1.721371984180435e-004,2.004470e+000,6.240129e-003
1.770200109180435e-004,1.986669e+000,6.339073e-003
1.819028234180435e-004,1.969585e+000,6.432056e-003
1.867856359180435e-004,1.953235e+000,6.519079e-003
1.916684484180435e-004,1.937632e+000,6.599665e-003
1.965512609180435e-004,1.922783e+000,6.674528e-003
2.014340734180435e-004,1.908694e+000,6.742716e-003
2.063168859180435e-004,1.895364e+000,6.804705e-003
2.111996984180435e-004,1.882790e+000,6.860495e-003
2.160825109180435e-004,1.870969e+000,6.909370e-003
2.209653234180435e-004,1.859893e+000,6.952047e-003
2.258481359180435e-004,1.849555e+000,6.988287e-003
2.307309484180435e-004,1.839947e+000,7.017612e-003
2.453793859180436e-004,1.815412e+000,7.066488e-003
2.516572877037579e-004,1.806853e+000,7.068799e-003
2.579351894894721e-004,1.799396e+000,7.060270e-003
2.642130912751864e-004,1.793041e+000,7.040900e-003
2.704909930609007e-004,1.787788e+000,7.010689e-003
2.767688948466150e-004,1.783637e+000,6.969637e-003
2.830467966323293e-004,1.780587e+000,6.917744e-003
2.893246984180436e-004,1.778639e+000,6.855011e-003
2.963001448466151e-004,1.777716e+000,6.772012e-003
3.032755912751865e-004,1.778106e+000,6.676557e-003
3.102510377037579e-004,1.779810e+000,6.568646e-003
3.172264841323293e-004,1.782827e+000,6.448279e-003
3.242019305609008e-004,1.787158e+000,6.315455e-003
