Freq.	V(vout)
1.00000000000000e-04	(-6.01034875160893e+01dB,8.99432683278575e+01°)
1.25892541179417e-04	(-5.81034900064694e+01dB,8.99285790699379e+01°)
1.58489319246111e-04	(-5.61034939534529e+01dB,8.99100864034494e+01°)
1.99526231496888e-04	(-5.41035002089928e+01dB,8.98868055427847e+01°)
2.51188643150958e-04	(-5.21035101233370e+01dB,8.98574967297759e+01°)
3.16227766016838e-04	(-5.01035258364672e+01dB,8.98205992282135e+01°)
3.98107170553497e-04	(-4.81035507399838e+01dB,8.97741482411997e+01°)
5.01187233627273e-04	(-4.61035902091053e+01dB,8.97156703428895e+01°)
6.30957344480194e-04	(-4.41036527627125e+01dB,8.96420518879152e+01°)
7.94328234724282e-04	(-4.21037519016532e+01dB,8.95493734545305e+01°)
1.00000000000000e-03	(-4.01039090216499e+01dB,8.94327016320676e+01°)
1.25892541179417e-03	(-3.81041580284199e+01dB,8.92858273181388e+01°)
1.58489319246111e-03	(-3.61045526483119e+01dB,8.91009370945030e+01°)
1.99526231496888e-03	(-3.41051780052526e+01dB,8.88682011890095e+01°)
2.51188643150958e-03	(-3.21061689447953e+01dB,8.85752580892980e+01°)
3.16227766016838e-03	(-3.01077390151266e+01dB,8.82065723604174e+01°)
3.98107170553498e-03	(-2.81102262467933e+01dB,8.77426394186238e+01°)
5.01187233627273e-03	(-2.61141653278152e+01dB,8.71590106916377e+01°)
6.30957344480194e-03	(-2.41204010412914e+01dB,8.64251184674035e+01°)
7.94328234724282e-03	(-2.21302656775972e+01dB,8.55028992953736e+01°)
1.00000000000000e-02	(-2.01458543192750e+01dB,8.43452626126756e+01°)
1.25892541179417e-02	(-1.81704466041493e+01dB,8.28945543278595e+01°)
1.58489319246112e-02	(-1.62091397245359e+01dB,8.10813701890386e+01°)
1.99526231496888e-02	(-1.42697666662986e+01dB,7.88244524088089e+01°)
2.51188643150958e-02	(-1.23641531849037e+01dB,7.60330363284248e+01°)
3.16227766016838e-02	(-1.05096666560927e+01dB,7.26139067283914e+01°)
3.98107170553498e-02	(-8.73074541252997e+00dB,6.84862468451174e+01°)
5.01187233627273e-02	(-7.05959240224157e+00dB,6.36069529151362e+01°)
6.30957344480194e-02	(-5.53458744187141e+00dB,5.80050960639153e+01°)
7.94328234724283e-02	(-4.19486099245001e+00dB,5.18146520090075e+01°)
1.00000000000000e-01	(-3.07102234103180e+00dB,4.52834087736251e+01°)
1.25892541179417e-01	(-2.17541406227106e+00dB,3.87374592827621e+01°)
1.58489319246112e-01	(-1.49758778482685e+00dB,3.25064860031279e+01°)
1.99526231496888e-01	(-1.00815594234016e+00dB,2.68470996932721e+01°)
2.51188643150959e-01	(-6.68315684611325e-01dB,2.19032373707140e+01°)
3.16227766016839e-01	(-4.39347171711133e-01dB,1.77118630863221e+01°)
3.98107170553498e-01	(-2.88408839935300e-01dB,1.42346363294066e+01°)
5.01187233627273e-01	(-1.90401301630228e-01dB,1.13928269173193e+01°)
6.30957344480195e-01	(-1.27404996044873e-01dB,9.09356370903287e+00°)
7.94328234724283e-01	(-8.71816385650031e-02dB,7.24550217982164e+00°)
1.00000000000000e+00	(-6.16093837953814e-02dB,5.76642157402860e+00°)
1.25892541179417e+00	(-4.53965605670172e-02dB,4.58587336936572e+00°)
1.58489319246112e+00	(-3.51357310718048e-02dB,3.64522328525143e+00°)
1.99526231496889e+00	(-2.86490898277940e-02dB,2.89652145720926e+00°)
2.51188643150959e+00	(-2.45513058576322e-02dB,2.30097764981234e+00°)
3.16227766016839e+00	(-2.19637891086390e-02dB,1.82742084431303e+00°)
3.98107170553498e+00	(-2.03303843860113e-02dB,1.45090567102486e+00°)
5.01187233627274e+00	(-1.92994619573232e-02dB,1.15151849291368e+00°)
6.30957344480195e+00	(-1.86488718419537e-02dB,9.13384666752302e-01°)
7.94328234724284e+00	(-1.82383332611454e-02dB,7.23857209164263e-01°)
1.00000000000000e+01	(-1.79792907591639e-02dB,5.72860395359821e-01°)
1.25892541179417e+01	(-1.78158535725734e-02dB,4.52361768827396e-01°)
1.58489319246112e+01	(-1.77127531332582e-02dB,3.55948686512772e-01°)
1.99526231496889e+01	(-1.76477389130615e-02dB,2.78488979707360e-01°)
2.51188643150959e+01	(-1.76067790534309e-02dB,2.15858728995800e-01°)
3.16227766016839e+01	(-1.75810329421685e-02dB,1.64723192730472e-01°)
3.98107170553499e+01	(-1.75649435044150e-02dB,1.22359491690489e-01°)
5.01187233627274e+01	(-1.75550379207461e-02dB,8.65117421238495e-02°)
6.30957344480195e+01	(-1.75491781031266e-02dB,5.52709901227601e-02°)
7.94328234724284e+01	(-1.75460992215829e-02dB,2.69735873572794e-02°)
1.00000000000000e+02	(-1.75451367034707e-02dB,1.12613425309921e-04°)
1.25892541179417e+02	(-1.75460827901674e-02dB,-2.67423634819099e-02°)
1.58489319246112e+02	(-1.75491416935854e-02dB,-5.50214558349761e-02°)
1.99526231496889e+02	(-1.75549736741433e-02dB,-8.62306090279152e-02°)
2.51188643150959e+02	(-1.75648375532758e-02dB,-1.22031788833882e-01°)
3.16227766016839e+02	(-1.75808624173681e-02dB,-1.64331469549519e-01°)
3.98107170553499e+02	(-1.76065071483071e-02dB,-2.15382126411000e-01°)
5.01187233627274e+02	(-1.76473069398133e-02dB,-2.77902120099506e-01°)
6.30957344480196e+02	(-1.77120678579037e-02dB,-3.55220323864039e-01°)
7.94328234724285e+02	(-1.78147670973506e-02dB,-4.51453127931882e-01°)
1.00000000000000e+03	(-1.79775686162597e-02dB,-5.71723113235636e-01°)
1.25892541179417e+03	(-1.82356038467686e-02dB,-7.22430772183169e-01°)
1.58489319246112e+03	(-1.86445463161500e-02dB,-9.11593213267053e-01°)
1.99526231496889e+03	(-1.92926074204378e-02dB,-1.14926682359917e+00°)
2.51188643150959e+03	(-2.03195232094153e-02dB,-1.44807427933928e+00°)
3.16227766016839e+03	(-2.19465817381869e-02dB,-1.82385975192275e+00°)
3.98107170553499e+03	(-2.45240502090711e-02dB,-2.29649881701694e+00°)
5.01187233627275e+03	(-2.86059331861551e-02dB,-2.89088955904941e+00°)
6.30957344480196e+03	(-3.50674342843631e-02dB,-3.63814474671043e+00°)
7.94328234724285e+03	(-4.52885723939567e-02dB,-4.57698383009622e+00°)
1.00000000000000e+04	(-6.14388705798706e-02dB,-5.75527257957532e+00°)
1.25892541179417e+04	(-8.69129768833444e-02dB,-7.23154918744630e+00°)
1.58489319246112e+04	(-1.26983113987687e-01dB,-9.07615996959920e+00°)
1.99526231496889e+04	(-1.89742274517727e-01dB,-1.13712321552975e+01°)
2.51188643150959e+04	(-2.87387616817633e-01dB,-1.42080559143702e+01°)
3.16227766016840e+04	(-4.37783830023048e-01dB,-1.76795415126193e+01°)
3.98107170553499e+04	(-6.65964988859730e-01dB,-2.18646332716437e+01°)
5.01187233627275e+04	(-1.00471032426747e+00dB,-2.68021524415392e+01°)
6.30957344480197e+04	(-1.49270805647007e+00dB,-3.24559232122574e+01°)
7.94328234724286e+04	(-2.16879647171898e+00dB,-3.86829921004335e+01°)
1.00000000000001e+05	(-3.06248672366682e+00dB,-4.52276042080260e+01°)
1.25892541179417e+05	(-4.18441507586934e+00dB,-5.17604043230049e+01°)
1.58489319246112e+05	(-5.52242390847301e+00dB,-5.79549202595950e+01°)
1.99526231496889e+05	(-7.04602084689168e+00dB,-6.35624832179352e+01°)
2.51188643150959e+05	(-8.71610451303058e+00dB,-6.84481400621221e+01°)
3.16227766016840e+05	(-1.04942598040938e+01dB,-7.25820538689565e+01°)
3.98107170553500e+05	(-1.23482204056778e+01dB,-7.60068710087666e+01°)
5.01187233627275e+05	(-1.42534831679176e+01dB,-7.88032110537578e+01°)
6.30957344480197e+05	(-1.61926268808597e+01dB,-8.10642599384007e+01°)
7.94328234724286e+05	(-1.81537856994616e+01dB,-8.28808413089019e+01°)
1.00000000000001e+06	(-2.01290986204681e+01dB,-8.43343079995708e+01°)
1.25892541179418e+06	(-2.21134496107266e+01dB,-8.54941663866435e+01°)
1.58489319246112e+06	(-2.41035466604196e+01dB,-8.64181658663901e+01°)
1.99526231496889e+06	(-2.60972866824812e+01dB,-8.71534800938143e+01°)
2.51188643150960e+06	(-2.80933322556381e+01dB,-8.77382423144089e+01°)
3.16227766016840e+06	(-3.00908353270469e+01dB,-8.82030776118897e+01°)
3.98107170553500e+06	(-3.20892591326402e+01dB,-8.85724811061643e+01°)
5.01187233627276e+06	(-3.40882643267833e+01dB,-8.88659948484722e+01°)
6.30957344480198e+06	(-3.60876365294534e+01dB,-8.90991842831729e+01°)
7.94328234724287e+06	(-3.80872403694176e+01dB,-8.92844348838433e+01°)
1.00000000000001e+07	(-4.00869903907382e+01dB,-8.94315955189517e+01°)
1.25892541179418e+07	(-4.20868326574508e+01dB,-8.95484948045775e+01°)
1.58489319246112e+07	(-4.40867331315268e+01dB,-8.96413539368109e+01°)
1.99526231496889e+07	(-4.60866703337406e+01dB,-8.97151159323517e+01°)
2.51188643150960e+07	(-4.80866307105489e+01dB,-8.97737078538490e+01°)
3.16227766016840e+07	(-5.00866057098191e+01dB,-8.98202494127141e+01°)
3.98107170553500e+07	(-5.20865899353510e+01dB,-8.98572188581282e+01°)
5.01187233627276e+07	(-5.40865799823050e+01dB,-8.98865848234303e+01°)
6.30957344480198e+07	(-5.60865737023458e+01dB,-8.99099110777532e+01°)
7.94328234724288e+07	(-5.80865697399547e+01dB,-8.99284398067962e+01°)
1.00000000000000e+08	(-6.00865672398531e+01dB,-8.99431577081698e+01°)
