time	V(vcap)	I(C1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	-9.999010e-07
4.882812226379360e-14	4.882329e-09	7.499257e-07	-9.999010e-07
9.765624452758720e-14	9.764658e-09	9.999010e-07	-9.999010e-07
7.226562095041455e-12	7.185439e-07	9.982841e-07	-9.982841e-07
1.435546794555532e-11	1.431806e-06	9.984605e-07	-9.984605e-07
2.148437379606919e-11	2.149550e-06	1.000430e-06	-1.000430e-06
2.861327964658306e-11	2.871778e-06	1.004193e-06	-1.004193e-06
3.574218549709693e-11	3.598488e-06	1.009750e-06	-1.009750e-06
4.287109134761079e-11	4.329680e-06	1.017099e-06	-1.017099e-06
4.999999719812465e-11	5.065356e-06	1.026242e-06	-1.026242e-06
9.999999439624929e-11	1.465947e-05	2.074045e-06	-2.074045e-06
1.857253541617671e-10	5.387824e-05	1.023994e-05	-1.023994e-05
2.200251027491880e-10	9.940110e-05	2.402719e-05	-2.402719e-05
2.425436155578081e-10	1.702933e-04	4.873682e-05	-4.873682e-05
2.573383934113231e-10	2.613335e-04	8.281798e-05	-8.281798e-05
2.704816804198142e-10	4.005555e-04	1.369391e-04	-1.369391e-04
2.815464213687672e-10	5.906757e-04	2.124130e-04	-2.124130e-04
2.925335271319501e-10	8.945361e-04	3.339330e-04	-3.339330e-04
3.045617788994253e-10	1.439006e-03	5.499293e-04	-5.499293e-04
3.178790881707620e-10	2.435770e-03	9.354653e-04	-9.354653e-04
3.310391346727333e-10	4.078978e-03	1.536600e-03	-1.536600e-03
3.452043221429497e-10	6.974649e-03	2.491266e-03	-2.491266e-03
3.601931578263878e-10	1.183565e-02	3.814878e-03	-3.814878e-03
3.782053007560058e-10	2.068026e-02	5.505552e-03	-5.505552e-03
4.040425382866743e-10	3.788555e-02	7.418850e-03	-7.418850e-03
4.312947634135945e-10	5.968336e-02	8.472628e-03	-8.472628e-03
4.652060387295501e-10	8.909216e-02	8.806737e-03	-8.806737e-03
5.029438238812913e-10	1.219362e-01	8.685531e-03	-8.685531e-03
5.767240352512666e-10	1.845085e-01	8.143730e-03	-8.143730e-03
6.387251608961283e-10	2.331234e-01	7.660936e-03	-7.660936e-03
6.900000000000000e-10	2.718155e-01	7.274570e-03	-7.274570e-03
7.361473551934846e-10	3.042185e-01	6.950865e-03	-6.950865e-03
7.822947103869691e-10	3.350791e-01	6.642567e-03	-6.642567e-03
8.284420655804537e-10	3.643974e-01	6.349676e-03	-6.349676e-03
8.745894207739383e-10	3.921734e-01	6.072193e-03	-6.072193e-03
9.207367759674229e-10	4.184072e-01	5.810118e-03	-5.810118e-03
9.668841311609073e-10	4.430985e-01	5.563451e-03	-5.563451e-03
