Freq.	V(vcap)
1.00000000000000e+06	(-1.71449204950224e-04dB,-3.59995262702100e-01°)
1.02329299228075e+06	(-1.79529190036255e-04dB,-3.68380401120583e-01°)
1.04712854805090e+06	(-1.87989956975587e-04dB,-3.76960838165013e-01°)
1.07151930523761e+06	(-1.96849449910611e-04dB,-3.85741121756326e-01°)
1.09647819614319e+06	(-2.06126458513747e-04dB,-3.94725905666586e-01°)
1.12201845430196e+06	(-2.15840657823489e-04dB,-4.03919951978602e-01°)
1.14815362149688e+06	(-2.26012649951640e-04dB,-4.13328133602404e-01°)
1.17489755493953e+06	(-2.36664007765057e-04dB,-4.22955436849883e-01°)
1.20226443461741e+06	(-2.47817320607627e-04dB,-4.32806964068909e-01°)
1.23026877081238e+06	(-2.59496242192809e-04dB,-4.42887936338278e-01°)
1.25892541179417e+06	(-2.71725540730568e-04dB,-4.53203696224872e-01°)
1.28824955169313e+06	(-2.84531151446072e-04dB,-4.63759710604441e-01°)
1.31825673855641e+06	(-2.97940231529900e-04dB,-4.74561573547437e-01°)
1.34896288259165e+06	(-3.11981217714785e-04dB,-4.85615009271376e-01°)
1.38038426460288e+06	(-3.26683886536997e-04dB,-4.96925875161233e-01°)
1.41253754462275e+06	(-3.42079417443688e-04dB,-5.08500164859389e-01°)
1.44543977074593e+06	(-3.58200458876684e-04dB,-5.20344011426703e-01°)
1.47910838816821e+06	(-3.75081197445882e-04dB,-5.32463690576302e-01°)
1.51356124843621e+06	(-3.92757430388361e-04dB,-5.44865623981717e-01°)
1.54881661891248e+06	(-4.11266641414881e-04dB,-5.57556382661030e-01°)
1.58489319246111e+06	(-4.30648080134151e-04dB,-5.70542690438717e-01°)
1.62181009735893e+06	(-4.50942845215445e-04dB,-5.83831427486935e-01°)
1.65958690743756e+06	(-4.72193971459796e-04dB,-5.97429633948000e-01°)
1.69824365246174e+06	(-4.94446520976103e-04dB,-6.11344513639864e-01°)
1.73780082874937e+06	(-5.17747678637332e-04dB,-6.25583437846422e-01°)
1.77827941003892e+06	(-5.42146852031562e-04dB,-6.40153949194529e-01°)
1.81970085860998e+06	(-5.67695776124668e-04dB,-6.55063765619609e-01°)
1.86208713666287e+06	(-5.94448622822521e-04dB,-6.70320784421835e-01°)
1.90546071796325e+06	(-6.22462115707507e-04dB,-6.85933086414822e-01°)
1.94984459975804e+06	(-6.51795650170210e-04dB,-7.01908940168876e-01°)
1.99526231496888e+06	(-6.82511419167834e-04dB,-7.18256806350838e-01°)
2.04173794466953e+06	(-7.14674544924935e-04dB,-7.34985342162617e-01°)
2.08929613085404e+06	(-7.48353216805347e-04dB,-7.52103405880543e-01°)
2.13796208950223e+06	(-7.83618835669189e-04dB,-7.69620061497700e-01°)
2.18776162394955e+06	(-8.20546165021267e-04dB,-7.87544583471439e-01°)
2.23872113856834e+06	(-8.59213489258270e-04dB,-8.05886461578320e-01°)
2.29086765276777e+06	(-8.99702779357088e-04dB,-8.24655405878750e-01°)
2.34422881531992e+06	(-9.42099866324548e-04dB,-8.43861351793637e-01°)
2.39883291901949e+06	(-9.86494622838038e-04dB,-8.63514465295403e-01°)
2.45470891568503e+06	(-1.03298115336883e-03dB,-8.83625148215752e-01°)
2.51188643150958e+06	(-1.08165799327685e-03dB,-9.04204043672607e-01°)
2.57039578276886e+06	(-1.13262831722417e-03dB,-9.25262041618679e-01°)
2.63026799189538e+06	(-1.18600015738303e-03dB,-9.46810284514154e-01°)
2.69153480392691e+06	(-1.24188663188368e-03dB,-9.68860173126032e-01°)
2.75422870333816e+06	(-1.30040618398713e-03dB,-9.91423372456674e-01°)
2.81838293126445e+06	(-1.36168283247907e-03dB,-1.01451181780413e+00°)
2.88403150312660e+06	(-1.42584643379776e-03dB,-1.03813772095693e+00°)
2.95120922666638e+06	(-1.49303295646350e-03dB,-1.06231357652585e+00°)
