Freq.	V(vout)
1.00000000000000e-03	(-6.38365464235484e+01dB,-9.00042635491222e+01°)
1.02329299228075e-03	(-6.36365464246818e+01dB,-9.00043628599386e+01°)
1.04712854805090e-03	(-6.34365464258686e+01dB,-9.00044644840011e+01°)
1.07151930523761e-03	(-6.32365464271113e+01dB,-9.00045684751920e+01°)
1.09647819614318e-03	(-6.30365464284125e+01dB,-9.00046748886489e+01°)
1.12201845430196e-03	(-6.28365464297751e+01dB,-9.00047837807936e+01°)
1.14815362149688e-03	(-6.26365464312019e+01dB,-9.00048952093622e+01°)
1.17489755493953e-03	(-6.24365464326960e+01dB,-9.00050092334355e+01°)
1.20226443461741e-03	(-6.22365464342604e+01dB,-9.00051259134706e+01°)
1.23026877081238e-03	(-6.20365464358986e+01dB,-9.00052453113329e+01°)
1.25892541179417e-03	(-6.18365464376140e+01dB,-9.00053674903286e+01°)
1.28824955169313e-03	(-6.16365464394103e+01dB,-9.00054925152386e+01°)
1.31825673855641e-03	(-6.14365464412912e+01dB,-9.00056204523528e+01°)
1.34896288259165e-03	(-6.12365464432607e+01dB,-9.00057513695052e+01°)
1.38038426460288e-03	(-6.10365464453231e+01dB,-9.00058853361098e+01°)
1.41253754462275e-03	(-6.08365464474827e+01dB,-9.00060224231974e+01°)
1.44543977074593e-03	(-6.06365464497440e+01dB,-9.00061627034533e+01°)
1.47910838816821e-03	(-6.04365464521119e+01dB,-9.00063062512562e+01°)
1.51356124843621e-03	(-6.02365464545914e+01dB,-9.00064531427168e+01°)
1.54881661891248e-03	(-6.00365464571878e+01dB,-9.00066034557189e+01°)
1.58489319246111e-03	(-5.98365464599065e+01dB,-9.00067572699606e+01°)
1.62181009735893e-03	(-5.96365464627534e+01dB,-9.00069146669961e+01°)
1.65958690743756e-03	(-5.94365464657344e+01dB,-9.00070757302795e+01°)
1.69824365246174e-03	(-5.92365464688559e+01dB,-9.00072405452085e+01°)
1.73780082874937e-03	(-5.90365464721245e+01dB,-9.00074091991703e+01°)
1.77827941003892e-03	(-5.88365464755472e+01dB,-9.00075817815874e+01°)
1.81970085860998e-03	(-5.86365464791312e+01dB,-9.00077583839653e+01°)
1.86208713666287e-03	(-5.84365464828841e+01dB,-9.00079390999408e+01°)
1.90546071796324e-03	(-5.82365464868138e+01dB,-9.00081240253320e+01°)
1.94984459975804e-03	(-5.80365464909288e+01dB,-9.00083132581887e+01°)
1.99526231496888e-03	(-5.78365464952377e+01dB,-9.00085068988447e+01°)
2.04173794466953e-03	(-5.76365464997497e+01dB,-9.00087050499708e+01°)
2.08929613085404e-03	(-5.74365465044743e+01dB,-9.00089078166293e+01°)
2.13796208950223e-03	(-5.72365465094215e+01dB,-9.00091153063299e+01°)
2.18776162394955e-03	(-5.70365465146020e+01dB,-9.00093276290861e+01°)
2.23872113856834e-03	(-5.68365465200265e+01dB,-9.00095448974745e+01°)
2.29086765276777e-03	(-5.66365465257068e+01dB,-9.00097672266934e+01°)
2.34422881531992e-03	(-5.64365465316547e+01dB,-9.00099947346248e+01°)
2.39883291901949e-03	(-5.62365465378829e+01dB,-9.00102275418964e+01°)
2.45470891568503e-03	(-5.60365465444047e+01dB,-9.00104657719456e+01°)
2.51188643150958e-03	(-5.58365465512339e+01dB,-9.00107095510851e+01°)
2.57039578276886e-03	(-5.56365465583848e+01dB,-9.00109590085699e+01°)
2.63026799189538e-03	(-5.54365465658728e+01dB,-9.00112142766655e+01°)
2.69153480392691e-03	(-5.52365465737137e+01dB,-9.00114754907183e+01°)
2.75422870333816e-03	(-5.50365465819241e+01dB,-9.00117427892277e+01°)
2.81838293126445e-03	(-5.48365465905215e+01dB,-9.00120163139186e+01°)
2.88403150312660e-03	(-5.46365465995241e+01dB,-9.00122962098174e+01°)
2.95120922666638e-03	(-5.44365466089509e+01dB,-9.00125826253287e+01°)
3.01995172040201e-03	(-5.42365466188220e+01dB,-9.00128757123136e+01°)
3.09029543251358e-03	(-5.40365466291583e+01dB,-9.00131756261706e+01°)
3.16227766016837e-03	(-5.38365466399818e+01dB,-9.00134825259181e+01°)
3.23593656929628e-03	(-5.36365466513153e+01dB,-9.00137965742783e+01°)
3.31131121482590e-03	(-5.34365466631830e+01dB,-9.00141179377636e+01°)
3.38844156139202e-03	(-5.32365466756100e+01dB,-9.00144467867651e+01°)
3.46736850452531e-03	(-5.30365466886226e+01dB,-9.00147832956430e+01°)
