time	V(vin)	V(vout)
0.000000000000000e+00	0.000000e+00	3.245016e+00
1.159419644994030e-05	7.369970e-04	3.238656e+00
2.318839289988059e-05	1.460769e-03	3.232413e+00
3.478258934982088e-05	2.171315e-03	3.226288e+00
4.637678579976118e-05	2.868635e-03	3.220281e+00
5.797098224970148e-05	3.552730e-03	3.214392e+00
6.956517869964177e-05	4.223600e-03	3.208620e+00
8.115937514958204e-05	4.881244e-03	3.202966e+00
1.104562501495820e-04	6.396302e-03	3.189963e+00
1.397531251495820e-04	7.695236e-03	3.178854e+00
1.592843751495820e-04	8.419101e-03	3.172690e+00
1.788156251495821e-04	9.016335e-03	3.167631e+00
1.983468751495821e-04	9.477955e-03	3.163756e+00
2.178781251495821e-04	9.797018e-03	3.161123e+00
2.374093751495821e-04	9.968725e-03	3.159772e+00
2.569406251495821e-04	9.990493e-03	3.159724e+00
2.764718751495821e-04	9.861995e-03	3.160980e+00
2.960031251495821e-04	9.585162e-03	3.163521e+00
3.155343751495822e-04	9.164160e-03	3.167307e+00
3.350656251495822e-04	8.605321e-03	3.172281e+00
3.545968751495822e-04	7.917049e-03	3.178366e+00
3.838937501495822e-04	6.665097e-03	3.189372e+00
4.131906251495822e-04	5.187938e-03	3.202289e+00
4.424875001495823e-04	3.535483e-03	3.216678e+00
4.717843751495823e-04	1.763568e-03	3.232047e+00
4.829450894352966e-04	1.060962e-03	3.238126e+00
4.941058037210109e-04	3.616848e-04	3.244167e+00
5.052665180067252e-04	-3.342623e-04	3.250172e+00
5.164272322924395e-04	-1.026880e-03	3.256139e+00
5.275879465781538e-04	-1.716167e-03	3.262070e+00
5.387486608638680e-04	-2.402126e-03	3.267964e+00
5.499093751495823e-04	-3.084754e-03	3.273820e+00
5.792062501495823e-04	-4.773773e-03	3.288272e+00
6.085031251495824e-04	-6.301491e-03	3.301288e+00
6.378000001495824e-04	-7.616288e-03	3.312432e+00
6.573312501495824e-04	-8.352248e-03	3.318635e+00
6.768625001495824e-04	-8.962582e-03	3.323748e+00
6.963937501495824e-04	-9.438111e-03	3.327695e+00
7.159250001495825e-04	-9.771681e-03	3.330418e+00
7.354562501495825e-04	-9.958277e-03	3.331877e+00
7.549875001495825e-04	-9.995090e-03	3.332049e+00
7.745187501495825e-04	-9.881568e-03	3.330934e+00
7.940500001495825e-04	-9.619419e-03	3.328546e+00
8.135812501495825e-04	-9.212584e-03	3.324921e+00
8.331125001495826e-04	-8.667183e-03	3.320114e+00
8.526437501495826e-04	-7.991420e-03	3.314193e+00
8.819406251495826e-04	-6.756079e-03	3.303423e+00
9.112375001495826e-04	-5.292457e-03	3.290709e+00
9.405343751495827e-04	-3.650007e-03	3.276476e+00
9.698312501495827e-04	-1.884227e-03	3.261201e+00
9.809919644352969e-04	-1.182889e-03	3.255141e+00
9.921526787210113e-04	-4.842823e-04	3.249107e+00
1.003313393006726e-03	2.115940e-04	3.243099e+00
1.014474107292440e-03	9.047394e-04	3.237118e+00
1.025634821578154e-03	1.595154e-03	3.231164e+00
1.036795535863869e-03	2.282838e-03	3.225237e+00
1.047956250149583e-03	2.967791e-03	3.219336e+00
1.077253125149583e-03	4.665584e-03	3.204728e+00
1.106550000149583e-03	6.205732e-03	3.191506e+00
1.135846875149583e-03	7.536193e-03	3.180121e+00
1.155378125149583e-03	8.284137e-03	3.173747e+00
1.174909375149583e-03	8.907478e-03	3.168460e+00
1.194440625149583e-03	9.396845e-03	3.164343e+00
1.213971875149583e-03	9.744872e-03	3.161458e+00
1.233503125149583e-03	9.946329e-03	3.159848e+00
1.253034375149583e-03	9.998183e-03	3.159539e+00
1.272565625149583e-03	9.899654e-03	3.160536e+00
1.292096875149583e-03	9.652227e-03	3.162822e+00
1.311628125149583e-03	9.259621e-03	3.166363e+00
1.331159375149583e-03	8.727740e-03	3.171105e+00
1.350690625149583e-03	8.064588e-03	3.176976e+00
1.379987500149583e-03	6.846044e-03	3.187696e+00
1.409284375149583e-03	5.396178e-03	3.200383e+00
1.438581250149583e-03	3.763981e-03	3.214603e+00
1.467878125149583e-03	2.004603e-03	3.229872e+00
1.479038839435297e-03	1.304639e-03	3.235931e+00
1.490199553721012e-03	6.068068e-04	3.241963e+00
1.501360268006726e-03	-8.889382e-05	3.247968e+00
1.512520982292440e-03	-7.824629e-04	3.253947e+00
1.523681696578155e-03	-1.473900e-03	3.259899e+00
1.534842410863869e-03	-2.163206e-03	3.265825e+00
1.546003125149583e-03	-2.850381e-03	3.271724e+00
1.575300000149583e-03	-4.556692e-03	3.286332e+00
1.604596875149583e-03	-6.109037e-03	3.299565e+00
1.633893750149583e-03	-7.454963e-03	3.310982e+00
1.653425000149583e-03	-8.214778e-03	3.317393e+00
1.672956250149583e-03	-8.851035e-03	3.322731e+00
1.692487500149583e-03	-9.354163e-03	3.326916e+00
1.712018750149583e-03	-9.716596e-03	3.329888e+00
1.731550000149583e-03	-9.932882e-03	3.331602e+00
1.751081250149583e-03	-9.999769e-03	3.332033e+00
1.770612500149583e-03	-9.916251e-03	3.331174e+00
1.790143750149583e-03	-9.683581e-03	3.329039e+00
1.809675000149583e-03	-9.305263e-03	3.325658e+00
1.829206250149583e-03	-8.786984e-03	3.321082e+00
1.848737500149583e-03	-8.136541e-03	3.315378e+00
1.878034375149583e-03	-6.934977e-03	3.304895e+00
1.907331250149584e-03	-5.499087e-03	3.292418e+00
1.936628125149584e-03	-3.877388e-03	3.278361e+00
1.965925000149583e-03	-2.124676e-03	3.263196e+00
1.977085714435297e-03	-1.426192e-03	3.257159e+00
1.988246428721011e-03	-7.292399e-04	3.251138e+00
1.999407143006725e-03	-3.381978e-05	3.245134e+00
2.010567857292440e-03	6.600685e-04	3.239145e+00
2.021728571578154e-03	1.352425e-03	3.233174e+00
2.032889285863868e-03	2.043249e-03	3.227218e+00
2.044050000149582e-03	2.732542e-03	3.221279e+00
2.073346875149581e-03	4.447114e-03	3.206523e+00
2.102643750149580e-03	6.011423e-03	3.193089e+00
2.131940625149580e-03	7.372611e-03	3.181435e+00
2.151471875149579e-03	8.144182e-03	3.174854e+00
2.171003125149579e-03	8.793256e-03	3.169343e+00
2.190534375149579e-03	9.310072e-03	3.164987e+00
2.210065625149578e-03	9.686857e-03	3.161851e+00
2.229596875149578e-03	9.917941e-03	3.159984e+00
2.249128125149577e-03	9.999850e-03	3.159414e+00
2.268659375149577e-03	9.931352e-03	3.160150e+00
2.288190625149576e-03	9.713477e-03	3.162181e+00
2.307721875149576e-03	9.349504e-03	3.165475e+00
2.327253125149576e-03	8.844904e-03	3.169982e+00
2.346784375149575e-03	8.207269e-03	3.175634e+00
2.376081250149575e-03	7.022867e-03	3.186063e+00
2.405378125149574e-03	5.601168e-03	3.198512e+00
2.434675000149573e-03	3.990212e-03	3.212555e+00
2.463971875149573e-03	2.244430e-03	3.227713e+00
2.475132589435287e-03	1.547530e-03	3.233749e+00
2.486293303721001e-03	8.515632e-04	3.239768e+00
2.497454018006715e-03	1.565282e-04	3.245770e+00
2.508614732292429e-03	-5.375747e-04	3.251757e+00
2.519775446578143e-03	-1.230746e-03	3.257727e+00
