Freq.	1/Ie(Q1)
1.00000000000000e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.02329299228075e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.04712854805090e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.07151930523761e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.09647819614318e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.12201845430196e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.14815362149688e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.17489755493953e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.20226443461741e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.23026877081238e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.25892541179417e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.28824955169313e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.31825673855641e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.34896288259165e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.38038426460288e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.41253754462275e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.44543977074593e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.47910838816821e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.51356124843621e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.54881661891248e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.58489319246111e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.62181009735893e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.65958690743756e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.69824365246174e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.73780082874937e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.77827941003892e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.81970085860998e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.86208713666287e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.90546071796324e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.94984459975804e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.99526231496888e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.04173794466953e-03	-1.01604360566129e+03,-0.00000000000000e+00
