temperature	V(vbe1)	V(vbe1)+10.83*V(vptat)	V(vptat)	d(V(vbe1))	d(V(vptat))
-4.000000000000000e+01	7.062418e-01	1.158797e+00	4.178716e-02	-1.903427e-03	1.791865e-04
-3.500000000000000e+01	6.967247e-01	1.158983e+00	4.268309e-02	-1.905376e-03	1.792103e-04
-3.000000000000000e+01	6.871880e-01	1.159151e+00	4.357927e-02	-1.908976e-03	1.792252e-04
-2.500000000000000e+01	6.776349e-01	1.159303e+00	4.447535e-02	-1.912326e-03	1.792166e-04
-2.000000000000000e+01	6.680648e-01	1.159437e+00	4.537143e-02	-1.915687e-03	1.792174e-04
-1.500000000000000e+01	6.584780e-01	1.159555e+00	4.626752e-02	-1.918989e-03	1.792178e-04
-1.000000000000000e+01	6.488749e-01	1.159657e+00	4.716361e-02	-1.922232e-03	1.792181e-04
-5.000000000000000e+00	6.392557e-01	1.159742e+00	4.805970e-02	-1.925409e-03	1.792185e-04
0.000000000000000e+00	6.296208e-01	1.159812e+00	4.895579e-02	-1.928520e-03	1.792192e-04
5.000000000000000e+00	6.199705e-01	1.159867e+00	4.985189e-02	-1.931572e-03	1.792196e-04
1.000000000000000e+01	6.103051e-01	1.159906e+00	5.074799e-02	-1.934576e-03	1.792200e-04
1.500000000000000e+01	6.006247e-01	1.159930e+00	5.164409e-02	-1.937526e-03	1.792207e-04
2.000000000000000e+01	5.909298e-01	1.159940e+00	5.254020e-02	-1.940417e-03	1.792207e-04
2.500000000000000e+01	5.812206e-01	1.159936e+00	5.343630e-02	-1.943260e-03	1.792215e-04
3.000000000000000e+01	5.714972e-01	1.159917e+00	5.433241e-02	-1.946056e-03	1.792222e-04
3.500000000000000e+01	5.617600e-01	1.159885e+00	5.522852e-02	-1.948804e-03	1.792222e-04
4.000000000000000e+01	5.520092e-01	1.159839e+00	5.612464e-02	-1.951504e-03	1.792226e-04
4.500000000000000e+01	5.422450e-01	1.159780e+00	5.702075e-02	-1.954162e-03	1.792233e-04
5.000000000000000e+01	5.324675e-01	1.159707e+00	5.791687e-02	-1.956785e-03	1.792237e-04
5.500000000000000e+01	5.226771e-01	1.159622e+00	5.881299e-02	-1.959354e-03	1.792241e-04
6.000000000000000e+01	5.128740e-01	1.159524e+00	5.970911e-02	-1.961887e-03	1.792245e-04
6.500000000000000e+01	5.030583e-01	1.159413e+00	6.060523e-02	-1.964092e-03	1.792185e-04
7.000000000000000e+01	4.932331e-01	1.159292e+00	6.150129e-02	-1.966843e-03	1.792256e-04
7.500000000000000e+01	4.833898e-01	1.159155e+00	6.239749e-02	-1.969558e-03	1.792327e-04
8.000000000000000e+01	4.735375e-01	1.159007e+00	6.329362e-02	-1.971647e-03	1.792267e-04
8.500000000000000e+01	4.636734e-01	1.158848e+00	6.418975e-02	-1.973999e-03	1.792274e-04
9.000000000000000e+01	4.537975e-01	1.158678e+00	6.508590e-02	-1.976314e-03	1.792289e-04
9.500000000000000e+01	4.439102e-01	1.158496e+00	6.598204e-02	-1.978594e-03	1.792312e-04
1.000000000000000e+02	4.340116e-01	1.158303e+00	6.687821e-02	-1.980785e-03	1.792438e-04
1.050000000000000e+02	4.241024e-01	1.158100e+00	6.777448e-02	-1.983061e-03	1.792364e-04
1.100000000000000e+02	4.141810e-01	1.157883e+00	6.867057e-02	-1.985303e-03	1.792319e-04
1.150000000000000e+02	4.042493e-01	1.157658e+00	6.956680e-02	-1.987392e-03	1.792498e-04
1.200000000000000e+02	3.943070e-01	1.157422e+00	7.046307e-02	-1.989511e-03	1.792602e-04
1.250000000000000e+02	3.843542e-01	1.157177e+00	7.135940e-02	-1.990563e-03	1.792669e-04
