Freq.	V(vout)/(V(Vip)-V(Vim))
1.00000000000000e+00	(8.22828144517572e-05dB,-9.52477642700438e-06°)
1.02329299228075e+00	(8.22828144498286e-05dB,-9.74663697079450e-06°)
1.04712854805090e+00	(8.22828144440426e-05dB,-9.97366531051854e-06°)
1.07151930523761e+00	(8.22828147487672e-05dB,-1.02059818196073e-05°)
1.09647819614318e+00	(8.22828147391240e-05dB,-1.04437096753489e-05°)
1.12201845430196e+00	(8.22828147352668e-05dB,-1.06869749241992e-05°)
1.14815362149688e+00	(8.22828144363281e-05dB,-1.09359065486132e-05°)
1.17489755493953e+00	(8.22828144286135e-05dB,-1.11906365354331e-05°)
1.20226443461741e+00	(8.22828147275522e-05dB,-1.14512999458697e-05°)
1.23026877081238e+00	(8.22828150245623e-05dB,-1.17180349871135e-05°)
1.25892541179417e+00	(8.22828147198377e-05dB,-1.19909830856139e-05°)
1.28824955169313e+00	(8.22828147159804e-05dB,-1.22702889620658e-05°)
1.31825673855641e+00	(8.22828144093272e-05dB,-1.25561007081418e-05°)
1.34896288259165e+00	(8.22828147044086e-05dB,-1.28485698650129e-05°)
1.38038426460288e+00	(8.22828143958267e-05dB,-1.31478515036974e-05°)
1.41253754462275e+00	(8.22828146947654e-05dB,-1.34541043072816e-05°)
1.44543977074593e+00	(8.22828146909081e-05dB,-1.37674906550555e-05°)
1.47910838816821e+00	(8.22828146831936e-05dB,-1.40881767086091e-05°)
1.51356124843621e+00	(8.22828143726831e-05dB,-1.44163324999327e-05°)
1.54881661891248e+00	(8.22828146716218e-05dB,-1.47521320215704e-05°)
1.58489319246111e+00	(8.22828146639072e-05dB,-1.50957533188735e-05°)
1.62181009735893e+00	(8.22828146581213e-05dB,-1.54473785844022e-05°)
1.65958690743756e+00	(8.22828146523354e-05dB,-1.58071942545266e-05°)
1.69824365246174e+00	(8.22828146407636e-05dB,-1.61753911082777e-05°)
1.73780082874937e+00	(8.22828143321817e-05dB,-1.65521643685010e-05°)
1.77827941003892e+00	(8.22828146311204e-05dB,-1.69377138053663e-05°)
1.81970085860998e+00	(8.22828146176199e-05dB,-1.73322438422883e-05°)
1.86208713666287e+00	(8.22828143109667e-05dB,-1.77359636643149e-05°)
1.90546071796325e+00	(8.22828146002622e-05dB,-1.81490873290396e-05°)
1.94984459975804e+00	(8.22828145848331e-05dB,-1.85718338800976e-05°)
1.99526231496888e+00	(8.22828145829045e-05dB,-1.90044274633062e-05°)
2.04173794466953e+00	(8.22828145674754e-05dB,-1.94470974455092e-05°)
