Freq.	V(vim)/I(V1)
1.00000000000000e+00	1.00000010777146e+04,8.41019903321777e-04
1.02329299228075e+00	1.00000010777146e+04,8.60609773437812e-04
1.04712854805090e+00	1.00000010777146e+04,8.80655950247240e-04
1.07151930523761e+00	1.00000010777146e+04,9.01169062498350e-04
1.09647819614318e+00	1.00000010777146e+04,9.22159986514778e-04
1.12201845430196e+00	1.00000010777146e+04,9.43639851962288e-04
1.14815362149688e+00	1.00000010777146e+04,9.65620047749857e-04
1.17489755493953e+00	1.00000010777146e+04,9.88112228068235e-04
1.20226443461741e+00	1.00000010777146e+04,1.01112831856915e-03
1.23026877081238e+00	1.00000010777146e+04,1.03468052268843e-03
1.25892541179417e+00	1.00000010777147e+04,1.05878132811646e-03
1.28824955169313e+00	1.00000010777147e+04,1.08344351341928e-03
1.31825673855641e+00	1.00000010777147e+04,1.10868015481399e-03
1.34896288259165e+00	1.00000010777147e+04,1.13450463310190e-03
1.38038426460288e+00	1.00000010777147e+04,1.16093064076322e-03
1.41253754462275e+00	1.00000010777147e+04,1.18797218921701e-03
1.44543977074593e+00	1.00000010777147e+04,1.21564361625019e-03
1.47910838816821e+00	1.00000010777147e+04,1.24395959361966e-03
1.51356124843621e+00	1.00000010777147e+04,1.27293513483141e-03
1.54881661891248e+00	1.00000010777147e+04,1.30258560310094e-03
1.58489319246111e+00	1.00000010777147e+04,1.33292671949899e-03
1.62181009735893e+00	1.00000010777147e+04,1.36397457128709e-03
1.65958690743756e+00	1.00000010777147e+04,1.39574562044723e-03
1.69824365246174e+00	1.00000010777147e+04,1.42825671241020e-03
1.73780082874937e+00	1.00000010777147e+04,1.46152508498731e-03
1.77827941003892e+00	1.00000010777147e+04,1.49556837751005e-03
1.81970085860998e+00	1.00000010777147e+04,1.53040464018273e-03
1.86208713666287e+00	1.00000010777147e+04,1.56605234365294e-03
1.90546071796325e+00	1.00000010777147e+04,1.60253038880490e-03
1.94984459975804e+00	1.00000010777147e+04,1.63985811678101e-03
1.99526231496888e+00	1.00000010777147e+04,1.67805531923672e-03
2.04173794466953e+00	1.00000010777148e+04,1.71714224883438e-03
2.08929613085404e+00	1.00000010777148e+04,1.75713962998144e-03
2.13796208950223e+00	1.00000010777148e+04,1.79806866981880e-03
2.18776162394955e+00	1.00000010777148e+04,1.83995106946516e-03
2.23872113856834e+00	1.00000010777148e+04,1.88280903552317e-03
2.29086765276777e+00	1.00000010777148e+04,1.92666529185375e-03
2.34422881531992e+00	1.00000010777148e+04,1.97154309162450e-03
2.39883291901949e+00	1.00000010777148e+04,2.01746622963888e-03
2.45470891568503e+00	1.00000010777148e+04,2.06445905495255e-03
2.51188643150958e+00	1.00000010777148e+04,2.11254648378349e-03
2.57039578276886e+00	1.00000010777148e+04,2.16175401272299e-03
2.63026799189538e+00	1.00000010777149e+04,2.21210773225424e-03
2.69153480392691e+00	1.00000010777149e+04,2.26363434058584e-03
2.75422870333816e+00	1.00000010777149e+04,2.31636115780755e-03
2.81838293126445e+00	1.00000010777149e+04,2.37031614037580e-03
2.88403150312660e+00	1.00000010777149e+04,2.42552789593653e-03
2.95120922666638e+00	1.00000010777149e+04,2.48202569849333e-03
3.01995172040201e+00	1.00000010777149e+04,2.53983950392897e-03
3.09029543251359e+00	1.00000010777150e+04,2.59899996588835e-03
3.16227766016837e+00	1.00000010777150e+04,2.65953845203147e-03
3.23593656929628e+00	1.00000010777150e+04,2.72148706066501e-03
3.31131121482591e+00	1.00000010777150e+04,2.78487863776125e-03
3.38844156139202e+00	1.00000010777150e+04,2.84974679437346e-03
3.46736850452531e+00	1.00000010777151e+04,2.91612592445691e-03
3.54813389233575e+00	1.00000010777151e+04,2.98405122310500e-03
3.63078054770101e+00	1.00000010777151e+04,3.05355870521016e-03
3.71535229097172e+00	1.00000010777151e+04,3.12468522455945e-03
3.80189396320560e+00	1.00000010777152e+04,3.19746849337491e-03
3.89045144994280e+00	1.00000010777152e+04,3.27194710230905e-03
3.98107170553496e+00	1.00000010777152e+04,3.34816054090617e-03
4.07380277804112e+00	1.00000010777152e+04,3.42614921854023e-03
4.16869383470335e+00	1.00000010777153e+04,3.50595448584040e-03
4.26579518801592e+00	1.00000010777153e+04,3.58761865661576e-03
4.36515832240165e+00	1.00000010777153e+04,3.67118503029061e-03
4.46683592150962e+00	1.00000010777154e+04,3.75669791486240e-03
4.57088189614874e+00	1.00000010777154e+04,3.84420265039442e-03
4.67735141287197e+00	1.00000010777154e+04,3.93374563305572e-03
4.78630092322637e+00	1.00000010777155e+04,4.02537433972094e-03
4.89778819368445e+00	1.00000010777155e+04,4.11913735314322e-03
5.01187233627271e+00	1.00000010777156e+04,4.21508438771336e-03
5.12861383991364e+00	1.00000010777156e+04,4.31326631581910e-03
5.24807460249771e+00	1.00000010777157e+04,4.41373519481832e-03
5.37031796370252e+00	1.00000010777157e+04,4.51654429464053e-03
5.49540873857623e+00	1.00000010777158e+04,4.62174812603129e-03
5.62341325190348e+00	1.00000010777158e+04,4.72940246945454e-03
5.75439937337156e+00	1.00000010777159e+04,4.83956440466813e-03
5.88843655355588e+00	1.00000010777159e+04,4.95229234098830e-03
6.02559586074356e+00	1.00000010777160e+04,5.06764604825899e-03
6.16595001861481e+00	1.00000010777161e+04,5.18568668854270e-03
6.30957344480192e+00	1.00000010777161e+04,5.30647684854935e-03
6.45654229034654e+00	1.00000010777162e+04,5.43008057282063e-03
6.60693448007594e+00	1.00000010777163e+04,5.55656339768723e-03
6.76082975391980e+00	1.00000010777164e+04,5.68599238601710e-03
6.91830970918935e+00	1.00000010777165e+04,5.81843616277305e-03
7.07945784384136e+00	1.00000010777165e+04,5.95396495139861e-03
7.24435960074988e+00	1.00000010777166e+04,6.09265061105144e-03
7.41310241300916e+00	1.00000010777167e+04,6.23456667470402e-03
7.58577575029182e+00	1.00000010777168e+04,6.37978838813178e-03
7.76247116628690e+00	1.00000010777169e+04,6.52839274980942e-03
7.94328234724279e+00	1.00000010777171e+04,6.68045855173649e-03
8.12830516164097e+00	1.00000010777172e+04,6.83606642121403e-03
8.31763771102669e+00	1.00000010777173e+04,6.99529886359413e-03
8.51138038202374e+00	1.00000010777174e+04,7.15824030602544e-03
8.70963589956078e+00	1.00000010777176e+04,7.32497714221752e-03
8.91250938133743e+00	1.00000010777177e+04,7.49559777824794e-03
9.12010839355907e+00	1.00000010777178e+04,7.67019267943636e-03
9.33254300796988e+00	1.00000010777180e+04,7.84885441831043e-03
9.54992586021433e+00	1.00000010777182e+04,8.03167772368896e-03
9.77237220955808e+00	1.00000010777183e+04,8.21875953090841e-03
9.99999999999997e+00	1.00000010777185e+04,8.41019903321931e-03
1.02329299228075e+01	1.00000010777187e+04,8.60609773437977e-03
1.04712854805090e+01	1.00000010777189e+04,8.80655950247418e-03
1.07151930523760e+01	1.00000010777191e+04,9.01169062498539e-03
1.09647819614318e+01	1.00000010777193e+04,9.22159986514982e-03
1.12201845430196e+01	1.00000010777195e+04,9.43639851962505e-03
1.14815362149688e+01	1.00000010777197e+04,9.65620047750091e-03
1.17489755493953e+01	1.00000010777200e+04,9.88112228068487e-03
