Freq.	V(vip)/I(V2)
1.00000000000000e+00	1.99999999999995e+04,-2.01171662702690e-08
1.02329299228075e+00	1.99999999999995e+04,-2.05857552698906e-08
1.04712854805090e+00	1.99999999999995e+04,-2.10652591052581e-08
1.07151930523761e+00	1.99999999999995e+04,-2.15559320295150e-08
1.09647819614318e+00	1.99999999999995e+04,-2.20580341812115e-08
1.12201845430196e+00	1.99999999999995e+04,-2.25718318051203e-08
1.14815362149688e+00	1.99999999999995e+04,-2.30975973096097e-08
1.17489755493953e+00	1.99999999999995e+04,-2.36356094636369e-08
1.20226443461741e+00	1.99999999999995e+04,-2.41861535304284e-08
1.23026877081238e+00	1.99999999999995e+04,-2.47495214180438e-08
1.25892541179417e+00	1.99999999999995e+04,-2.53260118311298e-08
1.28824955169313e+00	1.99999999999995e+04,-2.59159304315509e-08
1.31825673855641e+00	1.99999999999995e+04,-2.65195899910205e-08
1.34896288259165e+00	1.99999999999995e+04,-2.71373106022967e-08
1.38038426460288e+00	1.99999999999995e+04,-2.77694197714627e-08
1.41253754462275e+00	1.99999999999995e+04,-2.84162526515059e-08
1.44543977074593e+00	1.99999999999995e+04,-2.90781522064969e-08
1.47910838816821e+00	1.99999999999995e+04,-2.97554693816243e-08
1.51356124843621e+00	1.99999999999995e+04,-3.04485633011892e-08
1.54881661891248e+00	1.99999999999995e+04,-3.11578014486657e-08
1.58489319246111e+00	1.99999999999995e+04,-3.18835598737440e-08
1.62181009735893e+00	1.99999999999995e+04,-3.26262233945265e-08
1.65958690743756e+00	1.99999999999995e+04,-3.33861857627493e-08
1.69824365246174e+00	1.99999999999995e+04,-3.41638499257164e-08
1.73780082874937e+00	1.99999999999995e+04,-3.49596282179086e-08
1.77827941003892e+00	1.99999999999995e+04,-3.57739425648002e-08
1.81970085860998e+00	1.99999999999995e+04,-3.66072247314935e-08
1.86208713666287e+00	1.99999999999995e+04,-3.74599165399359e-08
1.90546071796325e+00	1.99999999999995e+04,-3.83324700876435e-08
1.94984459975804e+00	1.99999999999995e+04,-3.92253480182050e-08
1.99526231496888e+00	1.99999999999995e+04,-4.01390237419248e-08
2.04173794466953e+00	1.99999999999995e+04,-4.10739817104958e-08
2.08929613085404e+00	1.99999999999995e+04,-4.20307176529945e-08
2.13796208950223e+00	1.99999999999995e+04,-4.30097388372696e-08
2.18776162394955e+00	1.99999999999995e+04,-4.40115643604651e-08
2.23872113856834e+00	1.99999999999995e+04,-4.50367253913835e-08
2.29086765276777e+00	1.99999999999995e+04,-4.60857654827467e-08
2.34422881531992e+00	1.99999999999995e+04,-4.71592408536455e-08
2.39883291901949e+00	1.99999999999995e+04,-4.82577206982925e-08
2.45470891568503e+00	1.99999999999995e+04,-4.93817874016350e-08
2.51188643150958e+00	1.99999999999995e+04,-5.05320369998471e-08
2.57039578276886e+00	1.99999999999995e+04,-5.17090793527134e-08
2.63026799189538e+00	1.99999999999995e+04,-5.29135385247609e-08
2.69153480392691e+00	1.99999999999995e+04,-5.41460531827693e-08
2.75422870333816e+00	1.99999999999995e+04,-5.54072767860885e-08
2.81838293126445e+00	1.99999999999995e+04,-5.66978780492308e-08
2.88403150312660e+00	1.99999999999995e+04,-5.80185412909415e-08
2.95120922666638e+00	1.99999999999995e+04,-5.93699667347298e-08
3.01995172040201e+00	1.99999999999995e+04,-6.07528709018795e-08
3.09029543251359e+00	1.99999999999995e+04,-6.21679870581258e-08
3.16227766016837e+00	1.99999999999995e+04,-6.36160654964853e-08
3.23593656929628e+00	1.99999999999995e+04,-6.50978740292627e-08
3.31131121482591e+00	1.99999999999995e+04,-6.66141983042660e-08
3.38844156139202e+00	1.99999999999995e+04,-6.81658423122316e-08
3.46736850452531e+00	1.99999999999995e+04,-6.97536287481370e-08
3.54813389233575e+00	1.99999999999995e+04,-7.13783994924876e-08
3.63078054770101e+00	1.99999999999995e+04,-7.30410160052201e-08
3.71535229097172e+00	1.99999999999995e+04,-7.47423598177425e-08
3.80189396320560e+00	1.99999999999995e+04,-7.64833330306654e-08
3.89045144994280e+00	1.99999999999996e+04,-7.82648587184255e-08
3.98107170553496e+00	1.99999999999996e+04,-8.00878814883937e-08
4.07380277804112e+00	1.99999999999996e+04,-8.19533678780539e-08
4.16869383470335e+00	1.99999999999996e+04,-8.38623070431184e-08
4.26579518801592e+00	1.99999999999996e+04,-8.58157111220822e-08
4.36515832240165e+00	1.99999999999996e+04,-8.78146158218348e-08
4.46683592150962e+00	1.99999999999996e+04,-8.98600809818297e-08
4.57088189614874e+00	1.99999999999996e+04,-9.19531911668752e-08
4.67735141287197e+00	1.99999999999996e+04,-9.40950561542781e-08
4.78630092322637e+00	1.99999999999996e+04,-9.62868115606476e-08
4.89778819368445e+00	1.99999999999996e+04,-9.85296194977833e-08
5.01187233627271e+00	1.99999999999996e+04,-1.00824669180819e-07
5.12861383991364e+00	1.99999999999996e+04,-1.03173177441040e-07
5.24807460249771e+00	1.99999999999996e+04,-1.05576389496157e-07
5.37031796370252e+00	1.99999999999996e+04,-1.08035579494554e-07
5.49540873857623e+00	1.99999999999996e+04,-1.10552051417182e-07
5.62341325190348e+00	1.99999999999996e+04,-1.13127139506302e-07
5.75439937337156e+00	1.99999999999996e+04,-1.15762209083008e-07
5.88843655355588e+00	1.99999999999997e+04,-1.18458657347533e-07
6.02559586074356e+00	1.99999999999997e+04,-1.21217913944520e-07
6.16595001861481e+00	1.99999999999997e+04,-1.24041441902099e-07
6.30957344480192e+00	1.99999999999997e+04,-1.26930738251608e-07
6.45654229034654e+00	1.99999999999997e+04,-1.29887334968468e-07
6.60693448007594e+00	1.99999999999997e+04,-1.32912799656224e-07
6.76082975391980e+00	1.99999999999997e+04,-1.36008736473913e-07
6.91830970918935e+00	1.99999999999997e+04,-1.39176786967020e-07
7.07945784384136e+00	1.99999999999997e+04,-1.42418630786725e-07
7.24435960074988e+00	1.99999999999997e+04,-1.45735986863113e-07
7.41310241300916e+00	1.99999999999998e+04,-1.49130614108934e-07
7.58577575029182e+00	1.99999999999998e+04,-1.52604312356506e-07
7.76247116628690e+00	1.99999999999998e+04,-1.56158923447276e-07
7.94328234724279e+00	1.99999999999998e+04,-1.59796332030676e-07
8.12830516164097e+00	1.99999999999998e+04,-1.63518466810852e-07
8.31763771102669e+00	1.99999999999998e+04,-1.67327301197355e-07
8.51138038202374e+00	1.99999999999998e+04,-1.71224854744902e-07
8.70963589956078e+00	1.99999999999999e+04,-1.75213193982075e-07
8.91250938133743e+00	1.99999999999999e+04,-1.79294433582081e-07
9.12010839355907e+00	1.99999999999999e+04,-1.83470737440534e-07
9.33254300796988e+00	1.99999999999999e+04,-1.87744319948257e-07
9.54992586021433e+00	1.99999999999999e+04,-1.92117446981383e-07
9.77237220955808e+00	2.00000000000000e+04,-1.96592437215710e-07
9.99999999999997e+00	2.00000000000000e+04,-2.01171663376538e-07
1.02329299228075e+01	2.00000000000000e+04,-2.05857553450858e-07
1.04712854805090e+01	2.00000000000000e+04,-2.10652591834345e-07
1.07151930523760e+01	2.00000000000001e+04,-2.15559321045813e-07
1.09647819614318e+01	2.00000000000001e+04,-2.20580342722209e-07
1.12201845430196e+01	2.00000000000001e+04,-2.25718318976121e-07
1.14815362149688e+01	2.00000000000002e+04,-2.30975974099896e-07
1.17489755493953e+01	2.00000000000002e+04,-2.36356095719595e-07
1.20226443461741e+01	2.00000000000002e+04,-2.41861536504806e-07
1.23026877081238e+01	2.00000000000003e+04,-2.47495215500605e-07
1.25892541179416e+01	2.00000000000003e+04,-2.53260119643874e-07
1.28824955169313e+01	2.00000000000003e+04,-2.59159305707114e-07
1.31825673855640e+01	2.00000000000004e+04,-2.65195901534712e-07
1.34896288259165e+01	2.00000000000004e+04,-2.71373107691482e-07
1.38038426460288e+01	2.00000000000005e+04,-2.77694199492365e-07
1.41253754462275e+01	2.00000000000005e+04,-2.84162528400962e-07
1.44543977074592e+01	2.00000000000006e+04,-2.90781524086894e-07
1.47910838816820e+01	2.00000000000006e+04,-2.97554695927837e-07
1.51356124843620e+01	2.00000000000007e+04,-3.04485635322310e-07
1.54881661891248e+01	2.00000000000007e+04,-3.11578016988950e-07
1.58489319246111e+01	2.00000000000008e+04,-3.18835601503904e-07
1.62181009735892e+01	2.00000000000008e+04,-3.26262236853280e-07
1.65958690743755e+01	2.00000000000009e+04,-3.33861860743431e-07
