Freq.	(V(vp)-V(vm))/(I(R1)-I(R4))
1.00000000000000e+00	-1.01001040110504e+02,-1.02010040399970e-02
1.02329299228075e+00	-1.01001040110504e+02,-1.04386159483552e-02
1.04712854805090e+00	-1.01001040110504e+02,-1.06817625490628e-02
1.07151930523761e+00	-1.01001040110504e+02,-1.09305727616617e-02
1.09647819614318e+00	-1.01001040110504e+02,-1.11851785086227e-02
1.12201845430196e+00	-1.01001040110504e+02,-1.14457147852848e-02
1.14815362149688e+00	-1.01001040110504e+02,-1.17123197314252e-02
1.17489755493953e+00	-1.01001040110504e+02,-1.19851347045196e-02
1.20226443461741e+00	-1.01001040110504e+02,-1.22643043546746e-02
1.23026877081238e+00	-1.01001040110504e+02,-1.25499767013371e-02
1.25892541179417e+00	-1.01001040110504e+02,-1.28423032117650e-02
1.28824955169313e+00	-1.01001040110504e+02,-1.31414388813441e-02
1.31825673855641e+00	-1.01001040110504e+02,-1.34475423157639e-02
1.34896288259165e+00	-1.01001040110504e+02,-1.37607758151217e-02
1.38038426460288e+00	-1.01001040110504e+02,-1.40813054599593e-02
1.41253754462275e+00	-1.01001040110504e+02,-1.44093011993424e-02
1.44543977074593e+00	-1.01001040110504e+02,-1.47449369409488e-02
1.47910838816821e+00	-1.01001040110504e+02,-1.50883906432945e-02
1.51356124843621e+00	-1.01001040110504e+02,-1.54398444100784e-02
1.54881661891248e+00	-1.01001040110504e+02,-1.57994845867380e-02
1.58489319246111e+00	-1.01001040110504e+02,-1.61675018592574e-02
1.62181009735893e+00	-1.01001040110504e+02,-1.65440913552652e-02
1.65958690743756e+00	-1.01001040110504e+02,-1.69294527474934e-02
1.69824365246174e+00	-1.01001040110504e+02,-1.73237903596592e-02
1.73780082874937e+00	-1.01001040110504e+02,-1.77273132747801e-02
1.77827941003892e+00	-1.01001040110504e+02,-1.81402354460476e-02
1.81970085860998e+00	-1.01001040110504e+02,-1.85627758102627e-02
1.86208713666287e+00	-1.01001040110504e+02,-1.89951584039217e-02
1.90546071796325e+00	-1.01001040110504e+02,-1.94376124819958e-02
1.94984459975804e+00	-1.01001040110504e+02,-1.98903726394948e-02
1.99526231496888e+00	-1.01001040110504e+02,-2.03536789358483e-02
2.04173794466953e+00	-1.01001040110504e+02,-2.08277770221852e-02
2.08929613085404e+00	-1.01001040110504e+02,-2.13129182715886e-02
2.13796208950223e+00	-1.01001040110504e+02,-2.18093599123699e-02
2.18776162394955e+00	-1.01001040110504e+02,-2.23173651644565e-02
2.23872113856834e+00	-1.01001040110504e+02,-2.28372033789585e-02
2.29086765276777e+00	-1.01001040110504e+02,-2.33691501809782e-02
2.34422881531992e+00	-1.01001040110504e+02,-2.39134876157519e-02
2.39883291901949e+00	-1.01001040110504e+02,-2.44705042981915e-02
2.45470891568503e+00	-1.01001040110504e+02,-2.50404955659152e-02
2.51188643150958e+00	-1.01001040110505e+02,-2.56237636358387e-02
2.57039578276886e+00	-1.01001040110504e+02,-2.62206177644124e-02
2.63026799189538e+00	-1.01001040110504e+02,-2.68313744115955e-02
2.69153480392691e+00	-1.01001040110504e+02,-2.74563574086467e-02
2.75422870333816e+00	-1.01001040110504e+02,-2.80958981298242e-02
2.81838293126445e+00	-1.01001040110504e+02,-2.87503356680827e-02
2.88403150312660e+00	-1.01001040110504e+02,-2.94200170148686e-02
2.95120922666638e+00	-1.01001040110504e+02,-3.01052972440955e-02
3.01995172040201e+00	-1.01001040110504e+02,-3.08065397004116e-02
3.09029543251359e+00	-1.01001040110504e+02,-3.15241161918502e-02
3.16227766016837e+00	-1.01001040110504e+02,-3.22584071869645e-02
3.23593656929628e+00	-1.01001040110504e+02,-3.30098020165603e-02
3.31131121482591e+00	-1.01001040110504e+02,-3.37786990801213e-02
3.38844156139202e+00	-1.01001040110504e+02,-3.45655060570482e-02
3.46736850452531e+00	-1.01001040110504e+02,-3.53706401228156e-02
3.54813389233575e+00	-1.01001040110504e+02,-3.61945281701613e-02
3.63078054770101e+00	-1.01001040110504e+02,-3.70376070354347e-02
3.71535229097172e+00	-1.01001040110504e+02,-3.79003237302089e-02
3.80189396320560e+00	-1.01001040110504e+02,-3.87831356782945e-02
3.89045144994280e+00	-1.01001040110504e+02,-3.96865109582726e-02
3.98107170553496e+00	-1.01001040110504e+02,-4.06109285516736e-02
4.07380277804112e+00	-1.01001040110504e+02,-4.15568785969419e-02
4.16869383470335e+00	-1.01001040110504e+02,-4.25248626493126e-02
4.26579518801592e+00	-1.01001040110504e+02,-4.35153939467435e-02
4.36515832240165e+00	-1.01001040110505e+02,-4.45289976820390e-02
4.46683592150962e+00	-1.01001040110504e+02,-4.55662112813161e-02
4.57088189614874e+00	-1.01001040110504e+02,-4.66275846889552e-02
4.67735141287197e+00	-1.01001040110504e+02,-4.77136806591847e-02
4.78630092322637e+00	-1.01001040110504e+02,-4.88250750544656e-02
4.89778819368445e+00	-1.01001040110504e+02,-4.99623571508169e-02
5.01187233627271e+00	-1.01001040110504e+02,-5.11261299502591e-02
5.12861383991364e+00	-1.01001040110504e+02,-5.23170105005353e-02
5.24807460249771e+00	-1.01001040110504e+02,-5.35356302222765e-02
5.37031796370252e+00	-1.01001040110504e+02,-5.47826352437891e-02
5.49540873857623e+00	-1.01001040110504e+02,-5.60586867436421e-02
5.62341325190348e+00	-1.01001040110504e+02,-5.73644613012308e-02
5.75439937337156e+00	-1.01001040110504e+02,-5.87006512555102e-02
5.88843655355588e+00	-1.01001040110504e+02,-6.00679650720800e-02
6.02559586074356e+00	-1.01001040110504e+02,-6.14671277188246e-02
6.16595001861481e+00	-1.01001040110504e+02,-6.28988810502992e-02
6.30957344480192e+00	-1.01001040110504e+02,-6.43639842010718e-02
