Freq.	V(vout)/(V(vp)-V(vm))	(V(vp)-V(vm))/(I(R1)-I(R4))
1.00000000000000e+00	(3.99999122277661e+01dB,1.79994213183634e+02°)	(4.00865169678606e+01dB,-1.79994213183590e+02°)
1.02329299228075e+00	(3.99999122256778e+01dB,1.79994078391355e+02°)	(4.00865169699485e+01dB,-1.79994078391321e+02°)
1.04712854805090e+00	(3.99999122234920e+01dB,1.79993940459358e+02°)	(4.00865169721348e+01dB,-1.79993940459337e+02°)
1.07151930523761e+00	(3.99999122212019e+01dB,1.79993799314504e+02°)	(4.00865169744241e+01dB,-1.79993799314504e+02°)
1.09647819614318e+00	(3.99999122188061e+01dB,1.79993654881989e+02°)	(4.00865169768213e+01dB,-1.79993654881986e+02°)
1.12201845430196e+00	(3.99999122162958e+01dB,1.79993507085204e+02°)	(4.00865169793314e+01dB,-1.79993507085202e+02°)
1.14815362149688e+00	(3.99999122136667e+01dB,1.79993355845808e+02°)	(4.00865169819599e+01dB,-1.79993355845790e+02°)
1.17489755493953e+00	(3.99999122109144e+01dB,1.79993201083560e+02°)	(4.00865169847122e+01dB,-1.79993201083558e+02°)
1.20226443461741e+00	(3.99999122080321e+01dB,1.79993042716483e+02°)	(4.00865169875943e+01dB,-1.79993042716452e+02°)
1.23026877081238e+00	(3.99999122050142e+01dB,1.79992880660499e+02°)	(4.00865169906122e+01dB,-1.79992880660501e+02°)
1.25892541179417e+00	(3.99999122018541e+01dB,1.79992714829730e+02°)	(4.00865169937723e+01dB,-1.79992714829783e+02°)
1.28824955169313e+00	(3.99999121985450e+01dB,1.79992545136363e+02°)	(4.00865169970813e+01dB,-1.79992545136371e+02°)
1.31825673855641e+00	(3.99999121950796e+01dB,1.79992371490284e+02°)	(4.00865170005463e+01dB,-1.79992371490292e+02°)
1.34896288259165e+00	(3.99999121914521e+01dB,1.79992193799444e+02°)	(4.00865170041746e+01dB,-1.79992193799477e+02°)
1.38038426460288e+00	(3.99999121876526e+01dB,1.79992011969727e+02°)	(4.00865170079739e+01dB,-1.79992011969711e+02°)
1.41253754462275e+00	(3.99999121836746e+01dB,1.79991825904583e+02°)	(4.00865170119523e+01dB,-1.79991825904585e+02°)
1.44543977074593e+00	(3.99999121795083e+01dB,1.79991635505459e+02°)	(4.00865170161181e+01dB,-1.79991635505447e+02°)
1.47910838816821e+00	(3.99999121751459e+01dB,1.79991440671336e+02°)	(4.00865170204803e+01dB,-1.79991440671342e+02°)
1.51356124843621e+00	(3.99999121705782e+01dB,1.79991241298960e+02°)	(4.00865170250480e+01dB,-1.79991241298969e+02°)
1.54881661891248e+00	(3.99999121657952e+01dB,1.79991037282641e+02°)	(4.00865170298311e+01dB,-1.79991037282617e+02°)
1.58489319246111e+00	(3.99999121607869e+01dB,1.79990828514122e+02°)	(4.00865170348395e+01dB,-1.79990828514114e+02°)
1.62181009735893e+00	(3.99999121555429e+01dB,1.79990614882746e+02°)	(4.00865170400840e+01dB,-1.79990614882767e+02°)
1.65958690743756e+00	(3.99999121500509e+01dB,1.79990396275252e+02°)	(4.00865170455756e+01dB,-1.79990396275308e+02°)
1.69824365246174e+00	(3.99999121443001e+01dB,1.79990172575880e+02°)	(4.00865170513261e+01dB,-1.79990172575827e+02°)
1.73780082874937e+00	(3.99999121382788e+01dB,1.79989943665734e+02°)	(4.00865170573475e+01dB,-1.79989943665717e+02°)
1.77827941003892e+00	(3.99999121319735e+01dB,1.79989709423617e+02°)	(4.00865170636528e+01dB,-1.79989709423605e+02°)
1.81970085860998e+00	(3.99999121253711e+01dB,1.79989469725296e+02°)	(4.00865170702552e+01dB,-1.79989469725294e+02°)
1.86208713666287e+00	(3.99999121184579e+01dB,1.79989224443672e+02°)	(4.00865170771688e+01dB,-1.79989224443692e+02°)
1.90546071796325e+00	(3.99999121112183e+01dB,1.79988973448792e+02°)	(4.00865170844082e+01dB,-1.79988973448748e+02°)
1.94984459975804e+00	(3.99999121036377e+01dB,1.79988716607370e+02°)	(4.00865170919888e+01dB,-1.79988716607381e+02°)
1.99526231496888e+00	(3.99999120957001e+01dB,1.79988453783401e+02°)	(4.00865170999266e+01dB,-1.79988453783411e+02°)
2.04173794466953e+00	(3.99999120873879e+01dB,1.79988184837495e+02°)	(4.00865171082385e+01dB,-1.79988184837485e+02°)
2.08929613085404e+00	(3.99999120786843e+01dB,1.79987909627009e+02°)	(4.00865171169422e+01dB,-1.79987909627004e+02°)
2.13796208950223e+00	(3.99999120695705e+01dB,1.79987628006035e+02°)	(4.00865171260561e+01dB,-1.79987628006048e+02°)
2.18776162394955e+00	(3.99999120600271e+01dB,1.79987339825293e+02°)	(4.00865171355995e+01dB,-1.79987339825297e+02°)
2.23872113856834e+00	(3.99999120500341e+01dB,1.79987044931953e+02°)	(4.00865171455926e+01dB,-1.79987044931955e+02°)
2.29086765276777e+00	(3.99999120395697e+01dB,1.79986743169648e+02°)	(4.00865171560567e+01dB,-1.79986743169666e+02°)
2.34422881531992e+00	(3.99999120286125e+01dB,1.79986434378429e+02°)	(4.00865171670140e+01dB,-1.79986434378431e+02°)
2.39883291901949e+00	(3.99999120171388e+01dB,1.79986118394542e+02°)	(4.00865171784877e+01dB,-1.79986118394525e+02°)
2.45470891568503e+00	(3.99999120051244e+01dB,1.79985795050382e+02°)	(4.00865171905021e+01dB,-1.79985795050409e+02°)
2.51188643150958e+00	(3.99999119925439e+01dB,1.79985464174643e+02°)	(4.00865172030827e+01dB,-1.79985464174641e+02°)
2.57039578276886e+00	(3.99999119793702e+01dB,1.79985125591814e+02°)	(4.00865172162563e+01dB,-1.79985125591789e+02°)
2.63026799189538e+00	(3.99999119655761e+01dB,1.79984779122319e+02°)	(4.00865172300507e+01dB,-1.79984779122329e+02°)
2.69153480392691e+00	(3.99999119511312e+01dB,1.79984424582577e+02°)	(4.00865172444951e+01dB,-1.79984424582560e+02°)
2.75422870333816e+00	(3.99999119360062e+01dB,1.79984061784522e+02°)	(4.00865172596204e+01dB,-1.79984061784501e+02°)
2.81838293126445e+00	(3.99999119201681e+01dB,1.79983690535803e+02°)	(4.00865172754585e+01dB,-1.79983690535790e+02°)
2.88403150312660e+00	(3.99999119035835e+01dB,1.79983310639583e+02°)	(4.00865172920430e+01dB,-1.79983310639587e+02°)
2.95120922666638e+00	(3.99999118862174e+01dB,1.79982921894472e+02°)	(4.00865173094091e+01dB,-1.79982921894467e+02°)
3.01995172040201e+00	(3.99999118680328e+01dB,1.79982524094312e+02°)	(4.00865173275936e+01dB,-1.79982524094311e+02°)
3.09029543251359e+00	(3.99999118489914e+01dB,1.79982117028207e+02°)	(4.00865173466352e+01dB,-1.79982117028200e+02°)
3.16227766016837e+00	(3.99999118290523e+01dB,1.79981700480295e+02°)	(4.00865173665742e+01dB,-1.79981700480304e+02°)
3.23593656929628e+00	(3.99999118081737e+01dB,1.79981274229758e+02°)	(4.00865173874528e+01dB,-1.79981274229763e+02°)
3.31131121482591e+00	(3.99999117863112e+01dB,1.79980838050561e+02°)	(4.00865174093154e+01dB,-1.79980838050574e+02°)
3.38844156139202e+00	(3.99999117634180e+01dB,1.79980391711464e+02°)	(4.00865174322084e+01dB,-1.79980391711468e+02°)
3.46736850452531e+00	(3.99999117394462e+01dB,1.79979934975794e+02°)	(4.00865174561803e+01dB,-1.79979934975792e+02°)
3.54813389233575e+00	(3.99999117143445e+01dB,1.79979467601372e+02°)	(4.00865174812820e+01dB,-1.79979467601377e+02°)
3.63078054770101e+00	(3.99999116880598e+01dB,1.79978989340433e+02°)	(4.00865175075667e+01dB,-1.79978989340417e+02°)
3.71535229097172e+00	(3.99999116605365e+01dB,1.79978499939345e+02°)	(4.00865175350901e+01dB,-1.79978499939331e+02°)
3.80189396320560e+00	(3.99999116317159e+01dB,1.79977999138628e+02°)	(4.00865175639106e+01dB,-1.79977999138633e+02°)
3.89045144994280e+00	(3.99999116015371e+01dB,1.79977486672783e+02°)	(4.00865175940895e+01dB,-1.79977486672791e+02°)
3.98107170553496e+00	(3.99999115699360e+01dB,1.79976962270101e+02°)	(4.00865176256906e+01dB,-1.79976962270090e+02°)
4.07380277804112e+00	(3.99999115368455e+01dB,1.79976425652492e+02°)	(4.00865176587810e+01dB,-1.79976425652485e+02°)
4.16869383470335e+00	(3.99999115021956e+01dB,1.79975876535440e+02°)	(4.00865176934310e+01dB,-1.79975876535454e+02°)
4.26579518801592e+00	(3.99999114659127e+01dB,1.79975314627849e+02°)	(4.00865177297139e+01dB,-1.79975314627849e+02°)
4.36515832240165e+00	(3.99999114279198e+01dB,1.79974739631719e+02°)	(4.00865177677068e+01dB,-1.79974739631740e+02°)
4.46683592150962e+00	(3.99999113881363e+01dB,1.79974151242256e+02°)	(4.00865178074902e+01dB,-1.79974151242256e+02°)
4.57088189614874e+00	(3.99999113464779e+01dB,1.79973549147420e+02°)	(4.00865178491486e+01dB,-1.79973549147426e+02°)
4.67735141287197e+00	(3.99999113028562e+01dB,1.79972933028008e+02°)	(4.00865178927703e+01dB,-1.79972933028012e+02°)
4.78630092322637e+00	(3.99999112571787e+01dB,1.79972302557339e+02°)	(4.00865179384478e+01dB,-1.79972302557339e+02°)
4.89778819368445e+00	(3.99999112093485e+01dB,1.79971657401128e+02°)	(4.00865179862780e+01dB,-1.79971657401125e+02°)
5.01187233627271e+00	(3.99999111592641e+01dB,1.79970997217301e+02°)	(4.00865180363624e+01dB,-1.79970997217300e+02°)
5.12861383991364e+00	(3.99999111068193e+01dB,1.79970321655823e+02°)	(4.00865180888072e+01dB,-1.79970321655826e+02°)
5.24807460249771e+00	(3.99999110519029e+01dB,1.79969630358512e+02°)	(4.00865181437237e+01dB,-1.79969630358512e+02°)
5.37031796370252e+00	(3.99999109943983e+01dB,1.79968922958832e+02°)	(4.00865182012283e+01dB,-1.79968922958825e+02°)
5.49540873857623e+00	(3.99999109341836e+01dB,1.79968199081691e+02°)	(4.00865182614429e+01dB,-1.79968199081691e+02°)
5.62341325190348e+00	(3.99999108711311e+01dB,1.79967458343313e+02°)	(4.00865183244954e+01dB,-1.79967458343304e+02°)
5.75439937337156e+00	(3.99999108051070e+01dB,1.79966700350928e+02°)	(4.00865183905195e+01dB,-1.79966700350915e+02°)
5.88843655355588e+00	(3.99999107359713e+01dB,1.79965924702623e+02°)	(4.00865184596552e+01dB,-1.79965924702626e+02°)
6.02559586074356e+00	(3.99999106635773e+01dB,1.79965130987181e+02°)	(4.00865185320492e+01dB,-1.79965130987182e+02°)
6.16595001861481e+00	(3.99999105877716e+01dB,1.79964318783734e+02°)	(4.00865186078550e+01dB,-1.79964318783743e+02°)
6.30957344480192e+00	(3.99999105083932e+01dB,1.79963487661662e+02°)	(4.00865186872334e+01dB,-1.79963487661670e+02°)
6.45654229034654e+00	(3.99999104252738e+01dB,1.79962637180288e+02°)	(4.00865187703528e+01dB,-1.79962637180294e+02°)
6.60693448007594e+00	(3.99999103382371e+01dB,1.79961766888672e+02°)	(4.00865188573894e+01dB,-1.79961766888678e+02°)
6.76082975391980e+00	(3.99999102470985e+01dB,1.79960876325393e+02°)	(4.00865189485280e+01dB,-1.79960876325385e+02°)
6.91830970918935e+00	(3.99999101516647e+01dB,1.79959965018231e+02°)	(4.00865190439619e+01dB,-1.79959965018227e+02°)
7.07945784384136e+00	(3.99999100517332e+01dB,1.79959032484021e+02°)	(4.00865191438933e+01dB,-1.79959032484020e+02°)
7.24435960074988e+00	(3.99999099470921e+01dB,1.79958078228322e+02°)	(4.00865192485344e+01dB,-1.79958078228324e+02°)
7.41310241300916e+00	(3.99999098375194e+01dB,1.79957101745173e+02°)	(4.00865193581071e+01dB,-1.79957101745180e+02°)
7.58577575029182e+00	(3.99999097227827e+01dB,1.79956102516845e+02°)	(4.00865194728438e+01dB,-1.79956102516848e+02°)
7.76247116628690e+00	(3.99999096026387e+01dB,1.79955080013523e+02°)	(4.00865195929878e+01dB,-1.79955080013526e+02°)
7.94328234724279e+00	(3.99999094768324e+01dB,1.79954033693068e+02°)	(4.00865197187941e+01dB,-1.79954033693072e+02°)
8.12830516164097e+00	(3.99999093450971e+01dB,1.79952963000716e+02°)	(4.00865198505294e+01dB,-1.79952963000715e+02°)
8.31763771102669e+00	(3.99999092071533e+01dB,1.79951867368762e+02°)	(4.00865199884732e+01dB,-1.79951867368764e+02°)
8.51138038202374e+00	(3.99999090627084e+01dB,1.79950746216298e+02°)	(4.00865201329181e+01dB,-1.79950746216302e+02°)
8.70963589956078e+00	(3.99999089114560e+01dB,1.79949598948877e+02°)	(4.00865202841705e+01dB,-1.79949598948884e+02°)
