Freq.	V(vout)
1.00000000000000e+00	(-5.39706261347995e+01dB,1.79999941695493e+02°)
1.02329299228075e+00	(-5.39706261347985e+01dB,1.79999935032120e+02°)
1.04712854805090e+00	(-5.39706261347995e+01dB,1.79999941695493e+02°)
1.07151930523761e+00	(-5.39706261347993e+01dB,1.79999940029649e+02°)
1.09647819614318e+00	(-5.39706261347982e+01dB,1.79999933366277e+02°)
1.12201845430196e+00	(-5.39706261347969e+01dB,1.79999926702905e+02°)
1.14815362149688e+00	(-5.39706261347987e+01dB,1.79999936697963e+02°)
1.17489755493953e+00	(-5.39706261347976e+01dB,1.79999930034591e+02°)
1.20226443461741e+00	(-5.39706261347969e+01dB,1.79999926702905e+02°)
1.23026877081238e+00	(-5.39706261347956e+01dB,1.79999920039533e+02°)
1.25892541179417e+00	(-5.39706301753954e+01dB,1.79999920039495e+02°)
1.28824955169313e+00	(-5.39706261347982e+01dB,1.79999933366277e+02°)
1.31825673855641e+00	(-5.39706261347976e+01dB,1.79999930034591e+02°)
1.34896288259165e+00	(-5.39706261347969e+01dB,1.79999926702905e+02°)
1.38038426460288e+00	(-5.39706220941969e+01dB,1.79999916707885e+02°)
1.41253754462275e+00	(-5.39706261347949e+01dB,1.79999916707846e+02°)
1.44543977074593e+00	(-5.39706261347956e+01dB,1.79999920039533e+02°)
1.47910838816821e+00	(-5.39706261347925e+01dB,1.79999906712788e+02°)
1.51356124843621e+00	(-5.39706301753947e+01dB,1.79999916707808e+02°)
1.54881661891248e+00	(-5.39706342159972e+01dB,1.79999920039458e+02°)
1.58489319246111e+00	(-5.39706301753924e+01dB,1.79999906712745e+02°)
1.62181009735893e+00	(-5.39706220941937e+01dB,1.79999903381147e+02°)
1.65958690743756e+00	(-5.39706220941945e+01dB,1.79999906712831e+02°)
1.69824365246174e+00	(-5.39706261347890e+01dB,1.79999893386044e+02°)
1.73780082874937e+00	(-5.39706261347925e+01dB,1.79999906712788e+02°)
