Freq.	V(vout)
1.00000000000000e+00	(4.00086024498793e+01dB,1.79994269335503e+02°)
1.02329299228075e+00	(4.00086024545131e+01dB,1.79994135843667e+02°)
1.04712854805090e+00	(4.00086024463129e+01dB,1.79993999253560e+02°)
1.07151930523761e+00	(4.00086024433859e+01dB,1.79993859477768e+02°)
1.09647819614318e+00	(4.00086024431508e+01dB,1.79993716448056e+02°)
1.12201845430196e+00	(4.00086024378543e+01dB,1.79993570087654e+02°)
1.14815362149688e+00	(4.00086024326740e+01dB,1.79993420311273e+02°)
1.17489755493953e+00	(4.00086024327871e+01dB,1.79993267054948e+02°)
1.20226443461741e+00	(4.00086024330274e+01dB,1.79993110226984e+02°)
1.23026877081238e+00	(4.00086024282289e+01dB,1.79992949744218e+02°)
1.25892541179417e+00	(4.00086024287421e+01dB,1.79992785514968e+02°)
1.28824955169313e+00	(4.00086024268152e+01dB,1.79992617464596e+02°)
1.31825673855641e+00	(4.00086024250412e+01dB,1.79992445503547e+02°)
1.34896288259165e+00	(4.00086024182552e+01dB,1.79992269544391e+02°)
1.38038426460288e+00	(4.00086024064649e+01dB,1.79992089476247e+02°)
1.41253754462275e+00	(4.00086024077804e+01dB,1.79991905218103e+02°)
1.44543977074593e+00	(4.00086024066939e+01dB,1.79991716656932e+02°)
1.47910838816821e+00	(4.00086023980413e+01dB,1.79991523728761e+02°)
1.51356124843621e+00	(4.00086023999351e+01dB,1.79991326280078e+02°)
1.54881661891248e+00	(4.00086023968677e+01dB,1.79991124238370e+02°)
1.58489319246111e+00	(4.00086023888490e+01dB,1.79990917505549e+02°)
1.62181009735893e+00	(4.00086023758900e+01dB,1.79990705945148e+02°)
1.65958690743756e+00	(4.00086023761036e+01dB,1.79990489459098e+02°)
1.69824365246174e+00	(4.00086023688127e+01dB,1.79990267932232e+02°)
1.73780082874937e+00	(4.00086023669600e+01dB,1.79990041236625e+02°)
1.77827941003892e+00	(4.00086023550411e+01dB,1.79989809274172e+02°)
1.81970085860998e+00	(4.00086023589301e+01dB,1.79989571895642e+02°)
1.86208713666287e+00	(4.00086023476078e+01dB,1.79989328998645e+02°)
1.90546071796325e+00	(4.00086023366053e+01dB,1.79989080433938e+02°)
1.94984459975804e+00	(4.00086023362815e+01dB,1.79988826082123e+02°)
1.99526231496888e+00	(4.00086023207914e+01dB,1.79988565819494e+02°)
2.04173794466953e+00	(4.00086023160129e+01dB,1.79988299475498e+02°)
2.08929613085404e+00	(4.00086023116184e+01dB,1.79988026930711e+02°)
2.13796208950223e+00	(4.00086022921096e+01dB,1.79987748052908e+02°)
2.18776162394955e+00	(4.00086022911248e+01dB,1.79987462658757e+02°)
2.23872113856834e+00	(4.00086022828227e+01dB,1.79987170628810e+02°)
2.29086765276777e+00	(4.00086022672245e+01dB,1.79986871792481e+02°)
2.34422881531992e+00	(4.00086022572816e+01dB,1.79986566004793e+02°)
2.39883291901949e+00	(4.00086022400872e+01dB,1.79986253090874e+02°)
2.45470891568503e+00	(4.00086022311813e+01dB,1.79985932884427e+02°)
2.51188643150958e+00	(4.00086022280031e+01dB,1.79985605210600e+02°)
2.57039578276886e+00	(4.00086022124759e+01dB,1.79985269911570e+02°)
2.63026799189538e+00	(4.00086022001435e+01dB,1.79984926803983e+02°)
2.69153480392691e+00	(4.00086021781046e+01dB,1.79984575704436e+02°)
2.75422870333816e+00	(4.00086021644911e+01dB,1.79984216433847e+02°)
2.81838293126445e+00	(4.00086021464046e+01dB,1.79983848791754e+02°)
2.88403150312660e+00	(4.00086021368085e+01dB,1.79983472582008e+02°)
2.95120922666638e+00	(4.00086021150493e+01dB,1.79983087595601e+02°)
3.01995172040201e+00	(4.00086021044364e+01dB,1.79982693653464e+02°)
3.09029543251359e+00	(4.00086020843195e+01dB,1.79982290542324e+02°)
3.16227766016837e+00	(4.00086020650835e+01dB,1.79981878023381e+02°)
3.23593656929628e+00	(4.00086020467684e+01dB,1.79981455908991e+02°)
3.31131121482591e+00	(4.00086020139014e+01dB,1.79981023977357e+02°)
3.38844156139202e+00	(4.00086019975611e+01dB,1.79980581981200e+02°)
3.46736850452531e+00	(4.00086019745221e+01dB,1.79980129664588e+02°)
3.54813389233575e+00	(4.00086019474189e+01dB,1.79979666814295e+02°)
3.63078054770101e+00	(4.00086019214745e+01dB,1.79979193208570e+02°)
3.71535229097172e+00	(4.00086018967465e+01dB,1.79978708540361e+02°)
3.80189396320560e+00	(4.00086018655309e+01dB,1.79978212613473e+02°)
3.89045144994280e+00	(4.00086018356481e+01dB,1.79977705120871e+02°)
3.98107170553496e+00	(4.00086018045741e+01dB,1.79977185806671e+02°)
4.07380277804112e+00	(4.00086017723745e+01dB,1.79976654397933e+02°)
4.16869383470335e+00	(4.00086017417052e+01dB,1.79976110596141e+02°)
4.26579518801592e+00	(4.00086017100508e+01dB,1.79975554136879e+02°)
4.36515832240165e+00	(4.00086016645556e+01dB,1.79974984738643e+02°)
4.46683592150962e+00	(4.00086016285762e+01dB,1.79974402051799e+02°)
