Freq.	V(vout)
Step Information: Run=1  (Run: 1/128)
1.00000000000000e+00	(3.99999122222659e+01dB,1.79994269330121e+02°)
1.00000000000000e+02	(3.99994779982527e+01dB,1.79426952385475e+02°)
1.00000000000000e+07	(-2.01703427504907e+01dB,7.87472557630943e+01°)
Step Information: Run=2  (Run: 2/128)
1.00000000000000e+00	(3.99999122248545e+01dB,1.79994269332257e+02°)
1.00000000000000e+02	(3.99994779966008e+01dB,1.79426952381097e+02°)
1.00000000000000e+07	(-2.01703427438092e+01dB,7.87472559834738e+01°)
Step Information: Run=3  (Run: 3/128)
1.00000000000000e+00	(3.99999122222659e+01dB,1.79994269330121e+02°)
1.00000000000000e+02	(3.99994779982527e+01dB,1.79426952385475e+02°)
1.00000000000000e+07	(-2.01703427504907e+01dB,7.87472557630943e+01°)
Step Information: Run=4  (Run: 4/128)
1.00000000000000e+00	(3.99999122248545e+01dB,1.79994269332257e+02°)
1.00000000000000e+02	(3.99994779966008e+01dB,1.79426952381097e+02°)
1.00000000000000e+07	(-2.01703427438092e+01dB,7.87472559834738e+01°)
Step Information: Run=5  (Run: 5/128)
1.00000000000000e+00	(3.99999122222659e+01dB,1.79994269330121e+02°)
1.00000000000000e+02	(3.99994779982527e+01dB,1.79426952385475e+02°)
1.00000000000000e+07	(-2.01703427504907e+01dB,7.87472557630943e+01°)
Step Information: Run=6  (Run: 6/128)
1.00000000000000e+00	(3.99999122248545e+01dB,1.79994269332257e+02°)
1.00000000000000e+02	(3.99994779966008e+01dB,1.79426952381097e+02°)
1.00000000000000e+07	(-2.01703427438092e+01dB,7.87472559834738e+01°)
Step Information: Run=7  (Run: 7/128)
1.00000000000000e+00	(3.99999122222659e+01dB,1.79994269330121e+02°)
1.00000000000000e+02	(3.99994779982527e+01dB,1.79426952385475e+02°)
1.00000000000000e+07	(-2.01703427504907e+01dB,7.87472557630943e+01°)
Step Information: Run=8  (Run: 8/128)
1.00000000000000e+00	(3.99999122248545e+01dB,1.79994269332257e+02°)
