frequency,V(onoise)
1.000000000000000e+000,1.390899e-007
1.023292992280754e+000,1.375035e-007
1.047128548050899e+000,1.359352e-007
1.071519305237606e+000,1.343850e-007
1.096478196143185e+000,1.328526e-007
1.122018454301963e+000,1.313378e-007
1.148153621496882e+000,1.298405e-007
1.174897554939529e+000,1.283603e-007
1.202264434617413e+000,1.268971e-007
1.230268770812381e+000,1.254508e-007
1.258925411794167e+000,1.240211e-007
1.288249551693134e+000,1.226078e-007
1.318256738556407e+000,1.212108e-007
1.348962882591653e+000,1.198299e-007
1.380384264602885e+000,1.184648e-007
1.412537544622754e+000,1.171154e-007
1.445439770745927e+000,1.157816e-007
1.479108388168207e+000,1.144631e-007
1.513561248436208e+000,1.131598e-007
1.548816618912481e+000,1.118715e-007
1.584893192461113e+000,1.105980e-007
1.621810097358929e+000,1.093391e-007
1.659586907437560e+000,1.080948e-007
1.698243652461744e+000,1.068648e-007
1.737800828749375e+000,1.056489e-007
1.778279410038922e+000,1.044471e-007
1.819700858609982e+000,1.032591e-007
1.862087136662866e+000,1.020847e-007
1.905460717963246e+000,1.009239e-007
1.949844599758044e+000,9.977653e-008
1.995262314968878e+000,9.864234e-008
2.041737944669527e+000,9.752123e-008
2.089296130854037e+000,9.641304e-008
2.137962089502230e+000,9.531763e-008
2.187761623949550e+000,9.423485e-008
2.238721138568337e+000,9.316457e-008
2.290867652767771e+000,9.210662e-008
2.344228815319919e+000,9.106090e-008
2.398832919019488e+000,9.002724e-008
2.454708915685028e+000,8.900550e-008
2.511886431509577e+000,8.799557e-008
2.570395782768860e+000,8.699730e-008
2.630267991895378e+000,8.601057e-008
2.691534803926912e+000,8.503523e-008
2.754228703338163e+000,8.407115e-008
2.818382931264450e+000,8.311823e-008
2.884031503126602e+000,8.217632e-008
2.951209226666381e+000,8.124530e-008
3.019951720402012e+000,8.032504e-008
3.090295432513586e+000,7.941544e-008
3.162277660168374e+000,7.851636e-008
3.235936569296277e+000,7.762769e-008
3.311311214825905e+000,7.674930e-008
3.388441561392020e+000,7.588108e-008
3.467368504525310e+000,7.502292e-008
3.548133892335748e+000,7.417471e-008
3.630780547701007e+000,7.333632e-008
3.715352290971719e+000,7.250766e-008
3.801893963205605e+000,7.168860e-008
3.890451449942799e+000,7.087905e-008
3.981071705534965e+000,7.007888e-008
4.073802778041119e+000,6.928801e-008
4.168693834703346e+000,6.850631e-008
4.265795188015918e+000,6.773369e-008
4.365158322401651e+000,6.697005e-008
4.466835921509622e+000,6.621529e-008
4.570881896148741e+000,6.546930e-008
4.677351412871972e+000,6.473199e-008
4.786300923226373e+000,6.400325e-008
4.897788193684452e+000,6.328299e-008
5.011872336272712e+000,6.257113e-008
5.128613839913638e+000,6.186755e-008
5.248074602497715e+000,6.117216e-008
5.370317963702516e+000,6.048489e-008
5.495408738576233e+000,5.980562e-008
5.623413251903478e+000,5.913429e-008
5.754399373371556e+000,5.847079e-008
5.888436553555876e+000,5.781503e-008
6.025595860743564e+000,5.716694e-008
6.165950018614807e+000,5.652641e-008
6.309573444801917e+000,5.589338e-008
6.456542290346540e+000,5.526776e-008
6.606934480075944e+000,5.464945e-008
6.760829753919802e+000,5.403839e-008
6.918309709189348e+000,5.343448e-008
7.079457843841362e+000,5.283765e-008
7.244359600749883e+000,5.224782e-008
7.413102413009157e+000,5.166492e-008
7.585775750291819e+000,5.108885e-008
7.762471166286898e+000,5.051956e-008
7.943282347242795e+000,4.995695e-008
8.128305161640972e+000,4.940096e-008
8.317637711026690e+000,4.885152e-008
8.511380382023743e+000,4.830854e-008
8.709635899560784e+000,4.777197e-008
8.912509381337431e+000,4.724171e-008
9.120108393559072e+000,4.671772e-008
9.332543007969884e+000,4.619991e-008
9.549925860214332e+000,4.568821e-008
9.772372209558078e+000,4.518257e-008
9.999999999999970e+000,4.468291e-008
1.023292992280751e+001,4.418917e-008
1.047128548050896e+001,4.370127e-008
1.071519305237603e+001,4.321916e-008
1.096478196143182e+001,4.274277e-008
1.122018454301960e+001,4.227204e-008
1.148153621496879e+001,4.180690e-008
1.174897554939526e+001,4.134730e-008
1.202264434617409e+001,4.089317e-008
1.230268770812378e+001,4.044444e-008
1.258925411794163e+001,4.000107e-008
1.288249551693130e+001,3.956299e-008
1.318256738556403e+001,3.913015e-008
1.348962882591649e+001,3.870248e-008
1.380384264602880e+001,3.827994e-008
1.412537544622749e+001,3.786245e-008
1.445439770745922e+001,3.744997e-008
1.479108388168202e+001,3.704244e-008
1.513561248436203e+001,3.663981e-008
1.548816618912476e+001,3.624203e-008
1.584893192461108e+001,3.584903e-008
1.621810097358924e+001,3.546078e-008
1.659586907437554e+001,3.507721e-008
1.698243652461738e+001,3.469827e-008
1.737800828749369e+001,3.432392e-008
1.778279410038916e+001,3.395410e-008
1.819700858609976e+001,3.358877e-008
1.862087136662860e+001,3.322787e-008
1.905460717963240e+001,3.287136e-008
1.949844599758038e+001,3.251919e-008
1.995262314968872e+001,3.217131e-008
2.041737944669522e+001,3.182768e-008
2.089296130854032e+001,3.148825e-008
2.137962089502224e+001,3.115296e-008
2.187761623949544e+001,3.082179e-008
2.238721138568331e+001,3.049469e-008
2.290867652767764e+001,3.017160e-008
2.344228815319913e+001,2.985249e-008
2.398832919019481e+001,2.953731e-008
2.454708915685020e+001,2.922602e-008
2.511886431509570e+001,2.891858e-008
2.570395782768853e+001,2.861495e-008
2.630267991895371e+001,2.831509e-008
2.691534803926904e+001,2.801894e-008
2.754228703338155e+001,2.772649e-008
2.818382931264442e+001,2.743768e-008
2.884031503126593e+001,2.715248e-008
2.951209226666373e+001,2.687084e-008
3.019951720402003e+001,2.659274e-008
3.090295432513577e+001,2.631812e-008
3.162277660168365e+001,2.604696e-008
3.235936569296268e+001,2.577922e-008
3.311311214825896e+001,2.551485e-008
3.388441561392011e+001,2.525383e-008
3.467368504525301e+001,2.499612e-008
3.548133892335738e+001,2.474169e-008
3.630780547700997e+001,2.449049e-008
3.715352290971708e+001,2.424249e-008
3.801893963205595e+001,2.399766e-008
3.890451449942788e+001,2.375597e-008
3.981071705534954e+001,2.351738e-008
4.073802778041109e+001,2.328186e-008
4.168693834703335e+001,2.304938e-008
4.265795188015907e+001,2.281990e-008
4.365158322401639e+001,2.259339e-008
4.466835921509610e+001,2.236982e-008
4.570881896148729e+001,2.214916e-008
4.677351412871960e+001,2.193138e-008
4.786300923226361e+001,2.171644e-008
4.897788193684438e+001,2.150433e-008
5.011872336272698e+001,2.129499e-008
5.128613839913624e+001,2.108842e-008
5.248074602497700e+001,2.088458e-008
5.370317963702501e+001,2.068343e-008
5.495408738576219e+001,2.048496e-008
5.623413251903463e+001,2.028913e-008
5.754399373371541e+001,2.009591e-008
5.888436553555861e+001,1.990528e-008
6.025595860743547e+001,1.971720e-008
6.165950018614791e+001,1.953166e-008
6.309573444801901e+001,1.934863e-008
6.456542290346522e+001,1.916807e-008
6.606934480075925e+001,1.898996e-008
6.760829753919782e+001,1.881428e-008
6.918309709189329e+001,1.864099e-008
7.079457843841342e+001,1.847008e-008
7.244359600749863e+001,1.830152e-008
7.413102413009136e+001,1.813529e-008
7.585775750291798e+001,1.797135e-008
7.762471166286876e+001,1.780968e-008
7.943282347242773e+001,1.765027e-008
8.128305161640949e+001,1.749308e-008
8.317637711026666e+001,1.733809e-008
8.511380382023719e+001,1.718528e-008
8.709635899560760e+001,1.703462e-008
8.912509381337408e+001,1.688610e-008
9.120108393559049e+001,1.673968e-008
9.332543007969861e+001,1.659534e-008
9.549925860214309e+001,1.645307e-008
9.772372209558054e+001,1.631284e-008
9.999999999999946e+001,1.617463e-008
1.023292992280749e+002,1.603841e-008
1.047128548050894e+002,1.590416e-008
1.071519305237600e+002,1.577187e-008
1.096478196143179e+002,1.564151e-008
1.122018454301957e+002,1.551305e-008
1.148153621496876e+002,1.538649e-008
1.174897554939523e+002,1.526179e-008
1.202264434617406e+002,1.513894e-008
1.230268770812374e+002,1.501791e-008
1.258925411794160e+002,1.489869e-008
1.288249551693126e+002,1.478125e-008
1.318256738556399e+002,1.466558e-008
1.348962882591646e+002,1.455165e-008
1.380384264602876e+002,1.443945e-008
1.412537544622746e+002,1.432895e-008
1.445439770745919e+002,1.422014e-008
1.479108388168199e+002,1.411299e-008
1.513561248436199e+002,1.400749e-008
1.548816618912472e+002,1.390362e-008
1.584893192461104e+002,1.380136e-008
1.621810097358920e+002,1.370069e-008
1.659586907437551e+002,1.360159e-008
1.698243652461734e+002,1.350405e-008
1.737800828749365e+002,1.340803e-008
1.778279410038912e+002,1.331354e-008
1.819700858609972e+002,1.322054e-008
1.862087136662856e+002,1.312903e-008
1.905460717963235e+002,1.303898e-008
1.949844599758033e+002,1.295037e-008
1.995262314968867e+002,1.286319e-008
2.041737944669516e+002,1.277742e-008
2.089296130854026e+002,1.269304e-008
2.137962089502218e+002,1.261003e-008
2.187761623949538e+002,1.252839e-008
2.238721138568325e+002,1.244809e-008
2.290867652767758e+002,1.236910e-008
2.344228815319906e+002,1.229143e-008
2.398832919019474e+002,1.221505e-008
2.454708915685014e+002,1.213994e-008
2.511886431509563e+002,1.206610e-008
2.570395782768846e+002,1.199349e-008
2.630267991895364e+002,1.192211e-008
2.691534803926897e+002,1.185193e-008
2.754228703338148e+002,1.178296e-008
2.818382931264435e+002,1.171515e-008
2.884031503126586e+002,1.164852e-008
2.951209226666366e+002,1.158302e-008
3.019951720401995e+002,1.151866e-008
3.090295432513569e+002,1.145542e-008
3.162277660168357e+002,1.139327e-008
