frequency,V(onoise)
1.000000000000000e-001,1.124259e-008
1.023292992280754e-001,1.111461e-008
1.047128548050900e-001,1.098811e-008
1.071519305237607e-001,1.086305e-008
1.096478196143185e-001,1.073944e-008
1.122018454301964e-001,1.061726e-008
1.148153621496883e-001,1.049648e-008
1.174897554939530e-001,1.037709e-008
1.202264434617413e-001,1.025907e-008
1.230268770812382e-001,1.014242e-008
1.258925411794167e-001,1.002711e-008
1.288249551693134e-001,9.913130e-009
1.318256738556407e-001,9.800464e-009
1.348962882591653e-001,9.689096e-009
1.380384264602884e-001,9.579012e-009
1.412537544622754e-001,9.470199e-009
1.445439770745927e-001,9.362640e-009
1.479108388168207e-001,9.256323e-009
1.513561248436207e-001,9.151232e-009
1.548816618912480e-001,9.047354e-009
1.584893192461112e-001,8.944675e-009
1.621810097358929e-001,8.843181e-009
1.659586907437559e-001,8.742861e-009
1.698243652461743e-001,8.643698e-009
1.737800828749374e-001,8.545681e-009
1.778279410038921e-001,8.448797e-009
1.819700858609982e-001,8.353033e-009
1.862087136662866e-001,8.258375e-009
1.905460717963245e-001,8.164813e-009
1.949844599758043e-001,8.072332e-009
1.995262314968878e-001,7.980921e-009
2.041737944669527e-001,7.890568e-009
2.089296130854037e-001,7.801261e-009
2.137962089502230e-001,7.712988e-009
2.187761623949550e-001,7.625736e-009
2.238721138568337e-001,7.539495e-009
2.290867652767770e-001,7.454254e-009
2.344228815319919e-001,7.370001e-009
2.398832919019487e-001,7.286724e-009
2.454708915685027e-001,7.204413e-009
2.511886431509577e-001,7.123056e-009
2.570395782768861e-001,7.042644e-009
2.630267991895379e-001,6.963165e-009
2.691534803926912e-001,6.884609e-009
2.754228703338163e-001,6.806965e-009
2.818382931264450e-001,6.730223e-009
2.884031503126602e-001,6.654373e-009
2.951209226666382e-001,6.579405e-009
3.019951720402012e-001,6.505308e-009
3.090295432513586e-001,6.432074e-009
3.162277660168375e-001,6.359692e-009
3.235936569296278e-001,6.288153e-009
3.311311214825907e-001,6.217447e-009
3.388441561392021e-001,6.147565e-009
3.467368504525312e-001,6.078497e-009
3.548133892335750e-001,6.010235e-009
3.630780547701009e-001,5.942769e-009
3.715352290971720e-001,5.876091e-009
3.801893963205607e-001,5.810191e-009
3.890451449942800e-001,5.745061e-009
3.981071705534967e-001,5.680692e-009
4.073802778041121e-001,5.617076e-009
4.168693834703348e-001,5.554204e-009
4.265795188015920e-001,5.492068e-009
4.365158322401653e-001,5.430659e-009
4.466835921509624e-001,5.369970e-009
4.570881896148742e-001,5.309992e-009
4.677351412871974e-001,5.250718e-009
4.786300923226375e-001,5.192139e-009
4.897788193684454e-001,5.134247e-009
5.011872336272715e-001,5.077036e-009
5.128613839913641e-001,5.020498e-009
5.248074602497718e-001,4.964624e-009
5.370317963702519e-001,4.909408e-009
5.495408738576236e-001,4.854842e-009
5.623413251903481e-001,4.800919e-009
5.754399373371559e-001,4.747632e-009
5.888436553555879e-001,4.694973e-009
6.025595860743567e-001,4.642936e-009
6.165950018614811e-001,4.591514e-009
6.309573444801921e-001,4.540700e-009
6.456542290346544e-001,4.490487e-009
6.606934480075949e-001,4.440869e-009
6.760829753919806e-001,4.391838e-009
6.918309709189353e-001,4.343389e-009
7.079457843841367e-001,4.295514e-009
7.244359600749888e-001,4.248208e-009
7.413102413009162e-001,4.201465e-009
7.585775750291823e-001,4.155278e-009
7.762471166286903e-001,4.109640e-009
7.943282347242799e-001,4.064546e-009
8.128305161640976e-001,4.019991e-009
8.317637711026693e-001,3.975967e-009
8.511380382023747e-001,3.932469e-009
8.709635899560788e-001,3.889491e-009
8.912509381337437e-001,3.847027e-009
9.120108393559078e-001,3.805072e-009
9.332543007969890e-001,3.763621e-009
9.549925860214339e-001,3.722667e-009
9.772372209558086e-001,3.682205e-009
9.999999999999978e-001,3.642231e-009
1.023292992280752e+000,3.602737e-009
1.047128548050897e+000,3.563720e-009
1.071519305237604e+000,3.525174e-009
1.096478196143182e+000,3.487093e-009
1.122018454301961e+000,3.449474e-009
1.148153621496880e+000,3.412310e-009
1.174897554939527e+000,3.375596e-009
1.202264434617410e+000,3.339328e-009
1.230268770812378e+000,3.303502e-009
1.258925411794164e+000,3.268111e-009
1.288249551693131e+000,3.233152e-009
1.318256738556404e+000,3.198619e-009
1.348962882591650e+000,3.164508e-009
1.380384264602881e+000,3.130815e-009
1.412537544622750e+000,3.097535e-009
1.445439770745923e+000,3.064663e-009
1.479108388168203e+000,3.032195e-009
1.513561248436204e+000,3.000127e-009
1.548816618912477e+000,2.968453e-009
1.584893192461109e+000,2.937171e-009
1.621810097358925e+000,2.906276e-009
1.659586907437555e+000,2.875764e-009
1.698243652461739e+000,2.845630e-009
1.737800828749370e+000,2.815870e-009
1.778279410038917e+000,2.786480e-009
1.819700858609977e+000,2.757457e-009
1.862087136662861e+000,2.728797e-009
1.905460717963241e+000,2.700495e-009
1.949844599758039e+000,2.672547e-009
1.995262314968873e+000,2.644951e-009
2.041737944669523e+000,2.617702e-009
2.089296130854033e+000,2.590796e-009
2.137962089502225e+000,2.564229e-009
2.187761623949545e+000,2.537999e-009
2.238721138568332e+000,2.512102e-009
2.290867652767766e+000,2.486533e-009
2.344228815319914e+000,2.461289e-009
2.398832919019482e+000,2.436368e-009
2.454708915685022e+000,2.411765e-009
2.511886431509572e+000,2.387477e-009
2.570395782768855e+000,2.363501e-009
2.630267991895373e+000,2.339834e-009
2.691534803926906e+000,2.316471e-009
2.754228703338157e+000,2.293411e-009
2.818382931264444e+000,2.270649e-009
2.884031503126595e+000,2.248182e-009
2.951209226666375e+000,2.226008e-009
3.019951720402005e+000,2.204123e-009
3.090295432513579e+000,2.182524e-009
3.162277660168367e+000,2.161209e-009
3.235936569296270e+000,2.140173e-009
3.311311214825898e+000,2.119415e-009
3.388441561392012e+000,2.098931e-009
3.467368504525302e+000,2.078718e-009
3.548133892335740e+000,2.058773e-009
3.630780547700999e+000,2.039094e-009
3.715352290971711e+000,2.019678e-009
3.801893963205597e+000,2.000522e-009
3.890451449942790e+000,1.981623e-009
3.981071705534956e+000,1.962978e-009
4.073802778041110e+000,1.944585e-009
4.168693834703337e+000,1.926441e-009
4.265795188015909e+000,1.908543e-009
4.365158322401642e+000,1.890889e-009
4.466835921509612e+000,1.873476e-009
4.570881896148731e+000,1.856302e-009
4.677351412871962e+000,1.839364e-009
4.786300923226363e+000,1.822659e-009
4.897788193684440e+000,1.806185e-009
5.011872336272701e+000,1.789940e-009
5.128613839913625e+000,1.773921e-009
5.248074602497702e+000,1.758125e-009
5.370317963702503e+000,1.742551e-009
5.495408738576220e+000,1.727195e-009
5.623413251903465e+000,1.712056e-009
5.754399373371542e+000,1.697132e-009
5.888436553555861e+000,1.682419e-009
6.025595860743549e+000,1.667915e-009
6.165950018614792e+000,1.653619e-009
6.309573444801902e+000,1.639528e-009
6.456542290346524e+000,1.625639e-009
6.606934480075928e+000,1.611951e-009
6.760829753919785e+000,1.598461e-009
6.918309709189331e+000,1.585168e-009
7.079457843841344e+000,1.572069e-009
7.244359600749864e+000,1.559161e-009
7.413102413009137e+000,1.546443e-009
7.585775750291798e+000,1.533913e-009
7.762471166286877e+000,1.521568e-009
7.943282347242774e+000,1.509407e-009
8.128305161640951e+000,1.497427e-009
8.317637711026666e+000,1.485627e-009
8.511380382023720e+000,1.474003e-009
8.709635899560761e+000,1.462556e-009
8.912509381337408e+000,1.451281e-009
9.120108393559049e+000,1.440178e-009
9.332543007969861e+000,1.429244e-009
9.549925860214309e+000,1.418478e-009
9.772372209558055e+000,1.407877e-009
9.999999999999947e+000,1.397440e-009
1.023292992280749e+001,1.387165e-009
1.047128548050894e+001,1.377049e-009
1.071519305237601e+001,1.367092e-009
1.096478196143179e+001,1.357290e-009
1.122018454301957e+001,1.347643e-009
1.148153621496876e+001,1.338148e-009
1.174897554939523e+001,1.328804e-009
1.202264434617406e+001,1.319609e-009
1.230268770812375e+001,1.310560e-009
1.258925411794160e+001,1.301657e-009
1.288249551693127e+001,1.292897e-009
1.318256738556400e+001,1.284279e-009
1.348962882591646e+001,1.275800e-009
1.380384264602877e+001,1.267460e-009
1.412537544622746e+001,1.259257e-009
1.445439770745919e+001,1.251188e-009
1.479108388168199e+001,1.243252e-009
1.513561248436199e+001,1.235448e-009
1.548816618912472e+001,1.227773e-009
1.584893192461104e+001,1.220227e-009
1.621810097358920e+001,1.212806e-009
1.659586907437550e+001,1.205511e-009
1.698243652461734e+001,1.198339e-009
1.737800828749365e+001,1.191288e-009
1.778279410038912e+001,1.184357e-009
1.819700858609972e+001,1.177545e-009
1.862087136662855e+001,1.170849e-009
1.905460717963235e+001,1.164269e-009
1.949844599758032e+001,1.157802e-009
1.995262314968866e+001,1.151448e-009
2.041737944669515e+001,1.145204e-009
2.089296130854025e+001,1.139069e-009
2.137962089502218e+001,1.133041e-009
2.187761623949537e+001,1.127120e-009
2.238721138568324e+001,1.121303e-009
2.290867652767757e+001,1.115589e-009
2.344228815319906e+001,1.109977e-009
2.398832919019474e+001,1.104466e-009
2.454708915685013e+001,1.099053e-009
2.511886431509563e+001,1.093737e-009
2.570395782768846e+001,1.088517e-009
2.630267991895363e+001,1.083392e-009
2.691534803926897e+001,1.078360e-009
2.754228703338147e+001,1.073419e-009
2.818382931264434e+001,1.068569e-009
2.884031503126585e+001,1.063808e-009
2.951209226666364e+001,1.059135e-009
3.019951720401994e+001,1.054548e-009
3.090295432513568e+001,1.050046e-009
3.162277660168356e+001,1.045628e-009
3.235936569296258e+001,1.041292e-009
3.311311214825886e+001,1.037038e-009
3.388441561392000e+001,1.032863e-009
3.467368504525290e+001,1.028767e-009
3.548133892335728e+001,1.024749e-009
3.630780547700986e+001,1.020806e-009
3.715352290971697e+001,1.016939e-009
3.801893963205583e+001,1.013146e-009
3.890451449942776e+001,1.009425e-009
3.981071705534941e+001,1.005775e-009
4.073802778041095e+001,1.002196e-009
4.168693834703321e+001,9.986855e-010
4.265795188015893e+001,9.952431e-010
4.365158322401625e+001,9.918676e-010
4.466835921509595e+001,9.885578e-010
4.570881896148713e+001,9.853126e-010
4.677351412871944e+001,9.821309e-010
4.786300923226344e+001,9.790116e-010
4.897788193684422e+001,9.759538e-010
5.011872336272682e+001,9.729562e-010
5.128613839913606e+001,9.700180e-010
5.248074602497682e+001,9.671379e-010
5.370317963702482e+001,9.643151e-010
5.495408738576199e+001,9.615486e-010
5.623413251903443e+001,9.588373e-010
5.754399373371521e+001,9.561804e-010
5.888436553555840e+001,9.535767e-010
6.025595860743526e+001,9.510254e-010
6.165950018614769e+001,9.485256e-010
6.309573444801878e+001,9.460763e-010
6.456542290346499e+001,9.436766e-010
6.606934480075903e+001,9.413256e-010
6.760829753919759e+001,9.390224e-010
6.918309709189305e+001,9.367662e-010
7.079457843841317e+001,9.345562e-010
7.244359600749837e+001,9.323913e-010
7.413102413009111e+001,9.302709e-010
7.585775750291771e+001,9.281940e-010
7.762471166286849e+001,9.261599e-010
7.943282347242744e+001,9.241679e-010
8.128305161640920e+001,9.222169e-010
8.317637711026636e+001,9.203064e-010
8.511380382023688e+001,9.184355e-010
8.709635899560728e+001,9.166036e-010
8.912509381337374e+001,9.148098e-010
9.120108393559013e+001,9.130534e-010
9.332543007969824e+001,9.113338e-010
9.549925860214270e+001,9.096501e-010
9.772372209558016e+001,9.080017e-010
9.999999999999906e+001,9.063880e-010
1.023292992280745e+002,9.048082e-010
1.047128548050890e+002,9.032617e-010
1.071519305237596e+002,9.017479e-010
1.096478196143175e+002,9.002661e-010
1.122018454301953e+002,8.988156e-010
1.148153621496872e+002,8.973959e-010
1.174897554939518e+002,8.960063e-010
1.202264434617402e+002,8.946462e-010
1.230268770812370e+002,8.933152e-010
1.258925411794155e+002,8.920125e-010
1.288249551693122e+002,8.907376e-010
1.318256738556394e+002,8.894900e-010
1.348962882591640e+002,8.882691e-010
1.380384264602871e+002,8.870743e-010
1.412537544622740e+002,8.859052e-010
1.445439770745913e+002,8.847612e-010
1.479108388168193e+002,8.836418e-010
1.513561248436193e+002,8.825465e-010
1.548816618912466e+002,8.814749e-010
1.584893192461097e+002,8.804263e-010
1.621810097358913e+002,8.794005e-010
1.659586907437543e+002,8.783968e-010
1.698243652461727e+002,8.774149e-010
1.737800828749357e+002,8.764542e-010
1.778279410038904e+002,8.755144e-010
1.819700858609964e+002,8.745951e-010
1.862087136662848e+002,8.736957e-010
1.905460717963227e+002,8.728159e-010
1.949844599758025e+002,8.719552e-010
1.995262314968859e+002,8.711133e-010
2.041737944669508e+002,8.702898e-010
2.089296130854017e+002,8.694843e-010
2.137962089502209e+002,8.686964e-010
2.187761623949529e+002,8.679258e-010
2.238721138568316e+002,8.671721e-010
2.290867652767749e+002,8.664348e-010
2.344228815319897e+002,8.657137e-010
2.398832919019465e+002,8.650085e-010
2.454708915685004e+002,8.643188e-010
2.511886431509553e+002,8.636442e-010
2.570395782768836e+002,8.629845e-010
2.630267991895354e+002,8.623393e-010
2.691534803926887e+002,8.617083e-010
2.754228703338137e+002,8.610913e-010
2.818382931264423e+002,8.604878e-010
2.884031503126574e+002,8.598977e-010
2.951209226666354e+002,8.593206e-010
3.019951720401983e+002,8.587563e-010
3.090295432513557e+002,8.582045e-010
3.162277660168345e+002,8.576649e-010
3.235936569296247e+002,8.571373e-010
3.311311214825875e+002,8.566213e-010
3.388441561391988e+002,8.561168e-010
3.467368504525278e+002,8.556235e-010
3.548133892335715e+002,8.551411e-010
3.630780547700973e+002,8.546694e-010
3.715352290971684e+002,8.542083e-010
3.801893963205569e+002,8.537574e-010
3.890451449942762e+002,8.533165e-010
3.981071705534927e+002,8.528855e-010
4.073802778041081e+002,8.524640e-010
4.168693834703306e+002,8.520519e-010
4.265795188015877e+002,8.516491e-010
4.365158322401609e+002,8.512552e-010
4.466835921509579e+002,8.508701e-010
4.570881896148697e+002,8.504936e-010
4.677351412871927e+002,8.501255e-010
4.786300923226327e+002,8.497656e-010
4.897788193684405e+002,8.494138e-010
5.011872336272664e+002,8.490699e-010
5.128613839913588e+002,8.487336e-010
5.248074602497665e+002,8.484049e-010
5.370317963702464e+002,8.480835e-010
5.495408738576181e+002,8.477694e-010
5.623413251903425e+002,8.474622e-010
5.754399373371501e+002,8.471620e-010
5.888436553555820e+002,8.468684e-010
6.025595860743506e+002,8.465815e-010
6.165950018614748e+002,8.463010e-010
6.309573444801856e+002,8.460268e-010
6.456542290346476e+002,8.457587e-010
6.606934480075879e+002,8.454967e-010
6.760829753919735e+002,8.452405e-010
6.918309709189280e+002,8.449902e-010
7.079457843841292e+002,8.447454e-010
7.244359600749812e+002,8.445061e-010
7.413102413009084e+002,8.442723e-010
7.585775750291745e+002,8.440437e-010
7.762471166286822e+002,8.438202e-010
7.943282347242717e+002,8.436017e-010
8.128305161640892e+002,8.433882e-010
8.317637711026607e+002,8.431795e-010
8.511380382023659e+002,8.429755e-010
8.709635899560698e+002,8.427761e-010
8.912509381337344e+002,8.425811e-010
9.120108393558983e+002,8.423906e-010
9.332543007969792e+002,8.422044e-010
9.549925860214238e+002,8.420223e-010
9.772372209557982e+002,8.418444e-010
9.999999999999872e+002,8.416705e-010
1.023292992280741e+003,8.415005e-010
1.047128548050886e+003,8.413343e-010
1.071519305237592e+003,8.411719e-010
1.096478196143171e+003,8.410132e-010
1.122018454301949e+003,8.408580e-010
1.148153621496868e+003,8.407064e-010
1.174897554939514e+003,8.405582e-010
1.202264434617397e+003,8.404133e-010
1.230268770812365e+003,8.402717e-010
1.258925411794151e+003,8.401333e-010
1.288249551693117e+003,8.399980e-010
1.318256738556389e+003,8.398658e-010
1.348962882591635e+003,8.397366e-010
1.380384264602866e+003,8.396103e-010
1.412537544622735e+003,8.394868e-010
1.445439770745908e+003,8.393661e-010
1.479108388168187e+003,8.392482e-010
1.513561248436188e+003,8.391330e-010
1.548816618912460e+003,8.390203e-010
1.584893192461092e+003,8.389102e-010
1.621810097358908e+003,8.388026e-010
1.659586907437538e+003,8.386974e-010
1.698243652461721e+003,8.385946e-010
1.737800828749352e+003,8.384942e-010
1.778279410038899e+003,8.383960e-010
1.819700858609959e+003,8.383000e-010
1.862087136662842e+003,8.382062e-010
1.905460717963221e+003,8.381146e-010
1.949844599758018e+003,8.380250e-010
1.995262314968852e+003,8.379374e-010
2.041737944669501e+003,8.378518e-010
2.089296130854011e+003,8.377682e-010
2.137962089502203e+003,8.376865e-010
2.187761623949522e+003,8.376066e-010
2.238721138568309e+003,8.375285e-010
2.290867652767741e+003,8.374522e-010
2.344228815319890e+003,8.373777e-010
2.398832919019457e+003,8.373048e-010
2.454708915684996e+003,8.372336e-010
2.511886431509545e+003,8.371639e-010
2.570395782768828e+003,8.370959e-010
2.630267991895345e+003,8.370294e-010
2.691534803926878e+003,8.369644e-010
2.754228703338128e+003,8.369009e-010
2.818382931264414e+003,8.368388e-010
2.884031503126565e+003,8.367781e-010
2.951209226666344e+003,8.367189e-010
3.019951720401973e+003,8.366610e-010
3.090295432513546e+003,8.366043e-010
3.162277660168334e+003,8.365490e-010
3.235936569296236e+003,8.364949e-010
3.311311214825863e+003,8.364421e-010
3.388441561391976e+003,8.363904e-010
3.467368504525266e+003,8.363399e-010
3.548133892335703e+003,8.362906e-010
3.630780547700960e+003,8.362424e-010
3.715352290971671e+003,8.361953e-010
3.801893963205556e+003,8.361492e-010
3.890451449942748e+003,8.361042e-010
3.981071705534913e+003,8.360602e-010
4.073802778041067e+003,8.360173e-010
4.168693834703292e+003,8.359752e-010
4.265795188015863e+003,8.359342e-010
4.365158322401594e+003,8.358941e-010
4.466835921509563e+003,8.358549e-010
4.570881896148680e+003,8.358165e-010
4.677351412871911e+003,8.357791e-010
4.786300923226310e+003,8.357425e-010
4.897788193684387e+003,8.357067e-010
5.011872336272646e+003,8.356718e-010
5.128613839913570e+003,8.356376e-010
5.248074602497645e+003,8.356043e-010
5.370317963702444e+003,8.355716e-010
5.495408738576160e+003,8.355397e-010
5.623413251903404e+003,8.355086e-010
5.754399373371480e+003,8.354781e-010
5.888436553555798e+003,8.354484e-010
6.025595860743483e+003,8.354193e-010
6.165950018614725e+003,8.353909e-010
6.309573444801834e+003,8.353631e-010
6.456542290346454e+003,8.353360e-010
6.606934480075856e+003,8.353095e-010
6.760829753919711e+003,8.352836e-010
6.918309709189256e+003,8.352582e-010
7.079457843841267e+003,8.352335e-010
7.244359600749786e+003,8.352093e-010
7.413102413009058e+003,8.351856e-010
7.585775750291718e+003,8.351626e-010
7.762471166286794e+003,8.351400e-010
7.943282347242689e+003,8.351179e-010
8.128305161640863e+003,8.350963e-010
8.317637711026577e+003,8.350753e-010
8.511380382023628e+003,8.350547e-010
8.709635899560666e+003,8.350345e-010
8.912509381337311e+003,8.350149e-010
9.120108393558950e+003,8.349957e-010
9.332543007969760e+003,8.349769e-010
9.549925860214205e+003,8.349585e-010
9.772372209557949e+003,8.349406e-010
9.999999999999838e+003,8.349231e-010
1.023292992280738e+004,8.349060e-010
1.047128548050883e+004,8.348893e-010
1.071519305237589e+004,8.348729e-010
1.096478196143167e+004,8.348569e-010
1.122018454301945e+004,8.348413e-010
1.148153621496864e+004,8.348260e-010
1.174897554939510e+004,8.348111e-010
1.202264434617393e+004,8.347966e-010
1.230268770812361e+004,8.347823e-010
1.258925411794147e+004,8.347684e-010
1.288249551693113e+004,8.347548e-010
1.318256738556385e+004,8.347415e-010
1.348962882591631e+004,8.347285e-010
1.380384264602862e+004,8.347159e-010
1.412537544622731e+004,8.347035e-010
1.445439770745904e+004,8.346913e-010
1.479108388168183e+004,8.346795e-010
1.513561248436183e+004,8.346679e-010
1.548816618912456e+004,8.346566e-010
1.584893192461087e+004,8.346456e-010
1.621810097358903e+004,8.346348e-010
1.659586907437533e+004,8.346243e-010
1.698243652461716e+004,8.346140e-010
1.737800828749346e+004,8.346039e-010
1.778279410038893e+004,8.345941e-010
1.819700858609953e+004,8.345845e-010
1.862087136662836e+004,8.345751e-010
1.905460717963215e+004,8.345659e-010
1.949844599758012e+004,8.345570e-010
1.995262314968846e+004,8.345482e-010
2.041737944669495e+004,8.345397e-010
2.089296130854004e+004,8.345313e-010
2.137962089502196e+004,8.345232e-010
2.187761623949515e+004,8.345152e-010
2.238721138568302e+004,8.345074e-010
2.290867652767734e+004,8.344998e-010
2.344228815319882e+004,8.344924e-010
2.398832919019449e+004,8.344851e-010
2.454708915684988e+004,8.344780e-010
2.511886431509537e+004,8.344711e-010
2.570395782768820e+004,8.344644e-010
2.630267991895336e+004,8.344578e-010
2.691534803926869e+004,8.344513e-010
2.754228703338119e+004,8.344451e-010
2.818382931264405e+004,8.344389e-010
2.884031503126556e+004,8.344329e-010
2.951209226666335e+004,8.344270e-010
3.019951720401964e+004,8.344214e-010
3.090295432513537e+004,8.344158e-010
3.162277660168324e+004,8.344103e-010
3.235936569296226e+004,8.344050e-010
3.311311214825853e+004,8.343998e-010
3.388441561391966e+004,8.343948e-010
3.467368504525255e+004,8.343898e-010
3.548133892335692e+004,8.343850e-010
3.630780547700949e+004,8.343803e-010
3.715352290971659e+004,8.343757e-010
3.801893963205544e+004,8.343713e-010
3.890451449942737e+004,8.343669e-010
3.981071705534901e+004,8.343627e-010
4.073802778041054e+004,8.343586e-010
4.168693834703279e+004,8.343545e-010
4.265795188015849e+004,8.343506e-010
4.365158322401581e+004,8.343468e-010
4.466835921509550e+004,8.343431e-010
4.570881896148667e+004,8.343394e-010
4.677351412871897e+004,8.343359e-010
4.786300923226296e+004,8.343325e-010
4.897788193684373e+004,8.343292e-010
5.011872336272631e+004,8.343259e-010
5.128613839913555e+004,8.343228e-010
5.248074602497630e+004,8.343197e-010
5.370317963702428e+004,8.343168e-010
5.495408738576144e+004,8.343139e-010
5.623413251903386e+004,8.343111e-010
5.754399373371462e+004,8.343084e-010
5.888436553555779e+004,8.343058e-010
6.025595860743464e+004,8.343032e-010
6.165950018614706e+004,8.343008e-010
6.309573444801814e+004,8.342985e-010
6.456542290346434e+004,8.342962e-010
6.606934480075835e+004,8.342940e-010
6.760829753919689e+004,8.342919e-010
6.918309709189233e+004,8.342898e-010
7.079457843841244e+004,8.342879e-010
7.244359600749762e+004,8.342860e-010
7.413102413009033e+004,8.342842e-010
7.585775750291692e+004,8.342825e-010
7.762471166286769e+004,8.342809e-010
7.943282347242662e+004,8.342793e-010
8.128305161640835e+004,8.342779e-010
8.317637711026549e+004,8.342765e-010
8.511380382023599e+004,8.342751e-010
8.709635899560637e+004,8.342739e-010
8.912509381337282e+004,8.342728e-010
9.120108393558920e+004,8.342718e-010
9.332543007969728e+004,8.342708e-010
9.549925860214172e+004,8.342699e-010
9.772372209557916e+004,8.342691e-010
9.999999999999804e+004,8.342684e-010
1.023292992280734e+005,8.342678e-010
1.047128548050879e+005,8.342673e-010
1.071519305237585e+005,8.342668e-010
1.096478196143163e+005,8.342665e-010
1.122018454301941e+005,8.342662e-010
1.148153621496860e+005,8.342661e-010
1.174897554939506e+005,8.342660e-010
1.202264434617389e+005,8.342661e-010
1.230268770812357e+005,8.342663e-010
1.258925411794142e+005,8.342665e-010
